Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,LaLiga,Barcelona,Pedri,ESP,MF,19.0,2.0,0.0,0.0,8.0,43.0,4.0,25.0,13.0,22.0,0.0,0.0,0.0,134.0,3.0,5.0,37.5
2022-2023,LaLiga,Barcelona,Andreas Christensen,DEN,DF,26.0,2.0,0.0,0.0,18.0,7.0,0.0,1.0,21.0,15.0,0.0,0.0,1.0,107.0,42.0,19.0,68.9
2022-2023,LaLiga,Barcelona,Ronald Araújo,URU,DF,23.0,5.0,1.0,0.0,16.0,17.0,1.0,5.0,12.0,18.0,0.0,0.0,1.0,94.0,46.0,27.0,63.0
2022-2023,LaLiga,Barcelona,Ousmane Dembélé,FRA,FW,25.0,4.0,0.0,0.0,16.0,19.0,5.0,106.0,0.0,12.0,0.0,0.0,0.0,60.0,4.0,12.0,25.0
2022-2023,LaLiga,Barcelona,Eric García,ESP,"DF,MF",21.0,3.0,0.0,0.0,18.0,8.0,0.0,0.0,19.0,16.0,0.0,2.0,0.0,90.0,23.0,15.0,60.5
2022-2023,LaLiga,Barcelona,Sergi Roberto,ESP,"DF,MF",30.0,3.0,0.0,0.0,19.0,12.0,2.0,25.0,11.0,15.0,0.0,0.0,0.0,62.0,7.0,12.0,36.8
2022-2023,LaLiga,Barcelona,Jordi Alba,ESP,DF,33.0,6.0,1.0,1.0,11.0,4.0,10.0,91.0,11.0,18.0,0.0,0.0,0.0,118.0,8.0,15.0,34.8
2022-2023,LaLiga,Barcelona,Ferrán Torres,ESP,"FW,MF",22.0,5.0,1.0,0.0,17.0,25.0,8.0,60.0,3.0,7.0,0.0,0.0,0.0,53.0,11.0,9.0,55.0
2022-2023,LaLiga,Barcelona,Ansu Fati,ESP,FW,19.0,3.0,0.0,0.0,18.0,13.0,10.0,9.0,5.0,9.0,0.0,0.0,0.0,65.0,7.0,14.0,33.3
2022-2023,LaLiga,Barcelona,Marcos Alonso,ESP,DF,31.0,3.0,0.0,0.0,10.0,8.0,0.0,23.0,11.0,10.0,0.0,1.0,0.0,85.0,26.0,10.0,72.2
2022-2023,LaLiga,Barcelona,Franck Kessié,CIV,MF,25.0,4.0,0.0,0.0,17.0,16.0,3.0,5.0,12.0,9.0,0.0,0.0,0.0,61.0,7.0,8.0,46.7
2022-2023,LaLiga,Barcelona,Gerard Piqué,ESP,DF,35.0,2.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,26.0,20.0,6.0,76.9
2022-2023,LaLiga,Barcelona,Memphis,NED,FW,28.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
2022-2023,LaLiga,Barcelona,Pablo Torre,ESP,"FW,MF",19.0,0.0,0.0,0.0,4.0,3.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
2022-2023,LaLiga,Barcelona,Héctor Bellerín,ESP,DF,27.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,100.0
2022-2023,LaLiga,Barcelona,Iñaki Peña,ESP,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
2022-2023,LaLiga,Barcelona,Ángel Alarcón,ESP,FW,18.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,
2022-2023,LaLiga,Barcelona,Pierre-Emerick Aubameyang,GAB,FW,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,LaLiga,Barcelona,Lamine Yamal,ESP,FW,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-2023,LaLiga,Barcelona,Aleix Garrido,ESP,FW,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,LaLiga,Barcelona,Chadi Riad,MAR,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Real Madrid,Vinicius Júnior,BRA,FW,22.0,10.0,1.0,0.0,47.0,122.0,23.0,64.0,6.0,21.0,1.0,0.0,0.0,98.0,2.0,6.0,25.0
2022-2023,LaLiga,Real Madrid,Thibaut Courtois,BEL,GK,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,59.0,9.0,0.0,100.0
2022-2023,LaLiga,Real Madrid,Éder Militão,BRA,DF,24.0,4.0,0.0,0.0,35.0,38.0,1.0,12.0,42.0,32.0,1.0,1.0,0.0,159.0,64.0,34.0,65.3
2022-2023,LaLiga,Real Madrid,Federico Valverde,URU,"MF,FW",24.0,2.0,0.0,0.0,11.0,15.0,5.0,27.0,17.0,20.0,0.0,0.0,0.0,132.0,31.0,11.0,73.8
2022-2023,LaLiga,Real Madrid,Antonio Rüdiger,GER,DF,29.0,1.0,0.0,0.0,13.0,7.0,2.0,5.0,19.0,16.0,0.0,0.0,0.0,158.0,37.0,22.0,62.7
2022-2023,LaLiga,Real Madrid,Rodrygo,BRA,"FW,MF",21.0,4.0,0.0,0.0,18.0,49.0,10.0,22.0,8.0,10.0,2.0,0.0,0.0,63.0,14.0,23.0,37.8
2022-2023,LaLiga,Real Madrid,Toni Kroos,GER,MF,32.0,2.0,1.0,1.0,28.0,36.0,0.0,122.0,24.0,32.0,0.0,1.0,0.0,154.0,7.0,4.0,63.6
2022-2023,LaLiga,Real Madrid,Aurélien Tchouaméni,FRA,MF,22.0,2.0,0.0,0.0,35.0,35.0,0.0,12.0,49.0,40.0,0.0,0.0,0.0,123.0,48.0,24.0,66.7
2022-2023,LaLiga,Real Madrid,Karim Benzema,FRA,FW,34.0,1.0,0.0,0.0,10.0,6.0,22.0,3.0,2.0,5.0,2.0,0.0,0.0,35.0,14.0,13.0,51.9
2022-2023,LaLiga,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",19.0,6.0,0.0,0.0,39.0,69.0,3.0,6.0,17.0,48.0,0.0,0.0,0.0,136.0,22.0,11.0,66.7
2022-2023,LaLiga,Real Madrid,David Alaba,AUT,DF,30.0,3.0,0.0,0.0,9.0,3.0,0.0,26.0,14.0,11.0,0.0,1.0,0.0,94.0,11.0,8.0,57.9
2022-2023,LaLiga,Real Madrid,Dani Carvajal,ESP,DF,30.0,8.0,1.0,1.0,22.0,15.0,5.0,49.0,15.0,18.0,0.0,1.0,0.0,109.0,10.0,9.0,52.6
2022-2023,LaLiga,Real Madrid,Luka Modrić,CRO,MF,36.0,7.0,0.0,0.0,21.0,16.0,3.0,62.0,10.0,9.0,0.0,0.0,0.0,86.0,11.0,14.0,44.0
2022-2023,LaLiga,Real Madrid,Dani Ceballos,ESP,MF,25.0,8.0,0.0,0.0,17.0,41.0,1.0,16.0,25.0,29.0,0.0,0.0,0.0,132.0,4.0,8.0,33.3
2022-2023,LaLiga,Real Madrid,Nacho,ESP,DF,32.0,7.0,0.0,0.0,16.0,14.0,3.0,14.0,18.0,16.0,0.0,0.0,1.0,88.0,36.0,21.0,63.2
2022-2023,LaLiga,Real Madrid,Ferland Mendy,FRA,DF,27.0,2.0,0.0,0.0,4.0,18.0,0.0,7.0,14.0,12.0,0.0,0.0,0.0,77.0,7.0,8.0,46.7
2022-2023,LaLiga,Real Madrid,Marco Asensio,ESP,"FW,MF",26.0,1.0,0.0,0.0,10.0,16.0,4.0,82.0,5.0,10.0,1.0,1.0,0.0,45.0,3.0,2.0,60.0
2022-2023,LaLiga,Real Madrid,Lucas Vázquez,ESP,DF,31.0,2.0,0.0,0.0,23.0,16.0,3.0,41.0,7.0,23.0,1.0,0.0,0.0,63.0,1.0,5.0,16.7
2022-2023,LaLiga,Real Madrid,Andriy Lunin,UKR,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,
2022-2023,LaLiga,Real Madrid,Eden Hazard,BEL,FW,31.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
2022-2023,LaLiga,Real Madrid,Mariano,DOM,FW,28.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,62.5
2022-2023,LaLiga,Real Madrid,Álvaro Muñoz,URU,FW,18.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,33.3
2022-2023,LaLiga,Real Madrid,Álvaro Odriozola,ESP,DF,26.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2022-2023,LaLiga,Real Madrid,Jesús Vallejo,ESP,DF,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,LaLiga,Real Madrid,Sergio Arribas,ESP,"MF,FW",20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
2022-2023,LaLiga,Real Madrid,Casemiro,BRA,MF,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
2022-2023,LaLiga,Atlético Madrid,Nahuel Molina,ARG,DF,24.0,7.0,1.0,0.0,22.0,16.0,3.0,120.0,18.0,43.0,0.0,0.0,0.0,158.0,22.0,32.0,40.7
2022-2023,LaLiga,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",31.0,2.0,0.0,0.0,22.0,41.0,11.0,131.0,24.0,34.0,0.0,0.0,0.0,150.0,28.0,34.0,45.2
2022-2023,LaLiga,Atlético Madrid,Koke,ESP,MF,30.0,4.0,0.0,0.0,20.0,27.0,1.0,24.0,20.0,38.0,0.0,0.0,0.0,170.0,11.0,14.0,44.0
2022-2023,LaLiga,Atlético Madrid,Jan Oblak,SVN,GK,29.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,100.0
2022-2023,LaLiga,Atlético Madrid,José María Giménez,URU,DF,27.0,9.0,0.0,0.0,19.0,8.0,0.0,0.0,24.0,25.0,0.0,1.0,0.0,141.0,49.0,24.0,67.1
2022-2023,LaLiga,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",28.0,2.0,0.0,0.0,24.0,21.0,6.0,107.0,12.0,14.0,0.0,0.0,0.0,134.0,5.0,9.0,35.7
2022-2023,LaLiga,Atlético Madrid,Axel Witsel,BEL,"DF,MF",33.0,2.0,1.0,0.0,20.0,15.0,0.0,2.0,23.0,22.0,0.0,0.0,0.0,119.0,41.0,36.0,53.2
2022-2023,LaLiga,Atlético Madrid,Mario Hermoso,ESP,DF,27.0,7.0,2.0,2.0,27.0,13.0,2.0,16.0,19.0,15.0,0.0,1.0,0.0,137.0,35.0,27.0,56.5
2022-2023,LaLiga,Atlético Madrid,Rodrigo De Paul,ARG,MF,28.0,5.0,0.0,0.0,33.0,49.0,0.0,47.0,8.0,21.0,0.0,0.0,0.0,127.0,6.0,8.0,42.9
2022-2023,LaLiga,Atlético Madrid,Álvaro Morata,ESP,FW,29.0,4.0,0.0,0.0,39.0,56.0,26.0,4.0,0.0,11.0,0.0,0.0,0.0,57.0,53.0,38.0,58.2
2022-2023,LaLiga,Atlético Madrid,Stefan Savić,MNE,DF,31.0,4.0,2.0,0.0,31.0,8.0,1.0,0.0,33.0,26.0,0.0,0.0,0.0,104.0,56.0,30.0,65.1
2022-2023,LaLiga,Atlético Madrid,Reinildo Mandava,MOZ,DF,28.0,4.0,0.0,0.0,32.0,30.0,0.0,16.0,30.0,43.0,0.0,0.0,0.0,129.0,29.0,20.0,59.2
2022-2023,LaLiga,Atlético Madrid,Marcos Llorente,ESP,"MF,DF",27.0,5.0,0.0,0.0,30.0,13.0,3.0,44.0,17.0,15.0,0.0,1.0,0.0,108.0,10.0,19.0,34.5
2022-2023,LaLiga,Atlético Madrid,Thomas Lemar,FRA,MF,26.0,1.0,0.0,0.0,7.0,17.0,2.0,44.0,7.0,18.0,0.0,0.0,0.0,75.0,5.0,7.0,41.7
2022-2023,LaLiga,Atlético Madrid,Ángel Correa,ARG,"FW,MF",27.0,3.0,1.0,0.0,19.0,20.0,14.0,22.0,10.0,6.0,0.0,0.0,0.0,63.0,5.0,16.0,23.8
2022-2023,LaLiga,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27.0,8.0,0.0,0.0,34.0,5.0,2.0,15.0,15.0,27.0,0.0,1.0,0.0,51.0,41.0,27.0,60.3
2022-2023,LaLiga,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,29.0,5.0,0.0,0.0,17.0,19.0,2.0,0.0,26.0,23.0,0.0,0.0,0.0,101.0,12.0,10.0,54.5
2022-2023,LaLiga,Atlético Madrid,Ivo Grbić,CRO,GK,26.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,4.0,1.0,80.0
2022-2023,LaLiga,Atlético Madrid,João Félix,POR,"FW,MF",22.0,5.0,0.0,0.0,16.0,23.0,3.0,8.0,3.0,7.0,0.0,0.0,0.0,18.0,7.0,8.0,46.7
2022-2023,LaLiga,Atlético Madrid,Pablo Barrios,ESP,MF,19.0,4.0,0.0,0.0,7.0,12.0,0.0,6.0,9.0,10.0,0.0,0.0,0.0,49.0,6.0,9.0,40.0
2022-2023,LaLiga,Atlético Madrid,Memphis,NED,FW,28.0,1.0,0.0,0.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,16.7
2022-2023,LaLiga,Atlético Madrid,Matheus Cunha,BRA,"FW,MF",23.0,2.0,0.0,0.0,7.0,6.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,16.0,3.0,14.0,17.6
2022-2023,LaLiga,Atlético Madrid,Sergio Reguilón,ESP,DF,25.0,3.0,1.0,1.0,4.0,6.0,1.0,9.0,2.0,5.0,0.0,0.0,0.0,15.0,8.0,5.0,61.5
2022-2023,LaLiga,Atlético Madrid,Felipe,BRA,DF,33.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,6.0,6.0,50.0
2022-2023,LaLiga,Atlético Madrid,Carlos Martín,ESP,"FW,MF",20.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,
2022-2023,LaLiga,Atlético Madrid,Matt Doherty,IRL,DF,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Atlético Madrid,Antonio Gomis,ESP,GK,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,LaLiga,Real Sociedad,Álex Remiro,ESP,GK,27.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,7.0,1.0,87.5
2022-2023,LaLiga,Real Sociedad,Martín Zubimendi,ESP,MF,23.0,12.0,0.0,0.0,50.0,31.0,1.0,4.0,37.0,33.0,0.0,1.0,0.0,218.0,58.0,34.0,63.0
2022-2023,LaLiga,Real Sociedad,Robin Le Normand,ESP,DF,25.0,6.0,0.0,0.0,44.0,29.0,2.0,1.0,33.0,23.0,0.0,0.0,1.0,147.0,108.0,37.0,74.5
2022-2023,LaLiga,Real Sociedad,Igor Zubeldia,ESP,DF,25.0,11.0,0.0,0.0,44.0,10.0,1.0,3.0,21.0,18.0,0.0,0.0,1.0,165.0,60.0,53.0,53.1
2022-2023,LaLiga,Real Sociedad,Takefusa Kubo,JPN,"FW,MF",21.0,3.0,0.0,0.0,35.0,48.0,21.0,72.0,9.0,26.0,2.0,0.0,0.0,107.0,16.0,25.0,39.0
2022-2023,LaLiga,Real Sociedad,Mikel Merino,ESP,MF,26.0,5.0,1.0,0.0,74.0,48.0,4.0,25.0,20.0,49.0,0.0,0.0,0.0,218.0,112.0,59.0,65.5
2022-2023,LaLiga,Real Sociedad,Brais Méndez,ESP,MF,25.0,6.0,0.0,0.0,60.0,54.0,2.0,125.0,12.0,34.0,0.0,0.0,0.0,127.0,25.0,29.0,46.3
2022-2023,LaLiga,Real Sociedad,Alexander Sørloth,NOR,FW,26.0,4.0,0.0,0.0,32.0,16.0,17.0,8.0,2.0,9.0,0.0,0.0,0.0,74.0,60.0,54.0,52.6
2022-2023,LaLiga,Real Sociedad,David Silva,ESP,MF,36.0,3.0,0.0,0.0,30.0,33.0,3.0,20.0,15.0,21.0,0.0,0.0,0.0,137.0,10.0,12.0,45.5
2022-2023,LaLiga,Real Sociedad,Aihen Muñoz,ESP,DF,24.0,2.0,0.0,0.0,29.0,16.0,0.0,54.0,9.0,23.0,0.0,0.0,0.0,102.0,21.0,25.0,45.7
2022-2023,LaLiga,Real Sociedad,Andoni Gorosabel,ESP,DF,25.0,3.0,0.0,0.0,25.0,17.0,0.0,41.0,17.0,25.0,0.0,0.0,0.0,82.0,19.0,33.0,36.5
2022-2023,LaLiga,Real Sociedad,Diego Rico,ESP,DF,29.0,3.0,0.0,0.0,27.0,26.0,2.0,55.0,20.0,21.0,0.0,0.0,0.0,96.0,18.0,17.0,51.4
2022-2023,LaLiga,Real Sociedad,Aritz Elustondo,ESP,DF,28.0,5.0,1.0,0.0,21.0,9.0,1.0,9.0,20.0,17.0,0.0,0.0,0.0,58.0,18.0,23.0,43.9
2022-2023,LaLiga,Real Sociedad,Mikel Oyarzabal,ESP,"FW,MF",25.0,1.0,0.0,0.0,15.0,16.0,12.0,28.0,3.0,7.0,1.0,0.0,0.0,56.0,15.0,29.0,34.1
2022-2023,LaLiga,Real Sociedad,Asier Illarramendi,ESP,MF,32.0,5.0,0.0,0.0,25.0,13.0,0.0,6.0,18.0,18.0,0.0,0.0,0.0,67.0,16.0,20.0,44.4
2022-2023,LaLiga,Real Sociedad,Jon Pacheco,ESP,DF,21.0,2.0,0.0,0.0,18.0,11.0,1.0,0.0,12.0,10.0,0.0,1.0,0.0,55.0,30.0,23.0,56.6
2022-2023,LaLiga,Real Sociedad,Ander Barrenetxea,ESP,"FW,DF",20.0,4.0,0.0,0.0,23.0,14.0,0.0,13.0,5.0,15.0,0.0,0.0,0.0,74.0,11.0,15.0,42.3
2022-2023,LaLiga,Real Sociedad,Carlos Fernández,ESP,FW,26.0,6.0,0.0,0.0,17.0,15.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,35.0,25.0,23.0,52.1
2022-2023,LaLiga,Real Sociedad,Mohamed Ali Cho,FRA,"FW,MF",18.0,1.0,0.0,0.0,11.0,12.0,3.0,30.0,2.0,10.0,1.0,0.0,0.0,34.0,5.0,15.0,25.0
2022-2023,LaLiga,Real Sociedad,Pablo Marín,ESP,"MF,FW",19.0,1.0,0.0,0.0,12.0,2.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,20.0,4.0,7.0,36.4
2022-2023,LaLiga,Real Sociedad,Alex Sola,ESP,DF,23.0,1.0,0.0,0.0,3.0,8.0,0.0,12.0,7.0,9.0,0.0,0.0,0.0,17.0,7.0,3.0,70.0
2022-2023,LaLiga,Real Sociedad,Ander Guevara,ESP,MF,25.0,2.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,19.0,3.0,2.0,60.0
2022-2023,LaLiga,Real Sociedad,Alexander Isak,SWE,FW,22.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,
2022-2023,LaLiga,Real Sociedad,Roberto Navarro,ESP,"MF,FW",20.0,2.0,0.0,0.0,8.0,6.0,5.0,16.0,2.0,4.0,0.0,0.0,0.0,22.0,7.0,5.0,58.3
2022-2023,LaLiga,Real Sociedad,Beñat Turrientes,ESP,"MF,FW",20.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
2022-2023,LaLiga,Real Sociedad,Umar Sadiq,NGA,FW,25.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,50.0
2022-2023,LaLiga,Real Sociedad,Jon Karrikaburu,ESP,FW,19.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,50.0
2022-2023,LaLiga,Real Sociedad,Jon Magunacelaya,ESP,"MF,FW",22.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
2022-2023,LaLiga,Real Sociedad,Olasagasti,ESP,"MF,DF",21.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
2022-2023,LaLiga,Real Sociedad,Ander Martin,ESP,"MF,FW",21.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
2022-2023,LaLiga,Villarreal,Daniel Parejo,ESP,MF,33.0,6.0,0.0,0.0,30.0,75.0,0.0,144.0,29.0,40.0,0.0,1.0,0.0,257.0,17.0,21.0,44.7
2022-2023,LaLiga,Villarreal,Pau Torres,ESP,DF,25.0,10.0,0.0,0.0,20.0,17.0,0.0,4.0,13.0,25.0,2.0,0.0,1.0,195.0,59.0,48.0,55.1
2022-2023,LaLiga,Villarreal,Yeremi Pino,ESP,"FW,MF",19.0,8.0,0.0,0.0,65.0,53.0,18.0,20.0,15.0,38.0,1.0,0.0,0.0,107.0,24.0,37.0,39.3
2022-2023,LaLiga,Villarreal,Samuel Chukwueze,NGA,"FW,MF",23.0,1.0,0.0,0.0,19.0,34.0,11.0,28.0,12.0,7.0,1.0,0.0,0.0,110.0,14.0,20.0,41.2
2022-2023,LaLiga,Villarreal,Raúl Albiol,ESP,DF,36.0,6.0,0.0,0.0,17.0,13.0,1.0,1.0,14.0,17.0,0.0,0.0,0.0,108.0,38.0,25.0,60.3
2022-2023,LaLiga,Villarreal,Pepe Reina,ESP,GK,39.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,100.0
2022-2023,LaLiga,Villarreal,Juan Foyth,ARG,DF,24.0,6.0,0.0,0.0,40.0,9.0,0.0,10.0,20.0,48.0,0.0,1.0,0.0,125.0,36.0,22.0,62.1
2022-2023,LaLiga,Villarreal,Étienne Capoue,FRA,MF,34.0,4.0,0.0,0.0,18.0,41.0,0.0,9.0,19.0,12.0,0.0,0.0,0.0,113.0,25.0,19.0,56.8
2022-2023,LaLiga,Villarreal,Alfonso Pedraza,ESP,DF,26.0,5.0,0.0,0.0,20.0,15.0,2.0,76.0,18.0,26.0,0.0,0.0,0.0,88.0,12.0,12.0,50.0
2022-2023,LaLiga,Villarreal,Alex Baena,ESP,"MF,FW",21.0,13.0,1.0,1.0,58.0,56.0,3.0,26.0,7.0,17.0,1.0,1.0,0.0,100.0,1.0,26.0,3.7
2022-2023,LaLiga,Villarreal,Nicolas Jackson,SEN,FW,21.0,6.0,1.0,1.0,32.0,26.0,13.0,5.0,2.0,11.0,0.0,0.0,0.0,46.0,13.0,30.0,30.2
2022-2023,LaLiga,Villarreal,Aïssa Mandi,ALG,DF,30.0,1.0,0.0,0.0,16.0,10.0,4.0,2.0,21.0,10.0,0.0,0.0,0.0,62.0,20.0,19.0,51.3
2022-2023,LaLiga,Villarreal,Alberto Moreno,ESP,DF,30.0,7.0,0.0,0.0,26.0,9.0,3.0,36.0,23.0,12.0,0.0,0.0,0.0,62.0,12.0,10.0,54.5
2022-2023,LaLiga,Villarreal,Gerónimo Rulli,ARG,GK,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,100.0
2022-2023,LaLiga,Villarreal,Gerard Moreno,ESP,FW,30.0,4.0,0.0,0.0,11.0,14.0,13.0,8.0,5.0,6.0,0.0,0.0,0.0,38.0,19.0,17.0,52.8
2022-2023,LaLiga,Villarreal,Giovani Lo Celso,ARG,"MF,FW",26.0,3.0,0.0,0.0,15.0,31.0,4.0,31.0,6.0,28.0,0.0,0.0,0.0,61.0,2.0,5.0,28.6
2022-2023,LaLiga,Villarreal,Kiko Femenía,ESP,DF,31.0,0.0,0.0,0.0,6.0,8.0,0.0,31.0,20.0,9.0,0.0,0.0,0.0,61.0,9.0,6.0,60.0
2022-2023,LaLiga,Villarreal,José Luis Morales,ESP,"FW,MF",35.0,2.0,0.0,0.0,6.0,10.0,11.0,13.0,2.0,6.0,0.0,0.0,0.0,29.0,8.0,16.0,33.3
2022-2023,LaLiga,Villarreal,Ramón Terrats,ESP,MF,21.0,1.0,0.0,0.0,14.0,18.0,0.0,16.0,8.0,10.0,0.0,0.0,0.0,43.0,6.0,7.0,46.2
2022-2023,LaLiga,Villarreal,Francis Coquelin,FRA,MF,31.0,2.0,0.0,0.0,11.0,7.0,0.0,5.0,9.0,13.0,0.0,0.0,0.0,36.0,6.0,4.0,60.0
2022-2023,LaLiga,Villarreal,Manu Trigueros,ESP,MF,30.0,2.0,1.0,0.0,13.0,10.0,1.0,4.0,5.0,14.0,0.0,0.0,0.0,33.0,6.0,13.0,31.6
2022-2023,LaLiga,Villarreal,Arnaut Danjuma,NED,FW,25.0,0.0,0.0,0.0,2.0,7.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
2022-2023,LaLiga,Villarreal,Johan Mojica,COL,DF,29.0,0.0,0.0,0.0,3.0,14.0,0.0,40.0,4.0,9.0,0.0,0.0,0.0,49.0,7.0,4.0,63.6
2022-2023,LaLiga,Villarreal,Jorge Cuenca,ESP,DF,22.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,6.0,7.0,0.0,1.0,0.0,28.0,15.0,7.0,68.2
2022-2023,LaLiga,Villarreal,Filip Jørgensen,DEN,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
2022-2023,LaLiga,Villarreal,Manu Morlanes,ESP,MF,23.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
2022-2023,LaLiga,Villarreal,Haissem Hassan,FRA,"FW,MF",20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
2022-2023,LaLiga,Villarreal,Mamadou Fall,SEN,DF,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,
2022-2023,LaLiga,Villarreal,Fernando Niño,ESP,"MF,FW",21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-2023,LaLiga,Villarreal,Pascu,ESP,"DF,FW",19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
