Season,League,Team,Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
2022-2023,PrimeiraLiga,Porto,Opponent Total,,,25.9,34.0,73.0,10.0,0.0,8.0,2.0,70.8,0.33,-0.2,0.0,231.0,623.0,37.1,849.0,178.0,45.3,38.1,388.0,61.3,46.7,469.0,30.0,6.4,34.0,1.0,12.3
2022-2023,PrimeiraLiga,Braga,Matheus,BRA,GK,30.0,31.9,28.0,4.0,0.0,2.0,0.0,30.8,0.25,2.8,0.09,182.0,427.0,42.6,989.0,154.0,32.0,32.6,232.0,47.8,39.2,434.0,34.0,7.8,53.0,1.66,16.7
2022-2023,PrimeiraLiga,Braga,Tiago Sá,POR,GK,27.0,1.9,2.0,0.0,0.0,0.0,0.0,2.5,0.78,0.5,0.25,4.0,11.0,36.4,38.0,4.0,15.8,24.8,17.0,29.4,35.1,17.0,0.0,0.0,1.0,0.54,14.6
2022-2023,PrimeiraLiga,Braga,Lukáš Horníček,CZE,GK,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,50.0,4.0,1.0,25.0,35.0,1.0,100.0,48.0,6.0,0.0,0.0,0.0,0.0,11.0
2022-2023,PrimeiraLiga,Braga,Squad Total,,,26.4,34.0,30.0,4.0,0.0,2.0,0.0,33.3,0.27,3.3,0.1,187.0,440.0,42.5,1031.0,159.0,31.3,24.8,250.0,46.8,39.0,457.0,34.0,7.4,54.0,1.59,14.6
2022-2023,PrimeiraLiga,Braga,Opponent Total,,,26.2,34.0,75.0,4.0,1.0,6.0,3.0,72.3,0.31,0.3,0.01,183.0,470.0,38.9,848.0,177.0,36.7,34.9,294.0,54.1,43.0,547.0,33.0,6.0,36.0,1.06,13.7
2022-2023,PrimeiraLiga,Sporting CP,Antonio Adán,ESP,GK,35.0,31.0,29.0,4.0,0.0,1.0,1.0,30.6,0.29,2.6,0.08,62.0,187.0,33.2,875.0,147.0,17.7,27.4,150.0,21.3,28.3,244.0,27.0,11.1,28.0,0.9,14.0
2022-2023,PrimeiraLiga,Sporting CP,Franco Israel,URU,GK,22.0,3.0,3.0,0.0,0.0,0.0,0.0,2.2,0.55,-0.8,-0.27,7.0,15.0,46.7,83.0,17.0,7.2,23.0,20.0,45.0,38.0,27.0,5.0,18.5,3.0,1.0,16.7
2022-2023,PrimeiraLiga,Sporting CP,Squad Total,,,25.8,34.0,32.0,4.0,0.0,1.0,1.0,32.8,0.3,1.8,0.05,69.0,204.0,33.8,960.0,164.0,17.0,,170.0,24.1,29.5,271.0,32.0,11.8,31.0,0.91,
2022-2023,PrimeiraLiga,Sporting CP,Opponent Total,,,26.1,34.0,71.0,7.0,0.0,8.0,5.0,69.8,0.32,3.8,0.11,182.0,572.0,31.8,902.0,178.0,42.9,37.5,332.0,55.7,43.6,627.0,45.0,7.2,46.0,1.35,12.6
2022-2023,PrimeiraLiga,Arouca,Ignacio De Arruabarrena,URU,GK,25.0,30.0,32.0,4.0,1.0,2.0,1.0,42.4,0.27,11.4,0.38,176.0,472.0,37.3,715.0,175.0,43.4,36.3,302.0,53.6,41.2,591.0,35.0,5.9,26.0,0.87,13.2
2022-2023,PrimeiraLiga,Arouca,Emilijus Zubas,LTU,GK,32.0,3.0,4.0,1.0,0.0,1.0,0.0,3.6,0.27,-0.4,-0.14,23.0,52.0,44.2,73.0,13.0,38.4,36.5,32.0,75.0,51.3,61.0,3.0,4.9,5.0,1.67,15.8
2022-2023,PrimeiraLiga,Arouca,Mosquito,BRA,GK,26.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.34,0.6,0.65,3.0,5.0,60.0,20.0,9.0,20.0,26.2,5.0,20.0,24.8,20.0,3.0,15.0,0.0,0.0,3.6
2022-2023,PrimeiraLiga,Arouca,João Valido,POR,GK,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,,1.0,100.0,57.0,1.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Arouca,Squad Total,,,26.0,34.0,37.0,5.0,1.0,3.0,1.0,47.6,0.27,11.6,0.34,203.0,530.0,38.3,808.0,197.0,42.3,,340.0,55.3,41.9,673.0,41.0,6.1,31.0,0.91,
2022-2023,PrimeiraLiga,Arouca,Opponent Total,,,26.3,34.0,36.0,5.0,0.0,3.0,0.0,38.1,0.27,2.1,0.06,123.0,319.0,38.6,737.0,174.0,27.1,32.2,230.0,51.7,42.7,343.0,17.0,5.0,53.0,1.56,17.2
2022-2023,PrimeiraLiga,Vitória,Bruno Varela,CPV,GK,27.0,27.0,25.0,1.0,0.0,2.0,0.0,30.5,0.32,5.5,0.21,195.0,509.0,38.3,689.0,99.0,46.3,39.3,265.0,71.7,49.8,412.0,23.0,5.6,28.0,1.04,13.4
2022-2023,PrimeiraLiga,Vitória,Celton Biai,POR,GK,21.0,5.0,11.0,1.0,1.0,1.0,1.0,7.6,0.3,-2.4,-0.48,28.0,74.0,37.8,127.0,21.0,44.1,36.5,27.0,66.7,47.9,65.0,4.0,6.2,12.0,2.4,20.5
2022-2023,PrimeiraLiga,Vitória,Rafa,POR,GK,18.0,2.0,3.0,0.0,0.0,0.0,0.0,2.4,0.27,-0.6,-0.29,6.0,24.0,25.0,33.0,13.0,33.3,35.4,21.0,61.9,47.9,19.0,1.0,5.3,5.0,2.5,17.3
2022-2023,PrimeiraLiga,Vitória,Squad Total,,,24.3,34.0,39.0,2.0,1.0,3.0,1.0,40.6,0.31,2.6,0.08,229.0,607.0,37.7,849.0,133.0,45.5,,313.0,70.6,49.5,496.0,28.0,5.6,45.0,1.32,
2022-2023,PrimeiraLiga,Vitória,Opponent Total,,,26.3,34.0,34.0,5.0,0.0,4.0,0.0,33.7,0.24,-0.3,-0.01,164.0,405.0,40.5,724.0,128.0,36.7,34.5,261.0,53.3,43.0,460.0,36.0,7.8,42.0,1.24,14.7
2022-2023,PrimeiraLiga,Chaves,Paulo Vítor Fagundes dos Anjos,BRA,GK,33.0,30.0,33.0,5.0,1.0,3.0,0.0,40.8,0.25,7.8,0.26,149.0,391.0,38.1,726.0,183.0,33.7,35.0,297.0,49.2,42.9,608.0,58.0,9.5,47.0,1.57,13.2
2022-2023,PrimeiraLiga,Chaves,Rodrigo Nascimento,BRA,GK,26.0,4.0,7.0,1.0,0.0,1.0,0.0,8.6,0.31,1.6,0.41,12.0,42.0,28.6,71.0,20.0,32.4,33.5,32.0,59.4,43.4,55.0,7.0,12.7,8.0,2.02,17.2
2022-2023,PrimeiraLiga,Chaves,Gonçalo Filipe,POR,GK,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,4.0,25.0,1.0,0.0,100.0,62.0,3.0,100.0,62.7,7.0,0.0,0.0,0.0,0.0,6.0
2022-2023,PrimeiraLiga,Chaves,Squad Total,,,27.5,34.0,40.0,6.0,1.0,4.0,0.0,49.4,0.26,9.4,0.28,162.0,437.0,37.1,798.0,203.0,33.7,,332.0,50.6,43.2,670.0,65.0,9.7,55.0,1.62,
2022-2023,PrimeiraLiga,Chaves,Opponent Total,,,26.1,34.0,35.0,7.0,0.0,5.0,1.0,45.6,0.27,11.6,0.34,151.0,401.0,37.7,849.0,168.0,32.5,33.0,282.0,44.3,39.6,467.0,31.0,6.6,38.0,1.12,13.6
2022-2023,PrimeiraLiga,Famalicão,Luiz Lúcio Reis Júnior,BRA,GK,21.0,33.0,45.0,7.0,0.0,2.0,2.0,43.8,0.24,0.8,0.02,197.0,483.0,40.8,757.0,166.0,41.5,36.0,280.0,60.4,47.0,511.0,39.0,7.6,33.0,1.0,13.1
2022-2023,PrimeiraLiga,Famalicão,Ivan Zlobin,RUS,GK,25.0,1.0,2.0,0.0,0.0,1.0,0.0,0.6,0.13,-1.4,-1.36,13.0,31.0,41.9,27.0,3.0,63.0,48.4,19.0,73.7,54.4,32.0,2.0,6.3,0.0,0.0,6.2
2022-2023,PrimeiraLiga,Famalicão,Squad Total,,,24.0,34.0,47.0,7.0,0.0,3.0,2.0,44.4,0.23,-0.6,-0.02,210.0,514.0,40.9,784.0,169.0,42.2,,299.0,61.2,47.5,543.0,41.0,7.6,33.0,0.97,
2022-2023,PrimeiraLiga,Famalicão,Opponent Total,,,26.3,34.0,39.0,3.0,1.0,4.0,2.0,35.6,0.26,-1.4,-0.04,150.0,352.0,42.6,810.0,166.0,27.8,31.0,279.0,45.5,40.4,549.0,28.0,5.1,41.0,1.21,15.2
2022-2023,PrimeiraLiga,Boavista,Rafael Bracalli,BRA,GK,41.0,28.0,44.0,4.0,0.0,3.0,2.0,45.3,0.34,3.3,0.12,147.0,386.0,38.1,557.0,112.0,45.1,36.8,244.0,55.3,42.9,425.0,36.0,8.5,21.0,0.75,12.2
2022-2023,PrimeiraLiga,Boavista,César,BRA,GK,30.0,5.0,9.0,1.0,0.0,1.0,0.0,6.0,0.34,-3.0,-0.59,15.0,50.0,30.0,92.0,25.0,40.2,35.4,32.0,40.6,39.7,64.0,7.0,10.9,4.0,0.8,10.7
2022-2023,PrimeiraLiga,Boavista,João Gonçalves,POR,GK,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.3,0.23,0.3,0.3,1.0,8.0,12.5,22.0,5.0,27.3,28.8,5.0,40.0,38.0,12.0,1.0,8.3,0.0,0.0,3.8
2022-2023,PrimeiraLiga,Boavista,Squad Total,,,27.1,34.0,54.0,5.0,0.0,4.0,2.0,52.7,0.33,0.7,0.02,163.0,444.0,36.7,671.0,142.0,43.8,35.4,281.0,53.4,42.4,501.0,44.0,8.8,25.0,0.74,10.7
2022-2023,PrimeiraLiga,Boavista,Opponent Total,,,26.0,34.0,43.0,2.0,2.0,4.0,0.0,37.1,0.28,-5.9,-0.17,170.0,375.0,45.3,930.0,185.0,27.7,31.3,245.0,47.8,40.7,521.0,30.0,5.8,38.0,1.12,14.6
2022-2023,PrimeiraLiga,Casa Pia,Ricardo Batista,POR,GK,35.0,31.0,31.0,4.0,0.0,5.0,0.0,42.3,0.29,11.3,0.37,158.0,488.0,32.4,717.0,105.0,39.2,35.3,285.0,72.6,51.8,445.0,31.0,7.0,26.0,0.84,12.0
2022-2023,PrimeiraLiga,Casa Pia,Lucas Paes,BRA,GK,24.0,2.0,7.0,0.0,0.0,0.0,2.0,3.5,0.2,-1.5,-0.75,8.0,31.0,25.8,54.0,12.0,44.4,39.8,15.0,46.7,38.7,38.0,4.0,10.5,4.0,2.0,13.0
2022-2023,PrimeiraLiga,Casa Pia,João,BRA,GK,24.0,1.0,2.0,1.0,0.0,0.0,0.0,1.7,0.25,-0.3,-0.26,1.0,6.0,16.7,17.0,6.0,29.4,31.2,6.0,16.7,27.2,10.0,0.0,0.0,0.0,0.0,11.0
2022-2023,PrimeiraLiga,Casa Pia,Squad Total,,,28.3,34.0,40.0,5.0,0.0,5.0,2.0,47.6,0.28,9.6,0.28,167.0,525.0,31.8,788.0,123.0,39.3,35.3,306.0,70.3,50.7,493.0,35.0,7.1,30.0,0.88,12.0
2022-2023,PrimeiraLiga,Casa Pia,Opponent Total,,,26.0,34.0,31.0,3.0,2.0,3.0,2.0,35.0,0.28,6.0,0.18,136.0,319.0,42.6,819.0,170.0,24.7,29.6,258.0,45.3,39.4,470.0,20.0,4.3,45.0,1.32,16.8
2022-2023,PrimeiraLiga,Vizela,Fabijan Buntić,CRO,GK,25.0,33.0,37.0,7.0,0.0,4.0,1.0,38.7,0.23,2.7,0.08,135.0,363.0,37.2,553.0,181.0,34.4,33.4,331.0,52.3,41.3,635.0,20.0,3.1,36.0,1.09,15.1
2022-2023,PrimeiraLiga,Vizela,Luiz Felipe,BRA,GK,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,0.2,0.2,0.21,3.0,12.0,25.0,13.0,3.0,46.2,38.2,9.0,66.7,47.0,17.0,0.0,0.0,0.0,0.0,7.3
2022-2023,PrimeiraLiga,Vizela,Squad Total,,,25.8,34.0,38.0,7.0,0.0,4.0,1.0,39.9,0.22,2.9,0.08,138.0,375.0,36.8,566.0,184.0,34.6,,340.0,52.6,41.4,652.0,20.0,3.1,36.0,1.06,
2022-2023,PrimeiraLiga,Vizela,Opponent Total,,,26.2,34.0,34.0,1.0,0.0,1.0,4.0,42.0,0.27,12.0,0.35,183.0,434.0,42.2,944.0,204.0,33.7,32.9,259.0,44.8,38.9,457.0,29.0,6.3,55.0,1.62,15.8
2022-2023,PrimeiraLiga,Rio Ave,Jhonatan,BRA,GK,31.0,32.0,39.0,0.0,1.0,3.0,2.0,42.3,0.28,5.3,0.17,132.0,357.0,37.0,762.0,201.0,29.3,33.6,275.0,48.7,43.2,521.0,30.0,5.8,25.0,0.78,12.2
2022-2023,PrimeiraLiga,Rio Ave,Magrão,BRA,GK,22.0,2.0,4.0,1.0,0.0,1.0,1.0,3.9,0.37,0.9,0.47,3.0,10.0,30.0,43.0,13.0,20.9,32.3,14.0,7.1,19.9,31.0,2.0,6.5,6.0,3.0,17.7
2022-2023,PrimeiraLiga,Rio Ave,Squad Total,,,26.9,34.0,43.0,1.0,1.0,4.0,3.0,46.2,0.29,6.2,0.18,135.0,367.0,36.8,805.0,214.0,28.8,,289.0,46.7,42.1,552.0,32.0,5.8,31.0,0.91,
2022-2023,PrimeiraLiga,Rio Ave,Opponent Total,,,26.1,34.0,36.0,3.0,0.0,3.0,1.0,38.0,0.26,3.0,0.09,171.0,489.0,35.0,825.0,151.0,39.2,35.4,289.0,57.4,44.0,499.0,37.0,7.4,43.0,1.26,15.6
2022-2023,PrimeiraLiga,Gil Vicente FC,Andrew,BRA,GK,21.0,23.7,26.0,2.0,0.0,2.0,0.0,32.2,0.26,6.2,0.26,94.0,255.0,36.9,734.0,193.0,22.9,29.3,212.0,41.0,38.9,323.0,22.0,6.8,46.0,1.94,16.4
2022-2023,PrimeiraLiga,Gil Vicente FC,Stanislav Kritsyuk,RUS,GK,31.0,10.3,15.0,1.0,0.0,6.0,0.0,19.7,0.37,4.7,0.46,56.0,100.0,56.0,314.0,77.0,22.6,28.8,78.0,37.2,35.6,192.0,16.0,8.3,14.0,1.36,14.2
2022-2023,PrimeiraLiga,Gil Vicente FC,Squad Total,,,25.9,34.0,41.0,3.0,0.0,8.0,0.0,51.9,0.29,10.9,0.32,150.0,355.0,42.3,1048.0,270.0,22.8,,290.0,40.0,38.0,515.0,38.0,7.4,60.0,1.76,
2022-2023,PrimeiraLiga,Gil Vicente FC,Opponent Total,,,26.0,34.0,32.0,5.0,0.0,4.0,1.0,45.5,0.28,14.5,0.43,177.0,465.0,38.1,877.0,144.0,35.7,34.9,294.0,51.7,43.1,583.0,24.0,4.1,24.0,0.71,13.6
2022-2023,PrimeiraLiga,Estoril,Daniel Leite,POR,GK,24.0,31.7,41.0,7.0,0.0,7.0,1.0,47.0,0.27,7.0,0.22,120.0,351.0,34.2,846.0,172.0,26.6,30.6,287.0,43.9,39.5,510.0,18.0,3.5,32.0,1.01,14.8
2022-2023,PrimeiraLiga,Estoril,Pedro José Moreira Silva,POR,GK,25.0,2.3,8.0,3.0,0.0,2.0,0.0,9.6,0.31,1.6,0.69,9.0,29.0,31.0,56.0,16.0,32.1,33.1,28.0,39.3,38.4,45.0,4.0,8.9,0.0,0.0,4.5
2022-2023,PrimeiraLiga,Estoril,Squad Total,,,24.6,34.0,49.0,10.0,0.0,9.0,1.0,56.6,0.27,8.6,0.25,129.0,380.0,33.9,902.0,188.0,26.9,,315.0,43.5,39.4,555.0,22.0,4.0,32.0,0.94,
2022-2023,PrimeiraLiga,Estoril,Opponent Total,,,26.1,34.0,33.0,3.0,0.0,3.0,0.0,37.4,0.31,4.4,0.13,191.0,443.0,43.1,776.0,159.0,36.1,33.7,263.0,62.0,45.4,468.0,37.0,7.9,33.0,0.97,13.1
2022-2023,PrimeiraLiga,Portimonense,Kosuke Nakamura,JPN,GK,27.0,30.0,46.0,2.0,2.0,5.0,1.0,56.0,0.3,11.0,0.37,206.0,531.0,38.8,888.0,138.0,39.4,34.7,288.0,62.8,47.8,465.0,14.0,3.0,32.0,1.07,13.4
2022-2023,PrimeiraLiga,Portimonense,Samuel Portugal,BRA,GK,28.0,4.0,2.0,0.0,0.0,0.0,0.0,3.6,0.2,1.6,0.39,24.0,68.0,35.3,111.0,15.0,41.4,37.4,27.0,81.5,57.4,70.0,4.0,5.7,5.0,1.25,14.5
2022-2023,PrimeiraLiga,Portimonense,Squad Total,,,25.8,34.0,48.0,2.0,2.0,5.0,1.0,59.6,0.29,12.6,0.37,230.0,599.0,38.4,999.0,153.0,39.6,,315.0,64.4,48.6,535.0,18.0,3.4,37.0,1.09,
2022-2023,PrimeiraLiga,Portimonense,Opponent Total,,,26.2,34.0,25.0,3.0,0.0,2.0,0.0,32.6,0.24,7.6,0.22,129.0,412.0,31.3,837.0,174.0,33.3,34.3,272.0,48.9,42.0,504.0,29.0,5.8,40.0,1.18,13.7
2022-2023,PrimeiraLiga,Marítimo,Marcelo Carné,BRA,GK,32.0,14.0,24.0,3.0,0.0,2.0,1.0,23.9,0.31,0.9,0.07,41.0,154.0,26.6,320.0,69.0,30.3,32.4,131.0,43.5,39.4,208.0,9.0,4.3,15.0,1.07,13.9
2022-2023,PrimeiraLiga,Marítimo,João Miguel Macedo Silva,POR,GK,27.0,8.0,23.0,1.0,0.0,3.0,0.0,22.9,0.42,-0.1,-0.01,42.0,152.0,27.6,187.0,33.0,46.0,39.2,91.0,72.5,51.8,101.0,6.0,5.9,11.0,1.38,13.7
2022-2023,PrimeiraLiga,Marítimo,Giorgi Makaridze,GEO,GK,32.0,6.0,11.0,2.0,0.0,0.0,0.0,8.4,0.32,-2.6,-0.43,23.0,66.0,34.8,172.0,31.0,26.7,31.6,49.0,40.8,37.4,76.0,4.0,5.3,15.0,2.5,16.3
2022-2023,PrimeiraLiga,Marítimo,Matouš Trmal,CZE,GK,23.0,6.0,5.0,1.0,0.0,0.0,0.0,7.3,0.24,2.3,0.39,17.0,55.0,30.9,138.0,27.0,28.3,30.2,44.0,36.4,34.1,86.0,5.0,5.8,8.0,1.33,16.2
2022-2023,PrimeiraLiga,Marítimo,Squad Total,,,26.7,34.0,63.0,7.0,0.0,5.0,1.0,62.6,0.34,0.6,0.02,123.0,427.0,28.8,817.0,160.0,32.8,31.6,315.0,50.5,42.0,471.0,24.0,5.1,49.0,1.44,16.3
2022-2023,PrimeiraLiga,Marítimo,Opponent Total,,,26.2,34.0,32.0,4.0,0.0,4.0,1.0,35.9,0.24,4.9,0.14,181.0,538.0,33.6,846.0,141.0,42.0,36.6,315.0,58.1,45.9,537.0,36.0,6.7,36.0,1.06,13.2
2022-2023,PrimeiraLiga,Paços,José Carlos Marafona,POR,GK,35.0,15.8,22.0,0.0,1.0,2.0,2.0,22.8,0.31,2.8,0.18,96.0,237.0,40.5,352.0,53.0,46.3,38.6,120.0,61.7,44.4,287.0,9.0,3.1,13.0,0.82,13.0
2022-2023,PrimeiraLiga,Paços,Igor Vekič,SVN,GK,24.0,9.1,17.0,1.0,0.0,1.0,0.0,15.2,0.42,-1.8,-0.2,55.0,116.0,47.4,201.0,29.0,33.8,31.7,87.0,55.2,43.4,123.0,10.0,8.1,15.0,1.64,14.8
2022-2023,PrimeiraLiga,Paços,Jordi Almeida,BRA,GK,28.0,6.0,14.0,0.0,0.0,1.0,2.0,10.4,0.3,-1.6,-0.27,15.0,86.0,17.4,127.0,34.0,44.1,39.5,66.0,45.5,40.4,86.0,7.0,8.1,5.0,0.83,11.0
2022-2023,PrimeiraLiga,Paços,José Oliveira,POR,GK,20.0,3.0,9.0,1.0,0.0,1.0,0.0,8.6,0.42,-0.4,-0.13,9.0,24.0,37.5,67.0,17.0,22.4,29.3,24.0,37.5,32.5,37.0,4.0,10.8,3.0,1.0,11.0
2022-2023,PrimeiraLiga,Paços,Squad Total,,,26.6,34.0,62.0,2.0,1.0,5.0,4.0,56.9,0.34,-1.1,-0.03,175.0,463.0,37.8,747.0,133.0,40.4,,297.0,54.2,42.3,533.0,30.0,5.6,36.0,1.06,
2022-2023,PrimeiraLiga,Paços,Opponent Total,,,26.1,34.0,26.0,3.0,1.0,6.0,1.0,35.2,0.27,10.2,0.3,129.0,343.0,37.6,783.0,167.0,29.4,32.0,237.0,47.7,41.8,586.0,34.0,5.8,28.0,0.82,12.5
2022-2023,PrimeiraLiga,Santa Clara,Gabriel Batista,BRA,GK,24.0,26.0,49.0,6.0,1.0,6.0,3.0,44.6,0.31,-1.4,-0.05,219.0,534.0,41.0,669.0,96.0,52.9,41.3,222.0,81.1,56.1,399.0,17.0,4.3,28.0,1.08,14.8
2022-2023,PrimeiraLiga,Santa Clara,Marco André Rocha Pereira,POR,GK,35.0,8.0,9.0,1.0,0.0,2.0,0.0,11.2,0.3,2.2,0.28,45.0,113.0,39.8,210.0,27.0,44.3,39.0,64.0,31.3,34.0,116.0,2.0,1.7,5.0,0.63,14.2
2022-2023,PrimeiraLiga,Santa Clara,Squad Total,,,25.0,34.0,58.0,7.0,1.0,8.0,3.0,55.9,0.3,0.9,0.03,264.0,647.0,40.8,879.0,123.0,50.9,,286.0,69.9,51.1,515.0,19.0,3.7,33.0,0.97,
2022-2023,PrimeiraLiga,Santa Clara,Opponent Total,,,26.2,34.0,26.0,6.0,0.0,2.0,0.0,32.4,0.22,6.4,0.19,152.0,433.0,35.1,893.0,169.0,32.8,32.2,268.0,52.2,41.4,458.0,41.0,9.0,33.0,0.97,13.6
