Season,League,Team,Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
2022-2023,EreDivisie,Groningen,Jan de Boer,NED,GK,22.0,2.5,12.0,1.0,1.0,0.0,0.0,8.8,0.25,-3.2,-1.26,13.0,67.0,19.4,54.0,9.0,70.4,47.6,29.0,100.0,68.9,59.0,0.0,0.0,1.0,0.4,8.2
2022-2023,EreDivisie,Groningen,Squad Total,,,23.0,34.0,75.0,7.0,1.0,7.0,0.0,65.4,0.31,-9.6,-0.28,219.0,668.0,32.8,1011.0,136.0,45.2,39.9,312.0,67.6,50.9,542.0,19.0,3.5,27.0,0.79,11.9
2022-2023,EreDivisie,Groningen,Opponent Total,,,25.1,34.0,31.0,1.0,1.0,3.0,1.0,30.2,0.29,0.2,0.01,172.0,447.0,38.5,856.0,143.0,36.8,34.7,241.0,54.8,45.2,429.0,34.0,7.9,29.0,0.85,13.9
2022-2023,PrimeiraLiga,Benfica,Odisseas Vlachodimos,GRE,GK,28.0,34.0,20.0,2.0,0.0,2.0,1.0,20.3,0.26,1.3,0.04,76.0,186.0,40.9,638.0,144.0,22.3,28.1,173.0,25.4,30.4,326.0,20.0,6.1,29.0,0.85,14.9
2022-2023,PrimeiraLiga,Benfica,Samuel Soares,POR,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.82,1.0,2.0,50.0,4.0,0.0,50.0,31.8,0.0,,,1.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Benfica,Squad Total,,,26.0,34.0,20.0,2.0,0.0,2.0,1.0,20.3,0.26,1.3,0.04,77.0,188.0,41.0,642.0,144.0,22.4,,173.0,25.4,30.4,327.0,20.0,6.1,29.0,0.85,
2022-2023,PrimeiraLiga,Benfica,Opponent Total,,,26.1,34.0,82.0,9.0,2.0,6.0,4.0,86.3,0.38,8.3,0.25,194.0,524.0,37.0,931.0,183.0,35.3,34.8,352.0,55.4,43.9,626.0,37.0,5.9,27.0,0.79,10.9
2022-2023,PrimeiraLiga,Porto,Diogo Costa,POR,GK,22.0,33.0,22.0,4.0,1.0,1.0,3.0,25.1,0.27,6.1,0.19,185.0,414.0,44.7,1068.0,153.0,32.3,33.5,202.0,34.2,36.5,402.0,30.0,7.5,41.0,1.24,16.2
2022-2023,PrimeiraLiga,Porto,Cláudio Ramos,POR,GK,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,100.0,18.0,4.0,0.0,21.5,5.0,20.0,31.8,10.0,1.0,10.0,4.0,4.0,24.0
2022-2023,PrimeiraLiga,Porto,Squad Total,,,27.5,34.0,22.0,4.0,1.0,1.0,3.0,25.1,0.27,6.1,0.18,186.0,415.0,44.8,1086.0,157.0,31.8,,207.0,33.8,36.4,412.0,31.0,7.5,45.0,1.32,
