Season,League,Team,Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
2022-2023,PrimeiraLiga,Chaves,Rodrigo Nascimento,BRA,GK,26.0,4.0,4.0,357.0,4.0,7.0,1.76,18.0,9.0,66.7,1.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,1.0,66.7
2022-2023,PrimeiraLiga,Chaves,Gonçalo Filipe,POR,GK,22.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Famalicão,Luiz Lúcio Reis Júnior,BRA,GK,21.0,33.0,33.0,2970.0,33.0,45.0,1.36,151.0,106.0,74.8,13.0,4.0,16.0,10.0,30.3,9.0,7.0,2.0,0.0,22.2
2022-2023,PrimeiraLiga,Famalicão,Ivan Zlobin,RUS,GK,25.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Boavista,Rafael Bracalli,BRA,GK,41.0,28.0,28.0,2520.0,28.0,44.0,1.57,122.0,79.0,67.2,8.0,8.0,12.0,5.0,17.9,6.0,4.0,1.0,1.0,20.0
2022-2023,PrimeiraLiga,Boavista,César,BRA,GK,30.0,5.0,5.0,450.0,5.0,9.0,1.8,15.0,6.0,46.7,3.0,0.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Boavista,João Gonçalves,POR,GK,21.0,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Casa Pia,Ricardo Batista,POR,GK,35.0,31.0,31.0,2790.0,31.0,31.0,1.0,131.0,98.0,79.4,11.0,8.0,12.0,11.0,35.5,6.0,4.0,2.0,0.0,33.3
2022-2023,PrimeiraLiga,Casa Pia,Lucas Paes,BRA,GK,24.0,2.0,2.0,180.0,2.0,7.0,3.5,18.0,13.0,61.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Casa Pia,João,BRA,GK,24.0,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Vizela,Fabijan Buntić,CRO,GK,25.0,33.0,33.0,2970.0,33.0,37.0,1.12,133.0,95.0,77.4,11.0,7.0,15.0,11.0,33.3,9.0,7.0,2.0,0.0,22.2
2022-2023,PrimeiraLiga,Vizela,Luiz Felipe,BRA,GK,25.0,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Rio Ave,Jhonatan,BRA,GK,31.0,32.0,32.0,2880.0,32.0,39.0,1.22,146.0,107.0,73.3,10.0,10.0,12.0,10.0,31.3,3.0,0.0,2.0,1.0,100.0
2022-2023,PrimeiraLiga,Rio Ave,Magrão,BRA,GK,22.0,2.0,2.0,180.0,2.0,4.0,2.0,8.0,5.0,62.5,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Gil Vicente FC,Andrew,BRA,GK,21.0,24.0,23.0,2131.0,23.7,26.0,1.1,121.0,95.0,80.2,6.0,6.0,11.0,7.0,30.4,2.0,2.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Gil Vicente FC,Stanislav Kritsyuk,RUS,GK,31.0,11.0,11.0,929.0,10.3,15.0,1.45,55.0,40.0,74.5,4.0,1.0,6.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Estoril,Daniel Leite,POR,GK,24.0,32.0,32.0,2855.0,31.7,41.0,1.29,144.0,102.0,76.4,10.0,4.0,18.0,8.0,25.0,10.0,7.0,2.0,1.0,22.2
2022-2023,PrimeiraLiga,Estoril,Pedro José Moreira Silva,POR,GK,25.0,3.0,2.0,203.0,2.3,8.0,3.55,18.0,9.0,72.2,0.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,25.0
2022-2023,PrimeiraLiga,Portimonense,Kosuke Nakamura,JPN,GK,27.0,30.0,30.0,2700.0,30.0,46.0,1.53,181.0,135.0,75.7,7.0,4.0,19.0,6.0,20.0,4.0,2.0,1.0,1.0,33.3
2022-2023,PrimeiraLiga,Portimonense,Samuel Portugal,BRA,GK,28.0,4.0,4.0,360.0,4.0,2.0,0.5,18.0,16.0,88.9,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Marítimo,Marcelo Carné,BRA,GK,32.0,14.0,14.0,1260.0,14.0,24.0,1.71,68.0,45.0,69.1,5.0,1.0,8.0,2.0,14.3,4.0,3.0,0.0,1.0,0.0
2022-2023,PrimeiraLiga,Marítimo,João Miguel Macedo Silva,POR,GK,27.0,8.0,8.0,720.0,8.0,23.0,2.87,53.0,30.0,58.5,0.0,1.0,7.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
2022-2023,PrimeiraLiga,Marítimo,Giorgi Makaridze,GEO,GK,32.0,6.0,6.0,540.0,6.0,11.0,1.83,20.0,9.0,55.0,1.0,0.0,5.0,1.0,16.7,2.0,2.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Marítimo,Matouš Trmal,CZE,GK,23.0,6.0,6.0,540.0,6.0,5.0,0.83,26.0,21.0,84.6,1.0,3.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Paços,José Carlos Marafona,POR,GK,35.0,16.0,16.0,1426.0,15.8,22.0,1.39,80.0,60.0,72.5,6.0,3.0,7.0,2.0,12.5,1.0,0.0,0.0,1.0,
2022-2023,PrimeiraLiga,Paços,Igor Vekič,SVN,GK,24.0,10.0,9.0,821.0,9.1,17.0,1.86,34.0,17.0,52.9,0.0,2.0,7.0,1.0,11.1,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Paços,Jordi Almeida,BRA,GK,28.0,6.0,6.0,540.0,6.0,14.0,2.33,35.0,23.0,60.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,PrimeiraLiga,Paços,José Oliveira,POR,GK,20.0,3.0,3.0,270.0,3.0,9.0,3.0,18.0,9.0,55.6,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-2023,PrimeiraLiga,Santa Clara,Gabriel Batista,BRA,GK,24.0,26.0,26.0,2340.0,26.0,49.0,1.88,129.0,82.0,66.7,4.0,5.0,17.0,4.0,15.4,9.0,6.0,1.0,2.0,14.3
2022-2023,PrimeiraLiga,Santa Clara,Marco André Rocha Pereira,POR,GK,35.0,8.0,8.0,720.0,8.0,9.0,1.13,31.0,21.0,74.2,1.0,2.0,5.0,1.0,12.5,4.0,1.0,1.0,2.0,50.0
