Season,League,Team,Player,Nation,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,xG,npxG,xAG,npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches Played
2022-2023,EPL,Southampton,Adam Armstrong,ENG,"FW,MF",25.0,14.0,1335.0,14.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,39.0,16.0,70.0,0.13,0.07,0.2,0.13,0.2,2.1,2.1,1.3,3.3,0.14,0.09,0.23,0.14,0.23,30.0
2022-2023,EPL,Southampton,Ainsley Maitland-Niles,ENG,"DF,MF",24.0,13.0,1407.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,57.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.05,0.05,0.0,0.05,22.0
2022-2023,EPL,Southampton,Joe Aribo,NGA,"MF,FW",26.0,13.0,1224.0,13.6,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,19.0,39.0,64.0,0.15,0.0,0.15,0.15,0.15,1.5,1.5,0.8,2.3,0.11,0.06,0.17,0.11,0.17,21.0
2022-2023,EPL,Southampton,Theo Walcott,ENG,"FW,MF",33.0,13.0,1129.0,12.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,21.0,14.0,62.0,0.16,0.16,0.32,0.16,0.32,2.2,2.2,2.0,4.2,0.18,0.16,0.33,0.18,0.33,20.0
2022-2023,EPL,Southampton,Carlos Alcaraz,ARG,"MF,FW",19.0,13.0,1029.0,11.4,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,20.0,28.0,32.0,0.35,0.17,0.52,0.35,0.52,1.9,1.9,0.7,2.6,0.17,0.06,0.23,0.17,0.23,18.0
2022-2023,EPL,Southampton,Lyanco,BRA,DF,25.0,11.0,1180.0,13.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,13.0,35.0,4.0,0.08,0.08,0.15,0.08,0.15,0.6,0.6,0.5,1.0,0.04,0.04,0.08,0.04,0.08,21.0
2022-2023,EPL,Southampton,Ibrahima Diallo,FRA,MF,23.0,11.0,819.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.02,0.01,0.04,0.02,0.04,18.0
2022-2023,EPL,Southampton,Kamaldeen Sulemana,GHA,"FW,MF",20.0,10.0,966.0,10.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,36.0,80.0,0.19,0.09,0.28,0.19,0.28,1.7,1.7,1.3,3.0,0.16,0.12,0.28,0.16,0.28,18.0
2022-2023,EPL,Southampton,Duje Ćaleta-Car,CRO,DF,25.0,9.0,946.0,10.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,33.0,0.0,0.1,0.0,0.1,0.1,0.1,0.8,0.8,0.0,0.8,0.08,0.0,0.08,0.08,0.08,13.0
2022-2023,EPL,Southampton,Moussa Djenepo,MLI,"DF,FW",24.0,7.0,710.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,27.0,19.0,39.0,0.0,0.25,0.25,0.0,0.25,0.2,0.2,0.5,0.7,0.02,0.06,0.09,0.02,0.09,16.0
2022-2023,EPL,Southampton,Alex McCarthy,ENG,GK,32.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2022-2023,EPL,Southampton,Samuel Edozie,ENG,"FW,MF",19.0,5.0,567.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,39.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,0.14,0.06,0.2,0.14,0.2,17.0
2022-2023,EPL,Southampton,Sekou Mara,FRA,"FW,MF",20.0,4.0,555.0,6.2,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,7.0,27.0,0.16,0.32,0.49,0.16,0.49,1.0,1.0,0.8,1.8,0.17,0.12,0.29,0.17,0.29,22.0
2022-2023,EPL,Southampton,Paul Onuachu,NGA,FW,28.0,4.0,407.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.1,1.4,0.28,0.03,0.31,0.28,0.31,11.0
2022-2023,EPL,Southampton,James Bree,ENG,DF,24.0,4.0,367.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.01,0.06,0.06,0.01,0.06,5.0
2022-2023,EPL,Southampton,Juan Larios,ESP,DF,18.0,2.0,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2022-2023,EPL,Southampton,Oriol Romeu,ESP,MF,30.0,1.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,EPL,Southampton,Yan Valery,TUN,DF,23.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,EPL,Southampton,Jack Stephens,ENG,DF,28.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-2023,EPL,Southampton,Valentino Livramento,ENG,"DF,FW",19.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-2023,EPL,Southampton,Dominic Ballard,ENG,"FW,MF",17.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022-2023,EPL,Southampton,Kami Doyle,ENG,MF,16.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,EPL,Southampton,Mislav Oršić,CRO,MF,29.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,EPL,Southampton,Samuel Amo-Ameyaw,ENG,MF,16.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.0,0.86,1.0
2022-2023,EPL,Southampton,Nathan Redmond,ENG,DF,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,EPL,Southampton,Willy Caballero,ARG,GK,40.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,EPL,Southampton,Ryan Finnigan,ENG,MF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,EPL,Southampton,Jimmy Morgan,ENG,FW,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,EPL,Southampton,Lewis Payne,ENG,DF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,EPL,Southampton,Squad Total,,,24.7,418.0,3420.0,38.0,36.0,25.0,61.0,34.0,2.0,4.0,73.0,0.0,588.0,1125.0,1112.0,0.95,0.66,1.61,0.89,1.55,37.7,34.5,28.2,62.7,0.99,0.74,1.73,0.91,1.65,38.0
2022-2023,EPL,Southampton,Opponent Total,,,26.7,418.0,3420.0,38.0,68.0,55.0,123.0,66.0,2.0,3.0,63.0,2.0,652.0,1735.0,1717.0,1.79,1.45,3.24,1.74,3.18,61.0,58.7,46.4,105.0,1.61,1.22,2.83,1.54,2.76,38.0
2022-2023,Bundesliga,Bayern Munich,Joshua Kimmich,GER,MF,27.0,32.0,2809.0,31.2,5.0,6.0,11.0,4.0,1.0,1.0,6.0,1.0,42.0,315.0,56.0,0.16,0.19,0.35,0.13,0.32,2.2,1.4,7.0,8.4,0.07,0.22,0.3,0.05,0.27,33.0
2022-2023,Bundesliga,Bayern Munich,Benjamin Pavard,FRA,DF,26.0,27.0,2431.0,27.0,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,37.0,202.0,65.0,0.15,0.04,0.19,0.15,0.19,2.5,2.5,2.4,5.0,0.09,0.09,0.18,0.09,0.18,30.0
2022-2023,Bundesliga,Bayern Munich,Matthijs de Ligt,NED,DF,22.0,27.0,2403.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,17.0,143.0,14.0,0.11,0.04,0.15,0.11,0.15,1.1,1.1,0.5,1.6,0.04,0.02,0.06,0.04,0.06,31.0
2022-2023,Bundesliga,Bayern Munich,Dayot Upamecano,FRA,DF,23.0,27.0,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,31.0,169.0,7.0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,0.3,1.0,0.03,0.01,0.04,0.03,0.04,29.0
2022-2023,Bundesliga,Bayern Munich,Jamal Musiala,GER,"MF,FW",19.0,26.0,2198.0,24.4,12.0,10.0,22.0,12.0,0.0,0.0,1.0,0.0,89.0,124.0,196.0,0.49,0.41,0.9,0.49,0.9,8.0,8.0,6.6,14.6,0.33,0.27,0.6,0.33,0.6,33.0
2022-2023,Bundesliga,Bayern Munich,Alphonso Davies,CAN,DF,21.0,24.0,2042.0,22.7,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,117.0,133.0,158.0,0.04,0.18,0.22,0.04,0.22,1.7,1.7,3.7,5.4,0.07,0.16,0.24,0.07,0.24,26.0
2022-2023,Bundesliga,Bayern Munich,Serge Gnabry,GER,"FW,MF",27.0,22.0,1941.0,21.6,14.0,5.0,19.0,13.0,1.0,1.0,0.0,0.0,74.0,82.0,217.0,0.65,0.23,0.88,0.6,0.83,11.2,10.4,5.3,15.7,0.52,0.25,0.76,0.48,0.73,34.0
2022-2023,Bundesliga,Bayern Munich,Leon Goretzka,GER,MF,27.0,22.0,1728.0,19.2,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,42.0,114.0,62.0,0.16,0.1,0.26,0.16,0.26,4.7,4.7,2.3,7.1,0.25,0.12,0.37,0.25,0.37,27.0
2022-2023,Bundesliga,Bayern Munich,Thomas Müller,GER,"FW,MF",32.0,21.0,1665.0,18.5,7.0,8.0,15.0,7.0,0.0,0.0,0.0,0.0,33.0,88.0,182.0,0.38,0.43,0.81,0.38,0.81,8.9,8.9,6.6,15.5,0.48,0.36,0.84,0.48,0.84,27.0
2022-2023,Bundesliga,Bayern Munich,Leroy Sané,GER,"MF,FW",26.0,20.0,2010.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,77.0,134.0,198.0,0.36,0.31,0.67,0.36,0.67,8.5,8.5,4.3,12.8,0.38,0.19,0.57,0.38,0.57,32.0
2022-2023,Bundesliga,Bayern Munich,Yann Sommer,SUI,GK,33.0,19.0,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
2022-2023,Bundesliga,Bayern Munich,Sadio Mané,SEN,"FW,MF",30.0,18.0,1425.0,15.8,7.0,5.0,12.0,6.0,1.0,2.0,2.0,0.0,59.0,43.0,164.0,0.44,0.32,0.76,0.38,0.69,8.9,7.2,3.9,11.1,0.56,0.25,0.81,0.46,0.7,25.0
2022-2023,Bundesliga,Bayern Munich,Kingsley Coman,FRA,"FW,MF",26.0,16.0,1409.0,15.7,8.0,5.0,13.0,8.0,0.0,0.0,2.0,1.0,98.0,70.0,296.0,0.51,0.32,0.83,0.51,0.83,4.6,4.6,5.5,10.1,0.29,0.35,0.65,0.29,0.65,24.0
2022-2023,Bundesliga,Bayern Munich,Eric Maxim Choupo-Moting,CMR,FW,33.0,14.0,1112.0,12.4,10.0,2.0,12.0,10.0,0.0,1.0,0.0,0.0,11.0,43.0,77.0,0.81,0.16,0.97,0.81,0.97,6.1,5.3,1.9,7.3,0.49,0.16,0.65,0.43,0.59,19.0
2022-2023,Bundesliga,Bayern Munich,Manuel Neuer,GER,GK,36.0,12.0,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.02,0.02,0.02,12.0
2022-2023,Bundesliga,Bayern Munich,Noussair Mazraoui,MAR,DF,24.0,11.0,1075.0,11.9,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,39.0,99.0,81.0,0.08,0.33,0.42,0.08,0.42,1.1,1.1,1.9,3.0,0.09,0.16,0.25,0.09,0.25,19.0
2022-2023,Bundesliga,Bayern Munich,João Cancelo,POR,"DF,FW",28.0,11.0,1012.0,11.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,51.0,61.0,90.0,0.09,0.36,0.44,0.09,0.44,0.7,0.7,2.3,3.0,0.06,0.21,0.26,0.06,0.26,15.0
2022-2023,Bundesliga,Bayern Munich,Marcel Sabitzer,AUT,MF,28.0,7.0,628.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,52.0,19.0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.4,1.4,0.15,0.05,0.2,0.15,0.2,15.0
2022-2023,Bundesliga,Bayern Munich,Lucas Hernández,FRA,DF,26.0,6.0,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.03,0.03,0.0,0.03,7.0
2022-2023,Bundesliga,Bayern Munich,Josip Stanišić,CRO,DF,22.0,4.0,579.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,66.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.07,0.07,0.0,0.07,14.0
2022-2023,Bundesliga,Bayern Munich,Ryan Gravenberch,NED,MF,20.0,3.0,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,44.0,31.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.5,1.4,0.14,0.08,0.21,0.14,0.21,24.0
2022-2023,Bundesliga,Bayern Munich,Sven Ulreich,GER,GK,33.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-2023,Bundesliga,Bayern Munich,Mathys Tel,FRA,FW,17.0,1.0,417.0,4.6,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,12.0,11.0,59.0,1.08,0.0,1.08,1.08,1.08,2.7,2.7,0.7,3.3,0.58,0.14,0.72,0.58,0.72,22.0
2022-2023,Bundesliga,Bayern Munich,Daley Blind,NED,"DF,MF",32.0,1.0,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.04,0.04,0.08,0.04,0.08,4.0
2022-2023,Bundesliga,Bayern Munich,Paul Wanner,GER,MF,16.0,0.0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.25,0.25,0.0,0.25,2.0
2022-2023,Bundesliga,Bayern Munich,Gabriel Vidovic,CRO,FW,18.0,0.0,19.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.74,4.74,0.0,4.74,0.0,0.0,0.1,0.1,0.0,0.39,0.39,0.0,0.39,1.0
2022-2023,Bundesliga,Bayern Munich,Arijon Ibrahimović,GER,MF,16.0,0.0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,3.31,0.37,3.68,3.31,3.68,1.0
2022-2023,Bundesliga,Bayern Munich,Bouna Sarr,SEN,FW,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,Bundesliga,Bayern Munich,Gabriel Marušić,CRO,DF,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Liam Morrison,SCO,DF,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Tanguy Nianzou,FRA,DF,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Aleksandar Pavlovic,GER,MF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Johannes Schenk,GER,GK,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Joshua Zirkzee,NED,FW,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,Bundesliga,Bayern Munich,Squad Total,,,26.6,374.0,3060.0,34.0,90.0,67.0,157.0,87.0,3.0,5.0,49.0,3.0,863.0,2041.0,2019.0,2.65,1.97,4.62,2.56,4.53,75.0,71.0,56.6,127.7,2.2,1.67,3.87,2.09,3.75,34.0
2022-2023,Bundesliga,Bayern Munich,Opponent Total,,,26.6,374.0,3060.0,34.0,38.0,22.0,60.0,29.0,9.0,10.0,50.0,0.0,354.0,879.0,872.0,1.12,0.65,1.76,0.85,1.5,37.1,29.7,21.9,51.6,1.09,0.65,1.74,0.87,1.52,34.0
2022-2023,Bundesliga,Dortmund,Jude Bellingham,ENG,MF,19.0,30.0,2691.0,29.9,8.0,4.0,12.0,7.0,1.0,1.0,8.0,0.0,97.0,252.0,139.0,0.27,0.13,0.4,0.23,0.37,8.2,7.4,4.0,11.4,0.27,0.14,0.41,0.25,0.38,31.0
2022-2023,Bundesliga,Dortmund,Julian Brandt,GER,"MF,FW",26.0,29.0,2397.0,26.6,9.0,8.0,17.0,9.0,0.0,0.0,2.0,0.0,67.0,119.0,218.0,0.34,0.3,0.64,0.34,0.64,5.2,5.2,9.2,14.3,0.19,0.34,0.54,0.19,0.54,32.0
2022-2023,Bundesliga,Dortmund,Gregor Kobel,SUI,GK,24.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
2022-2023,Bundesliga,Dortmund,Nico Schlotterbeck,GER,DF,22.0,27.0,2252.0,25.0,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,39.0,159.0,14.0,0.16,0.2,0.36,0.16,0.36,1.6,1.6,1.7,3.3,0.06,0.07,0.13,0.06,0.13,28.0
2022-2023,Bundesliga,Dortmund,Raphaël Guerreiro,POR,"DF,MF",28.0,26.0,2290.0,25.4,4.0,12.0,16.0,4.0,0.0,0.0,4.0,0.0,85.0,191.0,163.0,0.16,0.47,0.63,0.16,0.63,2.7,2.7,7.6,10.3,0.11,0.3,0.41,0.11,0.41,27.0
2022-2023,Bundesliga,Dortmund,Mats Hummels,GER,DF,33.0,24.0,2018.0,22.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,21.0,114.0,6.0,0.04,0.0,0.04,0.04,0.04,2.2,2.2,1.1,3.3,0.1,0.05,0.15,0.1,0.15,30.0
2022-2023,Bundesliga,Dortmund,Niklas Süle,GER,DF,26.0,23.0,2118.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,37.0,137.0,57.0,0.08,0.13,0.21,0.08,0.21,2.2,2.2,2.2,4.4,0.09,0.09,0.19,0.09,0.19,29.0
2022-2023,Bundesliga,Dortmund,Donyell Malen,NED,FW,23.0,22.0,1706.0,19.0,9.0,6.0,15.0,9.0,0.0,0.0,0.0,0.0,87.0,60.0,182.0,0.47,0.32,0.79,0.47,0.79,9.1,9.1,4.4,13.5,0.48,0.23,0.71,0.48,0.71,26.0
2022-2023,Bundesliga,Dortmund,Emre Can,GER,MF,28.0,20.0,1900.0,21.1,2.0,1.0,3.0,1.0,1.0,1.0,8.0,0.0,34.0,99.0,12.0,0.09,0.05,0.14,0.05,0.09,1.6,0.8,1.3,2.1,0.08,0.06,0.14,0.04,0.1,27.0
2022-2023,Bundesliga,Dortmund,Karim Adeyemi,GER,"FW,MF",20.0,20.0,1386.0,15.4,6.0,5.0,11.0,6.0,0.0,1.0,9.0,0.0,49.0,47.0,131.0,0.39,0.32,0.71,0.39,0.71,5.0,4.3,3.7,8.0,0.33,0.24,0.57,0.28,0.52,24.0
2022-2023,Bundesliga,Dortmund,Salih Özcan,TUR,MF,24.0,17.0,1576.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,81.0,23.0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,0.5,1.1,0.03,0.03,0.06,0.03,0.06,26.0
2022-2023,Bundesliga,Dortmund,Marius Wolf,GER,DF,27.0,17.0,1570.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,60.0,91.0,151.0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.9,4.0,0.07,0.16,0.23,0.07,0.23,25.0
2022-2023,Bundesliga,Dortmund,Julian Ryerson,NOR,DF,24.0,17.0,1410.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,54.0,55.0,69.0,0.06,0.06,0.13,0.06,0.13,0.5,0.5,1.5,2.0,0.03,0.1,0.13,0.03,0.13,17.0
2022-2023,Bundesliga,Dortmund,Sébastien Haller,CIV,FW,28.0,15.0,1225.0,13.6,9.0,3.0,12.0,9.0,0.0,1.0,1.0,0.0,11.0,22.0,65.0,0.66,0.22,0.88,0.66,0.88,8.4,7.7,2.3,10.0,0.62,0.17,0.79,0.56,0.73,19.0
2022-2023,Bundesliga,Dortmund,Marco Reus,GER,"MF,FW",33.0,14.0,1353.0,15.0,6.0,4.0,10.0,5.0,1.0,1.0,4.0,0.0,33.0,45.0,78.0,0.4,0.27,0.67,0.33,0.6,5.1,4.3,2.6,6.9,0.34,0.17,0.51,0.29,0.46,25.0
2022-2023,Bundesliga,Dortmund,Youssoufa Moukoko,GER,FW,17.0,11.0,1141.0,12.7,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,9.0,11.0,61.0,0.55,0.24,0.79,0.55,0.79,6.4,6.4,1.8,8.2,0.5,0.14,0.65,0.5,0.65,26.0
2022-2023,Bundesliga,Dortmund,Anthony Modeste,FRA,FW,34.0,7.0,813.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,3.0,8.0,36.0,0.22,0.11,0.33,0.22,0.33,4.3,4.3,1.1,5.4,0.48,0.12,0.6,0.48,0.6,19.0
2022-2023,Bundesliga,Dortmund,Alexander Meyer,GER,GK,31.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2022-2023,Bundesliga,Dortmund,Thomas Meunier,BEL,DF,30.0,7.0,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.7,0.03,0.09,0.12,0.03,0.12,10.0
2022-2023,Bundesliga,Dortmund,Gio Reyna,USA,"FW,MF",19.0,4.0,625.0,6.9,7.0,2.0,9.0,6.0,1.0,1.0,2.0,0.0,23.0,25.0,57.0,1.01,0.29,1.3,0.86,1.15,4.3,3.5,1.3,4.8,0.62,0.18,0.81,0.51,0.69,22.0
2022-2023,Bundesliga,Dortmund,Jamie Bynoe-Gittens,ENG,"FW,MF",17.0,4.0,533.0,5.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,9.0,38.0,0.51,0.17,0.68,0.51,0.68,2.4,2.4,0.7,3.1,0.41,0.12,0.53,0.41,0.53,15.0
2022-2023,Bundesliga,Dortmund,Mahmoud Dahoud,GER,MF,26.0,4.0,337.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.12,0.13,0.24,0.12,0.24,9.0
2022-2023,Bundesliga,Dortmund,Thorgan Hazard,BEL,"FW,DF",29.0,2.0,464.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,28.0,50.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.3,0.26,0.18,0.44,0.26,0.44,14.0
2022-2023,Bundesliga,Dortmund,Felix Passlack,GER,DF,24.0,0.0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.56,0.56,0.0,0.56,3.0
2022-2023,Bundesliga,Dortmund,Soumaïla Coulibaly,FRA,DF,18.0,0.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,Bundesliga,Dortmund,Julien Duranville,BEL,MF,16.0,0.0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.06,0.83,0.89,0.06,0.89,1.0
