player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Florian Thauvin,48.0,43.0,0,0,5,194.0,47.0,97.0,50.0,65.0,3.0,33.0,29.0,0.0,19.0,1,0,0,19.0,0,5.0,2.0,0.0,16.0,6.0,9.0,5.0,2.0,12.0,1.0,5.0,6.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8958333333333334,0.2422680412371134,0.5,0.25773195876288657,0.046153846153846156,0.5076923076923077,0.4461538461538462,0.375,0.5625,0.3125,0.125,0.08333333333333333,0.4166666666666667,0.5,0.533,0.478,0.0,0.0,0.056,2.156,0.522,1.078,0.556,0.722,0.033,0.367,0.322,0.0,0.211,0.011,0.0,0.0,0.211,0.0,0.056,0.022,0.0,0.178,0.067,0.1,0.056,0.022,0.133,0.011,0.056,0.067,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011
Floyd Ayité,132.0,124.0,0,0,8,435.0,59.0,213.0,163.0,164.0,6.0,80.0,78.0,1.0,52.0,1,0,0,52.0,1,8.0,3.0,0.0,33.0,23.0,11.0,17.0,5.0,55.0,2.0,22.0,31.0,4,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.9393939393939394,0.135632183908046,0.4896551724137931,0.37471264367816093,0.036585365853658534,0.4878048780487805,0.47560975609756095,0.696969696969697,0.3333333333333333,0.5151515151515151,0.15151515151515152,0.03636363636363636,0.4,0.5636363636363636,1.467,1.378,0.0,0.0,0.089,4.833,0.656,2.367,1.811,1.822,0.067,0.889,0.867,0.011,0.578,0.011,0.0,0.0,0.578,0.011,0.089,0.033,0.0,0.367,0.256,0.122,0.189,0.056,0.611,0.022,0.244,0.344,0.044,0.0,0.0,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.022,0.011
Franck Béria,2.0,2.0,0,0,0,10.0,2.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1,0,0,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.6,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.022,0.022,0.0,0.0,0.0,0.111,0.022,0.067,0.022,0.011,0.0,0.011,0.0,0.0,0.033,0.011,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Grandel,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Hery,19.0,18.0,0,0,1,43.0,33.0,10.0,0.0,10.0,4.0,6.0,0.0,2.0,7.0,0,1,1,7.0,0,12.0,8.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9473684210526315,0.7674418604651163,0.23255813953488372,0.0,0.4,0.6,0.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.211,0.2,0.0,0.0,0.011,0.478,0.367,0.111,0.0,0.111,0.044,0.067,0.0,0.022,0.078,0.0,0.011,0.011,0.078,0.0,0.133,0.089,0.0,0.033,0.011,0.033,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Franck Honorat,4.0,4.0,0,0,0,44.0,7.0,17.0,20.0,15.0,0.0,4.0,11.0,0.0,0.0,0,0,0,0.0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0,3.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1590909090909091,0.38636363636363635,0.45454545454545453,0.0,0.26666666666666666,0.7333333333333333,0.0,0.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.044,0.044,0.0,0.0,0.0,0.489,0.078,0.189,0.222,0.167,0.0,0.044,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.067,0.011,0.022,0.033,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Franck Signorino,116.0,111.0,0,0,5,390.0,166.0,168.0,56.0,133.0,18.0,77.0,38.0,4.0,80.0,1,3,3,80.0,4,118.0,65.0,0.0,51.0,32.0,26.0,20.0,5.0,29.0,3.0,19.0,7.0,1,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9568965517241379,0.4256410256410256,0.4307692307692308,0.14358974358974358,0.13533834586466165,0.5789473684210527,0.2857142857142857,0.6274509803921569,0.5098039215686274,0.39215686274509803,0.09803921568627451,0.10344827586206896,0.6551724137931034,0.2413793103448276,1.289,1.233,0.0,0.0,0.056,4.333,1.844,1.867,0.622,1.478,0.2,0.856,0.422,0.044,0.889,0.011,0.033,0.033,0.889,0.044,1.311,0.722,0.0,0.567,0.356,0.289,0.222,0.056,0.322,0.033,0.211,0.078,0.011,0.0,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
Franck Tabanou,28.0,27.0,0,0,1,77.0,33.0,31.0,13.0,37.0,4.0,17.0,16.0,1.0,19.0,0,1,1,19.0,0,15.0,8.0,0.0,12.0,12.0,6.0,4.0,2.0,8.0,1.0,2.0,5.0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9642857142857143,0.42857142857142855,0.4025974025974026,0.16883116883116883,0.10810810810810811,0.4594594594594595,0.43243243243243246,1.0,0.5,0.3333333333333333,0.16666666666666666,0.125,0.25,0.625,0.311,0.3,0.0,0.0,0.011,0.856,0.367,0.344,0.144,0.411,0.044,0.189,0.178,0.011,0.211,0.0,0.011,0.011,0.211,0.0,0.167,0.089,0.0,0.133,0.133,0.067,0.044,0.022,0.089,0.011,0.022,0.056,0.011,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011
François Bellugou,139.0,127.0,1,1,12,509.0,171.0,311.0,27.0,182.0,25.0,130.0,27.0,1.0,62.0,1,4,4,62.0,0,55.0,28.0,0.0,57.0,31.0,20.0,35.0,2.0,42.0,8.0,26.0,8.0,1,1,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.9136690647482014,0.33595284872298625,0.6110019646365422,0.05304518664047151,0.13736263736263737,0.7142857142857143,0.14835164835164835,0.543859649122807,0.3508771929824561,0.6140350877192983,0.03508771929824561,0.19047619047619047,0.6190476190476191,0.19047619047619047,1.544,1.411,0.011,0.011,0.133,5.656,1.9,3.456,0.3,2.022,0.278,1.444,0.3,0.011,0.689,0.011,0.044,0.044,0.689,0.0,0.611,0.311,0.0,0.633,0.344,0.222,0.389,0.022,0.467,0.089,0.289,0.089,0.011,0.011,0.0,0.067,0.0,0.011,0.0,0.0,0.0,0.0,0.067,0.011
François Clerc,40.0,38.0,0,0,2,136.0,73.0,50.0,13.0,35.0,6.0,19.0,10.0,0.0,18.0,0,0,0,18.0,0,35.0,17.0,0.0,28.0,15.0,13.0,12.0,3.0,5.0,1.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.5367647058823529,0.36764705882352944,0.09558823529411764,0.17142857142857143,0.5428571428571428,0.2857142857142857,0.5357142857142857,0.4642857142857143,0.42857142857142855,0.10714285714285714,0.2,0.8,0.0,0.444,0.422,0.0,0.0,0.022,1.511,0.811,0.556,0.144,0.389,0.067,0.211,0.111,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.389,0.189,0.0,0.311,0.167,0.144,0.133,0.033,0.056,0.011,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
