player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Milos Veljkovic,0.0,0.0,0,0,0,34.0,14.0,18.0,2.0,5.0,1.0,3.0,1.0,0.0,5.0,0,0,0,5.0,0,7.0,4.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117647058823529,0.5294117647058824,0.058823529411764705,0.2,0.6,0.2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.156,0.2,0.022,0.056,0.011,0.033,0.011,0.0,0.056,0.0,0.0,0.0,0.056,0.0,0.078,0.044,0.0,0.033,0.0,0.011,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miloš Jojić,28.0,27.0,0,0,1,180.0,37.0,97.0,46.0,48.0,2.0,25.0,21.0,0.0,8.0,0,0,0,8.0,0,3.0,2.0,0.0,12.0,4.0,6.0,4.0,2.0,14.0,1.0,6.0,7.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9642857142857143,0.20555555555555555,0.5388888888888889,0.25555555555555554,0.041666666666666664,0.5208333333333334,0.4375,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.07142857142857142,0.42857142857142855,0.5,0.311,0.3,0.0,0.0,0.011,2.0,0.411,1.078,0.511,0.533,0.022,0.278,0.233,0.0,0.089,0.0,0.0,0.0,0.089,0.0,0.033,0.022,0.0,0.133,0.044,0.067,0.044,0.022,0.156,0.011,0.067,0.078,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
Miloš Pantović,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell James Langerak,10.0,10.0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Weiser,156.0,139.0,0,0,17,556.0,196.0,245.0,115.0,172.0,21.0,75.0,76.0,5.0,54.0,1,1,1,54.0,1,38.0,21.0,0.0,68.0,36.0,37.0,20.0,11.0,32.0,4.0,18.0,10.0,0,0,0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.8910256410256411,0.35251798561151076,0.44064748201438847,0.2068345323741007,0.12209302325581395,0.436046511627907,0.4418604651162791,0.5294117647058824,0.5441176470588235,0.29411764705882354,0.16176470588235295,0.125,0.5625,0.3125,1.733,1.544,0.0,0.0,0.189,6.178,2.178,2.722,1.278,1.911,0.233,0.833,0.844,0.056,0.6,0.011,0.011,0.011,0.6,0.011,0.422,0.233,0.0,0.756,0.4,0.411,0.222,0.122,0.356,0.044,0.2,0.111,0.0,0.0,0.0,0.067,0.0,0.0,0.011,0.011,0.0,0.0,0.078,0.0
Moritz Hartmann,88.0,74.0,0,0,14,419.0,71.0,180.0,168.0,103.0,4.0,36.0,63.0,1.0,42.0,5,3,3,42.0,0,13.0,7.0,0.0,20.0,13.0,4.0,11.0,5.0,29.0,2.0,12.0,15.0,2,1,0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.8409090909090909,0.16945107398568018,0.4295942720763723,0.4009546539379475,0.038834951456310676,0.34951456310679613,0.6116504854368932,0.65,0.2,0.55,0.25,0.06896551724137931,0.41379310344827586,0.5172413793103449,0.978,0.822,0.0,0.0,0.156,4.656,0.789,2.0,1.867,1.144,0.044,0.4,0.7,0.011,0.467,0.056,0.033,0.033,0.467,0.0,0.144,0.078,0.0,0.222,0.144,0.044,0.122,0.056,0.322,0.022,0.133,0.167,0.022,0.011,0.0,0.022,0.0,0.0,0.022,0.022,0.0,0.0,0.044,0.0
Moritz Leitner,15.0,14.0,0,0,1,71.0,17.0,39.0,15.0,23.0,3.0,10.0,10.0,0.0,8.0,1,0,0,8.0,0,1.0,0.0,0.0,7.0,4.0,4.0,2.0,1.0,4.0,0.0,3.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.23943661971830985,0.5492957746478874,0.2112676056338028,0.13043478260869565,0.43478260869565216,0.43478260869565216,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.75,0.25,0.167,0.156,0.0,0.0,0.011,0.789,0.189,0.433,0.167,0.256,0.033,0.111,0.111,0.0,0.089,0.011,0.0,0.0,0.089,0.0,0.011,0.0,0.0,0.078,0.044,0.044,0.022,0.011,0.044,0.0,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustafa Batuhan Altıntaş,4.0,4.0,0,0,0,15.0,2.0,7.0,6.0,3.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13333333333333333,0.4666666666666667,0.4,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.044,0.044,0.0,0.0,0.0,0.167,0.022,0.078,0.067,0.033,0.0,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.022,0.011,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Márcio Rafael Ferreira de Souza,102.0,99.0,1,1,3,165.0,53.0,75.0,37.0,65.0,12.0,29.0,24.0,1.0,34.0,0,0,0,34.0,0,29.0,17.0,0.0,32.0,19.0,19.0,8.0,5.0,23.0,6.0,13.0,4.0,1,0,0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.9705882352941176,0.3212121212121212,0.45454545454545453,0.22424242424242424,0.18461538461538463,0.4461538461538462,0.36923076923076925,0.59375,0.59375,0.25,0.15625,0.2608695652173913,0.5652173913043478,0.17391304347826086,1.133,1.1,0.011,0.011,0.033,1.833,0.589,0.833,0.411,0.722,0.133,0.322,0.267,0.011,0.378,0.0,0.0,0.0,0.378,0.0,0.322,0.189,0.0,0.356,0.211,0.211,0.089,0.056,0.256,0.067,0.144,0.044,0.011,0.0,0.0,0.067,0.0,0.0,0.011,0.011,0.0,0.0,0.078,0.0
Mërgim Mavraj,27.0,26.0,0,0,1,160.0,122.0,37.0,1.0,41.0,19.0,22.0,0.0,1.0,26.0,0,1,1,26.0,0,87.0,53.0,0.0,31.0,18.0,25.0,6.0,0.0,18.0,7.0,9.0,2.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9629629629629629,0.7625,0.23125,0.00625,0.4634146341463415,0.5365853658536586,0.0,0.5806451612903226,0.8064516129032258,0.1935483870967742,0.0,0.3888888888888889,0.5,0.1111111111111111,0.3,0.289,0.0,0.0,0.011,1.778,1.356,0.411,0.011,0.456,0.211,0.244,0.0,0.011,0.289,0.0,0.011,0.011,0.289,0.0,0.967,0.589,0.0,0.344,0.2,0.278,0.067,0.0,0.2,0.078,0.1,0.022,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
