player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,offside,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,up_offside,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry_%,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%,touches_total_per_match,touches_in_defending_penalty_per_match,touches_in_defending_third_per_match,touches_in_middle_third_per_match,touches_in_attacking_third_per_match,touches_in_attacking_penalty_per_match,dribbling_total_per_match,dribbling_completed_per_match,dribbling_not_completed_per_match,dribbling_overrun_per_match,dribbling_through_legs_per_match,dribbling_push_and_run_per_match,carries_total_per_match,carry_into_attacking_third_per_match,carry_into_penalty_area_per_match,carry_into_edge_of_the_box_per_match,carry_distance_per_match,progressive_carry_total_per_match,progressive_carry_distance_per_match,miscontrol_total_per_match,miscontrol_in_aerial_duel_per_match,dispossessed_total_per_match,dispossessed_in_defending_penalty_area_per_match,dispossessed_in_defending_third_per_match,dispossessed_in_middle_third_per_match,dispossessed_in_attacking_third_per_match,dispossessed_in_penalty_area_per_match,balls_received_per_match,balls_received_successful_per_match,error_lead_to_goal_per_match,offside_per_match,up_touches_total_per_match,up_touches_in_defending_penalty_per_match,up_touches_in_defending_third_per_match,up_touches_in_middle_third_per_match,up_touches_in_attacking_third_per_match,up_touches_in_attacking_penalty_per_match,up_dribbling_total_per_match,up_dribbling_completed_per_match,up_dribbling_not_completed_per_match,up_dribbling_overrun_per_match,up_dribbling_through_legs_per_match,up_dribbling_push_and_run_per_match,up_carries_total_per_match,up_carry_into_attacking_third_per_match,up_carry_into_penalty_area_per_match,up_carry_into_edge_of_the_box_per_match,up_carry_distance_per_match,up_progressive_carry_total_per_match,up_progressive_carry_distance_per_match,up_miscontrol_total_per_match,up_miscontrol_in_aerial_duel_per_match,up_dispossessed_total_per_match,up_dispossessed_in_defending_penalty_area_per_match,up_dispossessed_in_defending_third_per_match,up_dispossessed_in_middle_third_per_match,up_dispossessed_in_attacking_third_per_match,up_dispossessed_in_penalty_area_per_match,up_balls_received_per_match,up_balls_received_successful_per_match,up_error_lead_to_goal_per_match,up_offside_per_match,distance_per_progressive_carry_per_match
Andrea Rispoli,2237.0,66.0,460.0,946.0,831.0,76.0,17.0,10.0,7.0,2,0,0,539.0,39.0,3.0,1.0,4249.4872401267285,343.0,3582.679043659712,18.0,0,25.0,0.0,6.0,3.0,16.0,1.0,607.0,526.0,0.0,0.0,440.0,33.0,141.0,151.0,148.0,15.0,17.0,10.0,7.0,2,0,0,164.0,15.0,1.0,1.0,1614.4917544988004,105.0,1240.1092543795792,6.0,0,25.0,0.0,6.0,3.0,16.0,1.0,30.0,29.0,0.0,0.0,0.029503799731783638,0.2056325435851587,0.4228877961555655,0.3714796602592758,0.033974072418417524,0.8665568369028006,0.5882352941176471,7.8840208536673995,0.07235621521335807,0.0055658627087198514,0.0018552875695732839,10.445128407171172,0.04638218923933209,24.856,0.733,5.111,10.511,9.233,0.844,0.189,0.111,0.078,0.022,0.0,0.0,5.989,0.433,0.033,0.011,47.217,3.811,39.808,0.2,0.0,0.278,0.0,0.067,0.033,0.178,0.011,6.744,5.844,0.0,0.0,4.889,0.367,1.567,1.678,1.644,0.167,0.189,0.111,0.078,0.022,0.0,0.0,1.822,0.167,0.011,0.011,17.939,1.167,13.779,0.067,0.0,0.278,0.0,0.067,0.033,0.178,0.011,0.333,0.322,0.0,0.0,0.116
Andrea Seculin,213.0,177.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,0.0,0.0,0.0,206.69525144831198,22.0,151.87473372939616,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.0,0.0,0.0,0.0,18.29611183626484,3.0,8.41227625510307,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.8309859154929577,1.0,0.0,0.0,0.0,1.0,0.0,5.1673812862077995,0.0,0.0,0.0,6.903396987699825,0.0,2.367,1.967,2.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.0,0.0,0.0,2.297,0.244,1.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.444,0.0,0.0,0.133,0.133,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.203,0.033,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.077
Andres Llamas Acuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrija Balić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrés Fabián Ponce Núñez,15.0,1.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,7.964923100695953,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.0,0.2,0.0,7.964923100695953,0.0,0.0,0.0,0.0,0.0,0.167,0.011,0.011,0.111,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.011,0.0,0.0,0.044,0.011,0.011,0.022,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelo Esmael da Costa Júnior,294.0,261.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,69.0,0.0,0.0,0.0,354.635723550232,49.0,323.48608987586886,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14.0,0.0,0.0,0.0,41.284854874211014,9.0,32.19652622588697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.8877551020408163,1.0,0.0,0.0,0.0,1.0,0.0,5.139648167394666,0.0,0.0,0.0,6.6017569362422215,0.0,3.267,2.9,3.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767,0.0,0.0,0.0,3.94,0.544,3.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,0.622,0.0,0.0,0.322,0.322,0.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,0.0,0.459,0.1,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.044,0.0,0.0,0.073
Angelo Palombo,576.0,20.0,131.0,403.0,42.0,0.0,3.0,2.0,1.0,0,0,0,142.0,1.0,0.0,0.0,606.7046775895825,69.0,391.3379391634861,2.0,0,2.0,0.0,2.0,0.0,0.0,0.0,154.0,144.0,0.0,0.0,106.0,10.0,31.0,69.0,6.0,0.0,3.0,2.0,1.0,0,0,0,39.0,0.0,0.0,0.0,204.28166450336832,15.0,100.05350750562029,0.0,0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.034722222222222224,0.22743055555555555,0.6996527777777778,0.07291666666666667,0.0,0.935064935064935,0.6666666666666666,4.272568152039313,0.007042253521126761,0.0,0.0,5.671564335702698,0.014084507042253521,6.4,0.222,1.456,4.478,0.467,0.0,0.033,0.022,0.011,0.0,0.0,0.0,1.578,0.011,0.0,0.0,6.741,0.767,4.348,0.022,0.0,0.022,0.0,0.022,0.0,0.0,0.0,1.711,1.6,0.0,0.0,1.178,0.111,0.344,0.767,0.067,0.0,0.033,0.022,0.011,0.0,0.0,0.0,0.433,0.0,0.0,0.0,2.27,0.167,1.112,0.0,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.078,0.078,0.0,0.0,0.063
Ante Rebić,1290.0,8.0,129.0,497.0,664.0,93.0,40.0,23.0,17.0,1,5,2,336.0,23.0,18.0,3.0,2267.909602630439,215.0,1961.9994092127704,33.0,0,25.0,0.0,1.0,8.0,16.0,4.0,423.0,302.0,0.0,0.0,433.0,5.0,54.0,175.0,204.0,27.0,40.0,23.0,17.0,1,5,2,177.0,15.0,8.0,0.0,1310.895889620143,122.0,1114.7740648347053,12.0,0,25.0,0.0,1.0,8.0,16.0,4.0,55.0,54.0,0.0,0.0,0.006201550387596899,0.1,0.38527131782945734,0.5147286821705427,0.07209302325581396,0.7139479905437353,0.575,6.74973096020964,0.06845238095238096,0.05357142857142857,0.008928571428571428,9.125578647501257,0.0744047619047619,14.333,0.089,1.433,5.522,7.378,1.033,0.444,0.256,0.189,0.011,0.056,0.022,3.733,0.256,0.2,0.033,25.199,2.389,21.8,0.367,0.0,0.278,0.0,0.011,0.089,0.178,0.044,4.7,3.356,0.0,0.0,4.811,0.056,0.6,1.944,2.267,0.3,0.444,0.256,0.189,0.011,0.056,0.022,1.967,0.167,0.089,0.0,14.566,1.356,12.386,0.133,0.0,0.278,0.0,0.011,0.089,0.178,0.044,0.611,0.6,0.0,0.0,0.101
Anthony Mounier,3110.0,17.0,263.0,1362.0,1485.0,198.0,73.0,32.0,41.0,5,5,0,707.0,41.0,22.0,4.0,4949.772482793272,428.0,3995.4277363759056,66.0,1,54.0,0.0,4.0,20.0,30.0,6.0,1140.0,731.0,0.0,1.0,998.0,9.0,92.0,465.0,441.0,58.0,73.0,32.0,41.0,5,5,0,382.0,24.0,16.0,2.0,2976.9806541103753,244.0,2291.3416039428153,13.0,1,54.0,0.0,4.0,20.0,30.0,6.0,133.0,126.0,0.0,0.0,0.005466237942122186,0.08456591639871383,0.4379421221864952,0.477491961414791,0.06366559485530547,0.6412280701754386,0.4383561643835616,7.00109262064112,0.05799151343705799,0.031117397454031116,0.005657708628005658,9.335111533588565,0.07637906647807638,34.556,0.189,2.922,15.133,16.5,2.2,0.811,0.356,0.456,0.056,0.056,0.0,7.856,0.456,0.244,0.044,54.997,4.756,44.394,0.733,0.011,0.6,0.0,0.044,0.222,0.333,0.067,12.667,8.122,0.0,0.011,11.089,0.1,1.022,5.167,4.9,0.644,0.811,0.356,0.456,0.056,0.056,0.0,4.244,0.267,0.178,0.022,33.078,2.711,25.459,0.144,0.011,0.6,0.0,0.044,0.222,0.333,0.067,1.478,1.4,0.0,0.0,0.104
Anton Ciprian Tătărușanu,2411.0,2180.0,2404.0,7.0,0.0,0.0,1.0,1.0,0.0,0,0,0,578.0,0.0,0.0,0.0,2737.6277802411446,373.0,1970.1899711351195,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,546.0,1.0,0.0,286.0,258.0,286.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,137.0,0.0,0.0,0.0,796.9175256795605,75.0,398.1363241275733,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.904189133139776,0.997096640398175,0.002903359601824969,0.0,0.0,0.9963503649635036,1.0,4.736380242631738,0.0,0.0,0.0,5.282010646474851,0.0,26.789,24.222,26.711,0.078,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,6.422,0.0,0.0,0.0,30.418,4.144,21.891,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089,6.067,0.011,0.0,3.178,2.867,3.178,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.0,1.522,0.0,0.0,0.0,8.855,0.833,4.424,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.059
