player,goals,goals_penalty,shots_total,shots_on_target,shots_avg_distance,shots_in_penalty_area,shots_in_goal_area,shots_in_attacking_third,shots_long_distance,shots_mid_distance,shots_short_distance,goal_volley,goals_avg_distance,goal_half_volley,goal_normal,goals_header,goals_header_%,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,up_shot_conversion_%,up_shots_on_target_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%
Christian Träsch,0,0,1,1,5.5217750769114105,1,0,0,0,0,1,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Claudio Miguel Pizarro Bossio,3,0,14,10,9.479903256036588,10,3,3,0,8,6,0,10.024457780638363,0,3,2,0.667,0.714,0.214,0.3,0.214,0.714,0.0,1.0,0.333,0.0,0.333,0.0,4.667,0.0
Cleber Janderson Pereira Reis,1,0,9,6,13.324848522891095,7,2,2,1,4,4,0,10.429285689825544,0,1,1,1.0,0.667,0.111,0.167,0.111,0.667,0.0,1.0,0.0,0.0,0.0,,9.0,0.0
Clemens Fritz,0,0,9,7,14.505193847001452,1,0,0,5,0,4,0,0.0,0,0,0,,0.778,0.0,0.0,0.0,0.778,0.0,1.0,,,,,inf,
Daniel Baier,1,0,5,3,22.120869004221493,0,0,0,4,0,1,0,25.028383887099068,0,1,0,0.0,0.6,0.2,0.333,0.2,0.6,0.0,1.0,1.0,0.0,0.0,,5.0,0.0
Daniel Brosinski,0,0,3,1,14.940410872481754,1,0,0,2,0,1,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Daniel Caligiuri,0,0,14,11,13.565047137325264,12,0,0,2,7,5,0,0.0,0,0,0,,0.786,0.0,0.0,0.0,0.786,0.0,1.0,,,,,inf,
Daniel Didavi,3,0,24,18,11.87573015601312,14,2,2,5,8,11,0,15.814696203678068,0,3,0,0.0,0.75,0.125,0.167,0.125,0.75,0.0,1.0,0.333,0.667,0.667,,8.0,0.0
Daniel Ginczek,1,0,4,3,10.878374809246555,3,0,0,1,1,2,0,16.32329623574846,0,1,0,0.0,0.75,0.25,0.333,0.25,0.75,0.0,1.0,1.0,0.0,0.0,,4.0,0.0
Daniel Schwaab,0,0,7,3,15.72024495308908,7,0,0,1,3,3,0,0.0,0,0,0,,0.429,0.0,0.0,0.0,0.429,0.0,1.0,,,,,inf,
Danny Latza,0,0,5,2,28.584386485194962,0,0,0,5,0,0,0,0.0,0,0,0,,0.4,0.0,0.0,0.0,0.4,0.0,1.0,,,,,inf,
Danny Vieira da Costa,0,0,1,1,1.7029386365926436,1,0,0,0,0,1,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Dante Bonfim da Costa Santos,0,0,11,1,12.435861330078824,11,0,0,1,6,4,0,0.0,0,0,0,,0.091,0.0,0.0,0.0,0.091,0.0,1.0,,,,,inf,
Dario Lezcano,1,0,14,8,9.758865219636291,13,0,0,1,6,7,0,11.16467643955703,1,0,0,0.0,0.571,0.071,0.125,0.071,0.571,0.0,1.0,0.0,1.0,1.0,0.0,14.0,0.0
