player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Filip Kostić,Serbia,VfB Stuttgart,Left Midfield,30.0,2598.0,0.0,10.0,"['Left Center Midfield', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Filip Mladenović,Serbia,FC Köln,Left Back,14.0,862.0,4.0,6.0,"['Left Back', 'Center Attacking Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back']"
Fin Bartels,Germany,Werder Bremen,Right Midfield,30.0,2086.0,8.0,8.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Finn-Dominik Porath,Germany,Hamburger SV,0,0.0,0.0,0.0,0.0,[]
Florian Grillitsch,Austria,Werder Bremen,Left Center Midfield,25.0,1986.0,2.0,8.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Florian Jungwirth,Germany,Darmstadt 98,Right Back,19.0,1507.0,3.0,0.0,"['Center Midfield', 'Right Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Florian Klein,Austria,VfB Stuttgart,Right Back,22.0,1621.0,5.0,2.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Back', 'Center Defensive Midfield', 'Right Midfield']"
Florian Kohls,Germany,Hertha Berlin,Left Center Midfield,1.0,8.0,1.0,0.0,['Left Center Midfield']
Florian Niederlechner,Germany,FSV Mainz 05,Center Forward,12.0,214.0,11.0,1.0,"['Left Back', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing']"
Francisco José Rodriguez Araya,Switzerland,Wolfsburg,"['Center Attacking Midfield', 'Right Defensive Midfield']",1.0,13.0,1.0,0.0,"['Right Defensive Midfield', 'Center Attacking Midfield']"
Franck Bilal Ribéry,France,Bayern Munich,"['Left Wing', 'Left Midfield']",13.0,697.0,7.0,1.0,"['Left Center Midfield', 'Right Wing', 'Left Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Franco Matías Di Santo,Argentina,Schalke 04,Right Center Forward,25.0,1326.0,12.0,5.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Frederik Hillesborg Sørensen,Denmark,FC Köln,Right Center Back,22.0,1682.0,3.0,2.0,"['Center Attacking Midfield', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Center Back', 'Left Wing', 'Right Midfield']"
Fynn Arkenberg,Germany,Hannover 96,Right Back,2.0,180.0,0.0,0.0,['Right Back']
Gaëtan Bussmann,France,FSV Mainz 05,Left Back,13.0,1170.0,0.0,0.0,"['Left Wing Back', 'Left Back', 'Left Center Back']"
Genki Haraguchi,Japan,Hertha Berlin,Right Wing,32.0,2533.0,4.0,10.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Georg Niedermeier,Germany,VfB Stuttgart,Left Center Back,18.0,1434.0,2.0,1.0,"['Left Midfield', 'Left Back', 'Left Center Back', 'Right Center Back']"
Gerhard Tremmel,Germany,Werder Bremen,0,0.0,0.0,0.0,0.0,[]
Gian-Luca Waldschmidt,Germany,Eintracht Frankfurt,Left Center Forward,13.0,359.0,12.0,1.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Gianluca Curci,Italy,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Gianluca Gaudino,Germany,Bayern Munich,0,0.0,0.0,0.0,0.0,[]
Gideon Jung,Germany,Hamburger SV,Right Defensive Midfield,19.0,1191.0,6.0,3.0,"['Right Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Giulio Donati,Italy,FSV Mainz 05,Right Back,23.0,1900.0,2.0,4.0,"['Right Wing Back', 'Left Back', 'Center Attacking Midfield', 'Right Back']"
Gojko Kačar,Serbia,Hamburger SV,Right Defensive Midfield,19.0,1141.0,7.0,5.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Gonzalo Alejandro Jara Reyes,Chile,FSV Mainz 05,Left Defensive Midfield,6.0,445.0,1.0,1.0,"['Left Defensive Midfield', 'Left Back', 'Center Attacking Midfield']"
Gonzalo Castro Randon,Germany,Borussia Dortmund,Left Center Midfield,25.0,1503.0,9.0,9.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing']"
Gotoku Sakai,Japan,Hamburger SV,Right Back,22.0,1890.0,1.0,1.0,"['Right Defensive Midfield', 'Left Back', 'Right Back']"
Granit Xhaka,Switzerland,Borussia Mönchengladbach,Left Defensive Midfield,28.0,2422.0,0.0,5.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Gustavo Adrián Ramos Vásquez,Colombia,Borussia Dortmund,Center Forward,27.0,974.0,18.0,2.0,"['Right Wing', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
György Garics,Austria,Darmstadt 98,Right Back,21.0,1796.0,1.0,1.0,"['Left Defensive Midfield', 'Right Back']"
Hakan Çalhanoğlu,Turkey,Bayer Leverkusen,Left Midfield,31.0,2267.0,4.0,13.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Right Wing Back', 'Right Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Halil Altıntop,Turkey,Augsburg,Center Attacking Midfield,19.0,1210.0,4.0,10.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Center Back']"
Haris Seferović,Switzerland,Eintracht Frankfurt,Center Forward,29.0,2217.0,4.0,4.0,"['Right Wing', 'Center Defensive Midfield', 'Right Center Forward', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Heinz Lindner,Austria,Eintracht Frankfurt,0,0.0,0.0,0.0,0.0,[]
Hendrik Bonmann,Germany,Borussia Dortmund,0,0.0,0.0,0.0,0.0,[]
Henrikh Mkhitaryan,Armenia,Borussia Dortmund,Right Wing,31.0,2579.0,3.0,5.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Henrique Sereno Fonseca,Portugal,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Heung-Min Son,Korea (South),Bayer Leverkusen,"['Left Wing', 'Left Midfield']",1.0,63.0,0.0,1.0,"['Left Midfield', 'Left Wing']"
Hiroki Sakai,Japan,Hannover 96,Right Back,26.0,2299.0,1.0,0.0,['Right Back']
Hiroshi Kiyotake,Japan,Hannover 96,Center Attacking Midfield,21.0,1762.0,1.0,7.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Holger Badstuber,Germany,Bayern Munich,Left Center Back,7.0,471.0,2.0,1.0,"['Left Center Midfield', 'Left Back', 'Left Center Back', 'Right Attacking Midfield']"
Hotaru Yamaguchi,Japan,Hannover 96,"['Right Defensive Midfield', 'Right Center Midfield']",6.0,407.0,0.0,3.0,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']"
Hugo Miguel Pereira de Almeida,Portugal,Hannover 96,Left Center Forward,7.0,534.0,2.0,0.0,"['Left Center Midfield', 'Right Center Forward', 'Left Center Forward', 'Right Center Back']"
Håvard Nordtveit,Norway,Borussia Mönchengladbach,Left Center Back,31.0,2462.0,4.0,2.0,"['Right Back', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Ibrahima Traoré,Guinea,Borussia Mönchengladbach,Right Midfield,24.0,1479.0,7.0,12.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Ioannis Gelios,Greece,Augsburg,0,0.0,0.0,0.0,0.0,[]
Ismail Azzaoui,Belgium,Wolfsburg,Right Wing,2.0,24.0,2.0,0.0,"['Right Wing', 'Left Wing']"
Ivan Perišić,Croatia,Wolfsburg,"['Left Wing', 'Right Wing']",2.0,163.0,0.0,1.0,"['Right Wing', 'Right Center Forward', 'Right Center Midfield', 'Left Midfield', 'Left Wing']"
Iver Tobias Rørvik Fossum,Norway,Hannover 96,"['Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Wing', 'Left Midfield']",9.0,722.0,1.0,4.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Ivica Olić,Croatia,Hamburger SV,Right Center Forward,9.0,197.0,9.0,0.0,"['Right Wing', 'Right Center Forward', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Ivo Iličević,Croatia,Hamburger SV,Left Wing,31.0,2166.0,7.0,12.0,"['Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing']"
Ja-Cheol Koo,Korea (South),FSV Mainz 05,Center Attacking Midfield,30.0,2194.0,5.0,8.0,"['Right Wing', 'Left Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Wing Back', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Jairo Samperio Bustara,Spain,FSV Mainz 05,Left Wing,31.0,2305.0,5.0,12.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Attacking Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Jan Kirchhoff,Germany,Bayern Munich,0,0.0,0.0,0.0,0.0,[]
Jan Kliment,Czech Republic,VfB Stuttgart,"['Right Center Forward', 'Right Center Midfield', 'Left Center Forward']",8.0,183.0,8.0,0.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Jan Morávek,Czech Republic,Augsburg,Center Attacking Midfield,11.0,417.0,8.0,3.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Wing']"
Jan Rosenthal,Germany,Darmstadt 98,Center Attacking Midfield,23.0,1430.0,6.0,15.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Jan-Ingwer Callsen-Bracker,Germany,Augsburg,Right Center Back,10.0,749.0,2.0,0.0,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Center Back']"
Janek Sternberg,Germany,Werder Bremen,Left Back,9.0,459.0,5.0,1.0,"['Left Midfield', 'Left Wing Back', 'Left Back', 'Left Center Back']"
Jannes-Kilian Horn,Germany,Wolfsburg,0,0.0,0.0,0.0,0.0,[]
Jannik Huth,Germany,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Jannik Vestergaard,Denmark,Werder Bremen,Left Center Back,33.0,2970.0,0.0,0.0,"['Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Jaroslav Drobný,Czech Republic,Hamburger SV,Goalkeeper,10.0,847.0,1.0,0.0,"['Goalkeeper', 'Left Defensive Midfield']"
Javier Hernández Balcázar,Mexico,Bayer Leverkusen,Center Forward,28.0,2171.0,3.0,11.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield']"
Javier Martínez Aginaga,Spain,Bayern Munich,Right Center Back,16.0,1111.0,5.0,1.0,"['Left Center Midfield', 'Left Back', 'Right Center Midfield', 'Center Forward', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Jean-Eric Maxim Choupo-Moting,Cameroon,Schalke 04,Left Wing,28.0,1883.0,7.0,7.0,"['Right Wing', 'Right Center Forward', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Jeffrey Gouweleeuw,Netherlands,Augsburg,Right Center Back,11.0,990.0,0.0,0.0,"['Left Defensive Midfield', 'Right Center Back']"
Jens Grahl,Germany,Hoffenheim,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper']
Jens Hegeler,Germany,Hertha Berlin,Left Defensive Midfield,16.0,515.0,13.0,3.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Center Forward', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Midfield']"
Jeong-Ho Hong,Korea (South),Augsburg,Right Center Back,23.0,1728.0,4.0,3.0,"['Center Attacking Midfield', 'Right Back', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Jeremy Toljan,Germany,Hoffenheim,Left Back,18.0,1495.0,2.0,0.0,"['Left Back', 'Right Back', 'Right Wing Back', 'Left Wing Back', 'Left Center Back']"
Jhon Andrés Córdoba Copete,Colombia,FSV Mainz 05,Center Forward,22.0,1424.0,8.0,5.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Midfield']"
Jiloan Hamad,Iraq,Hoffenheim,Center Attacking Midfield,7.0,325.0,3.0,4.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield']"
Jin-Su Kim,Korea (South),Hoffenheim,Left Back,15.0,1316.0,1.0,1.0,"['Left Back', 'Right Back', 'Left Center Back']"
Joel Gerezgiher,Germany,Eintracht Frankfurt,Left Midfield,3.0,90.0,2.0,1.0,"['Left Midfield', 'Center Defensive Midfield']"
Joelinton Cassio Apolinário de Lira,Brazil,Hoffenheim,"['Center Attacking Midfield', 'Left Midfield']",1.0,3.0,1.0,0.0,"['Left Midfield', 'Center Attacking Midfield']"
Johan Danon Djourou-Gbadjere,Switzerland,Hamburger SV,Right Center Back,26.0,2337.0,0.0,1.0,"['Center Attacking Midfield', 'Right Center Back']"
Johannes Flum,Germany,Eintracht Frankfurt,Right Center Midfield,5.0,148.0,4.0,0.0,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Forward']"
Johannes Geis,Germany,Schalke 04,Right Defensive Midfield,28.0,2340.0,1.0,9.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Johannes van den Bergh,Germany,Hertha Berlin,Left Midfield,13.0,264.0,12.0,1.0,"['Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing']"
John Anthony Brooks,United States of America,Hertha Berlin,Left Center Back,23.0,1818.0,3.0,0.0,"['Right Center Forward', 'Center Forward', 'Left Midfield', 'Right Midfield', 'Left Center Back']"
Jon Gorenc Stankovič,Slovenia,Borussia Dortmund,0,0.0,0.0,0.0,0.0,[]
Jonas Hector,Germany,FC Köln,Left Back,32.0,2858.0,0.0,1.0,"['Left Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Jonas Hofmann,Germany,Borussia Dortmund,Right Wing,15.0,530.0,9.0,5.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Jonathan Schmid,France,Hoffenheim,Left Midfield,23.0,1471.0,7.0,8.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Right Midfield']"
Jonathan Tah,Germany,Bayer Leverkusen,Right Center Back,29.0,2565.0,0.0,1.0,['Right Center Back']
Joo-Ho Park,Korea (South),Borussia Dortmund,Left Back,6.0,403.0,1.0,2.0,"['Right Defensive Midfield', 'Left Back', 'Left Center Midfield']"
Joshua Kimmich,Germany,Bayern Munich,Right Center Back,23.0,1434.0,8.0,2.0,"['Left Center Midfield', 'Left Back', 'Right Back', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Josip Drmic,Switzerland,Hamburger SV,Left Center Forward,19.0,898.0,10.0,5.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Center Back']"
Josuha Guilavogui,France,Wolfsburg,Right Defensive Midfield,30.0,2334.0,4.0,7.0,"['Left Center Midfield', 'Right Wing', 'Left Back', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Joël Abu Hanna,Israel,Bayer Leverkusen,0,0.0,0.0,0.0,0.0,[]
Joël Andre Job Matip,Cameroon,Schalke 04,Right Center Back,34.0,3060.0,0.0,0.0,"['Left Center Forward', 'Center Back', 'Left Center Back', 'Right Center Back']"
Juan Bernat Velasco,Spain,Bayern Munich,Left Back,16.0,1152.0,3.0,2.0,"['Left Back', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing Back', 'Left Center Back']"
Julian Baumgartlinger,Austria,FSV Mainz 05,Right Defensive Midfield,31.0,2719.0,1.0,0.0,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield']"
Julian Brandt,Germany,Bayer Leverkusen,Right Midfield,29.0,1642.0,11.0,11.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Julian Draxler,Germany,Wolfsburg,Center Attacking Midfield,24.0,1850.0,2.0,10.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Julian Korb,Germany,Borussia Mönchengladbach,Right Back,17.0,1267.0,3.0,5.0,"['Right Back', 'Right Wing Back', 'Right Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Julian Schieber,Germany,Hertha Berlin,"['Left Defensive Midfield', 'Center Forward']",6.0,155.0,6.0,0.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing']"
Julian Weigl,Germany,Borussia Dortmund,Center Defensive Midfield,30.0,2253.0,5.0,6.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Julian von Haacke,Germany,Werder Bremen,0,0.0,0.0,0.0,0.0,[]
Julian-Maurice Derstroff,Germany,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Jérôme Boateng,Germany,Bayern Munich,Right Center Back,19.0,1365.0,2.0,8.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Center Back', 'Right Center Back', 'Left Center Back']"
Jérôme Gondorf,Germany,Darmstadt 98,Left Defensive Midfield,33.0,2915.0,0.0,4.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Júnior Enrique Díaz Campbell,Costa Rica,Darmstadt 98,Left Back,12.0,878.0,3.0,2.0,"['Left Back', 'Center Attacking Midfield']"
Kaan Ayhan,Turkey,Eintracht Frankfurt,Left Center Back,3.0,85.0,2.0,1.0,"['Right Defensive Midfield', 'Left Center Back']"
Karim Bellarabi,Germany,Bayer Leverkusen,Right Wing,33.0,2602.0,2.0,15.0,"['Right Wing', 'Right Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Karim Onisiwo,Austria,FSV Mainz 05,Left Wing,9.0,347.0,6.0,0.0,"['Right Wing', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Wing']"
Kazuki Nagasawa,Japan,FC Köln,Left Midfield,1.0,45.0,0.0,1.0,['Left Midfield']
Kenan Karaman,Turkey,Hannover 96,"['Right Wing', 'Left Wing']",23.0,1750.0,4.0,4.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing Back', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Kerim Carolus,Germany,Hamburger SV,0,0.0,0.0,0.0,0.0,[]
Kevin De Bruyne,Belgium,Wolfsburg,Center Attacking Midfield,2.0,164.0,0.0,1.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Wing', 'Right Midfield']"
Kevin Großkreutz,Germany,VfB Stuttgart,Right Back,10.0,900.0,0.0,0.0,['Right Back']
Kevin Kampl,Slovenia,Bayer Leverkusen,Left Defensive Midfield,23.0,1767.0,4.0,2.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Kevin Kuranyi,Germany,Hoffenheim,Right Center Forward,14.0,555.0,9.0,4.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Right Wing Back', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Kevin Vogt,Germany,FC Köln,Left Defensive Midfield,23.0,1491.0,6.0,8.0,"['Left Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Kevin Volland,Germany,Hoffenheim,Left Wing,33.0,2729.0,2.0,8.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Kingsley Coman,France,Bayern Munich,Right Midfield,23.0,1690.0,3.0,7.0,"['Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Klaas-Jan Huntelaar,Netherlands,Schalke 04,Center Forward,31.0,2479.0,2.0,10.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward']"
Koen Casteels,Belgium,Wolfsburg,Goalkeeper,13.0,1170.0,0.0,0.0,['Goalkeeper']
Konstantin Engel,Kazakhstan,Ingolstadt,Left Back,4.0,198.0,2.0,1.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Back']"
Konstantin Rausch,Russia,Darmstadt 98,Left Midfield,31.0,2117.0,4.0,21.0,"['Left Back', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Konstantinos Stafylidis,Greece,Augsburg,Left Back,11.0,693.0,3.0,2.0,"['Left Wing Back', 'Left Back', 'Left Defensive Midfield']"
Kyriakos Papadopoulos,Greece,Bayer Leverkusen,Left Center Back,16.0,1005.0,6.0,1.0,"['Center Defensive Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Lars Bender,Germany,Bayer Leverkusen,Right Defensive Midfield,11.0,883.0,0.0,4.0,"['Right Back', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Lars Edi Stindl,Germany,Borussia Mönchengladbach,Right Center Forward,30.0,2597.0,1.0,5.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Attacking Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Midfield']"
Leandro Putaro,Germany,Wolfsburg,Center Attacking Midfield,4.0,58.0,4.0,0.0,"['Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Defensive Midfield']"
Leon Aderemi Balogun,Nigeria,FSV Mainz 05,Right Center Back,21.0,1524.0,4.0,2.0,"['Right Wing', 'Left Back', 'Right Center Forward', 'Right Back', 'Center Forward', 'Right Center Back', 'Right Midfield', 'Left Center Back']"
Leon Andreasen,Denmark,Hannover 96,Right Defensive Midfield,15.0,1085.0,2.0,6.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Leon Goretzka,Germany,Schalke 04,Left Defensive Midfield,25.0,1993.0,2.0,6.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Leon Guwara,Gambia,Werder Bremen,Left Back,1.0,90.0,0.0,0.0,['Left Back']
Leonardo Bittencourt,Germany,FC Köln,Left Midfield,29.0,2207.0,2.0,18.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
