,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
13,Alexander Manninger,0.694,0.5,0.694,0.5,,,,,,,1.0,1.0,0.542,,,0.0,0.0,47.609,,0,0,36,0,3,0,0,0,0,0,0,1713.92314,1,1,11,11,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,0,0,0,23,23,0,0,0
14,Alexander Meier,0.665,0.52,0.448,0.417,0.87,1.0,0.75,0.4,0.4,0.667,0.746,0.67,0.592,0.53,0.432,0.072,0.005,16.875,2.667,109,340,34,20,165,20,8,0,10,100,53,8150.7061929,213,159,124,185,49,29,16,1,10,3,1,7,14,2,2,1,2,5,4,7,0,0,2,1,221,99,62,184,160,15,15,13,3,17
15,Alexander Milosevic,0.815,0.661,0.718,0.5,0.979,1.0,0.917,0.0,0.0,0.0,0.895,0.893,0.544,0.429,0.333,0.0,0.0,22.102,,7,190,143,3,50,8,0,1,5,7,3,7514.6159899,105,94,142,159,68,37,0,0,6,0,0,3,7,0,0,0,3,7,0,0,0,0,0,0,213,153,77,48,47,46,46,29,6,0
16,Alexandru Iulian Maxim,0.727,0.73,0.651,0.589,0.924,1.0,0.875,0.323,0.323,0.75,0.836,0.793,0.496,0.633,0.68,0.103,0.018,19.726,2.5,299,267,61,19,350,99,32,39,82,278,176,12368.082894699999,274,229,138,174,141,70,29,5,38,27,2,17,29,11,10,1,15,19,1,9,8,6,1,1,281,183,103,184,170,39,39,22,8,34
17,Alfredo Morales,0.576,0.534,0.478,0.444,0.841,1.0,0.722,0.245,0.245,0.333,0.692,0.586,0.439,0.529,0.451,0.026,0.003,18.915,4.0,180,279,67,30,274,53,13,7,31,174,92,9949.296905,221,153,95,162,98,43,9,1,14,21,6,6,22,11,10,3,5,12,0,4,8,9,0,1,345,165,48,107,90,56,56,32,11,10
18,Alfreð Finnbogason,0.695,0.568,0.514,0.393,0.849,1.0,0.686,0.0,0.0,0.0,0.721,0.674,0.696,0.586,0.486,0.114,0.01,14.734,,114,162,16,18,118,8,0,0,7,99,58,4302.2316235,147,106,60,89,23,16,12,1,3,6,2,1,4,2,2,1,1,1,0,1,0,0,1,1,105,54,42,126,107,5,5,4,0,13
19,Allan Saint-Maximin,0.635,0.594,0.524,0.417,0.861,1.0,0.769,0.412,0.412,,0.718,0.686,0.438,0.583,0.4,0.063,0.0,16.202,inf,66,61,10,6,72,17,7,1,9,60,35,2219.7227838999997,71,51,24,35,16,7,4,0,6,7,2,2,5,7,4,0,2,2,0,3,2,1,3,2,63,33,23,36,31,6,6,2,1,4
20,Almog Cohen,0.658,0.622,0.536,0.48,0.966,1.0,0.95,0.412,0.412,0.667,0.772,0.607,0.5,0.582,0.478,0.022,0.006,18.407,,61,181,33,3,112,17,7,1,9,55,32,5061.8656215,114,88,65,107,38,19,4,1,1,1,0,7,14,1,0,0,5,9,2,4,1,0,0,0,181,97,28,58,56,19,19,15,4,5
21,Andre Hoffmann,0.782,0.761,0.673,0.605,0.986,1.0,1.0,0.25,0.25,,0.831,0.854,0.438,0.636,0.0,0.005,0.0,18.328,inf,40,188,84,3,75,8,2,0,4,33,21,5718.394322,118,98,129,151,32,14,1,0,1,0,0,2,7,0,0,0,2,5,0,1,0,0,0,0,196,132,42,71,70,23,23,17,4,1
22,Andreas Christensen,0.883,0.723,0.796,0.6,0.997,1.0,1.0,0.125,0.125,0.0,0.912,0.92,0.771,0.793,0.833,0.001,0.001,22.134,inf,30,960,817,6,144,16,2,0,10,29,23,39996.5868132,500,456,853,927,353,272,1,1,47,1,0,5,15,0,4,0,2,10,2,4,0,2,0,2,1012,806,488,303,302,108,108,51,11,2
