,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
45,Borys Tashchy,0.635,0.462,0.519,0.5,0.917,1.0,,0.0,0.0,0.0,0.667,0.6,0.0,0.6,0.667,0.037,0.0,13.219,inf,27,21,4,1,31,6,0,1,5,25,15,687.3719576,30,20,9,15,2,0,1,0,0,1,0,4,4,1,1,0,0,0,2,2,0,0,0,0,27,14,8,12,11,1,1,1,0,1
46,Branimir Hrgota,0.846,0.769,0.733,0.571,1.0,1.0,1.0,0.5,0.5,,0.808,0.9,1.0,0.789,0.6,0.0,0.0,12.824,,24,14,1,0,20,2,1,0,0,19,15,500.1524782,26,21,9,10,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,15,11,6,16,16,1,1,0,0,0
47,Bruno Henrique Pinto,0.688,0.63,0.588,0.5,0.875,1.0,0.9,0.25,0.25,0.0,0.717,0.6,0.625,0.645,0.556,0.088,0.029,16.507,2.0,32,39,6,9,37,4,1,3,11,31,20,1271.0147892,46,33,12,20,8,5,3,1,1,6,1,2,2,1,5,1,0,0,2,2,1,2,0,2,34,20,12,24,21,3,3,1,0,4
48,Caiuby Francisco da Silva,0.639,0.607,0.5,0.482,0.865,1.0,0.864,0.291,0.291,0.5,0.722,0.656,0.5,0.57,0.521,0.078,0.009,16.847,3.0,284,419,68,27,363,55,16,7,43,251,143,12989.2186076,360,260,170,259,90,45,33,4,19,30,2,8,21,19,20,0,3,7,3,11,15,14,1,4,422,211,102,208,180,28,28,15,6,37
49,Carlos Armando Gruezo Arboleda,0.556,0.714,0.455,1.0,0.5,1.0,0.333,,,,0.857,0.286,0.333,0.0,,0.0,0.0,21.657,,2,14,2,0,6,0,0,0,0,1,0,389.8261303,7,6,2,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,4,2,2,2,1,0,0
50,Carlos Augusto Zambrano Ochandarte,0.834,0.654,0.747,0.562,0.973,1.0,0.857,0.25,0.25,,0.891,0.906,0.657,0.556,0.333,0.002,0.0,22.614,inf,19,481,420,1,109,8,2,3,4,18,10,20805.15368816,239,213,407,449,210,138,1,0,17,0,0,4,8,0,0,0,2,5,2,3,0,0,0,0,561,419,204,148,144,101,101,50,6,1
51,Ceyhun Gülselam,0.728,0.616,0.652,0.544,0.957,1.0,0.917,0.44,0.44,0.4,0.824,0.783,0.531,0.69,0.6,0.021,0.003,21.328,3.5,50,296,77,2,125,25,11,3,19,42,29,9021.8120869,159,131,126,161,81,43,6,1,17,4,0,13,16,1,1,0,11,14,1,1,1,1,0,0,290,189,53,69,66,47,47,35,9,7
52,Charles Mariano Aránguiz Sandoval,0.737,0.7,0.634,0.588,0.898,1.0,0.8,0.111,0.111,0.0,0.827,0.841,0.593,0.617,0.7,0.033,0.008,21.316,inf,48,137,39,1,72,18,2,6,15,47,29,4774.722331200001,75,62,69,82,54,32,4,1,11,5,0,4,7,1,1,0,2,2,1,2,1,1,0,0,123,78,43,49,44,20,20,13,3,5
53,Charlison Benschop,0.703,0.562,0.577,0.5,0.829,1.0,0.333,0.333,0.333,,0.791,0.542,0.6,0.5,0.667,0.038,0.0,15.078,,24,46,4,2,28,3,1,0,2,20,10,1115.7931852,43,34,13,24,5,3,1,0,1,2,0,0,1,2,2,0,0,0,0,1,1,1,1,1,26,15,8,35,29,2,2,2,0,1
54,Christian Clemens,0.63,0.609,0.536,0.414,0.882,1.0,0.875,0.376,0.376,0.5,0.799,0.719,0.377,0.541,0.621,0.106,0.008,20.47,3.5,246,222,67,17,287,117,44,25,87,229,124,10951.6337026,209,167,115,160,130,49,28,2,30,33,0,15,36,22,20,0,12,19,2,14,14,13,3,2,263,141,69,144,127,56,56,33,11,30
55,Christian Gentner,0.733,0.61,0.626,0.503,0.951,1.0,0.912,0.31,0.31,0.083,0.815,0.784,0.53,0.584,0.5,0.031,0.002,19.264,3.0,326,815,213,20,532,87,27,13,49,303,177,26083.2849829,563,459,391,499,232,123,25,2,23,33,0,16,44,19,19,0,14,26,0,14,14,14,1,0,819,513,186,309,294,122,122,92,20,27
56,Christian Mathenia,0.404,0.25,0.404,0.235,0.0,1.0,,0.062,0.062,0.0,0.833,0.941,0.382,,,0.002,0.0,64.678,,0,11,1056,0,515,16,1,0,9,0,0,69011.79786899999,12,10,32,34,1019,389,2,0,18,0,0,9,16,0,0,0,9,16,0,0,0,0,0,0,1060,428,3,1,0,1002,1002,10,1,2
57,Christian Pulisic,0.753,0.692,0.574,0.615,0.946,1.0,0.85,0.44,0.44,0.333,0.904,0.787,0.308,0.644,0.455,0.13,0.0,14.708,,108,68,14,17,99,25,11,4,23,90,58,2794.4796139,94,85,48,61,13,4,7,0,4,19,1,2,10,7,13,1,0,0,2,8,5,6,1,4,54,31,24,93,88,2,2,1,0,7
58,Christian Schulz,0.824,0.674,0.752,0.608,0.976,1.0,0.933,0.143,0.143,0.0,0.863,0.896,0.615,0.5,0.0,0.006,0.0,22.362,inf,23,515,458,7,114,21,3,2,14,22,11,22272.526639800002,270,233,459,512,200,123,4,0,17,4,0,7,17,1,3,0,6,16,1,1,1,3,0,0,653,491,170,164,160,105,105,62,13,4
59,Christian Träsch,0.788,0.691,0.687,0.548,0.986,1.0,0.979,0.274,0.274,0.2,0.911,0.854,0.544,0.655,0.579,0.025,0.001,21.37,1.0,448,936,345,6,627,135,37,21,96,397,260,36948.18148665,582,530,625,732,362,197,24,1,59,82,2,9,24,48,33,1,9,16,0,6,41,30,2,1,969,666,280,423,417,151,151,91,13,25
60,Christoph Janker,0.827,0.455,0.714,0.25,0.974,1.0,1.0,,,,0.882,0.859,0.8,0.4,0.0,0.0,0.0,23.082,,5,84,61,0,16,0,0,0,0,5,2,3462.3112683,34,30,61,71,40,32,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,55,31,39,38,13,13,4,0,0
61,Christoph Kramer,0.823,0.76,0.715,0.594,0.973,1.0,0.96,0.362,0.362,0.5,0.901,0.843,0.661,0.796,0.793,0.017,0.001,18.403,3.0,349,918,291,31,498,58,21,10,43,314,250,28671.8762869,688,620,482,572,230,152,14,1,28,16,4,22,40,5,14,3,20,32,0,4,2,9,2,2,806,576,312,406,395,108,108,81,23,15
62,Christoph Moritz,0.856,0.81,0.711,0.7,0.979,1.0,1.0,0.333,0.333,,0.9,0.865,0.6,0.846,1.0,0.0,0.0,16.586,,32,68,18,2,34,3,1,2,2,26,22,1957.1613097999998,50,45,45,52,10,6,0,0,1,2,1,0,1,1,1,0,0,0,0,1,1,1,0,0,45,32,22,48,47,4,4,3,1,0
63,Claudio Miguel Pizarro Bossio,0.698,0.665,0.576,0.5,0.881,1.0,0.871,0.394,0.394,0.182,0.759,0.711,0.651,0.679,0.677,0.084,0.009,15.276,8.0,245,318,30,29,299,33,13,4,15,218,148,9058.51719886,286,217,118,166,63,41,27,3,11,3,2,8,25,3,3,0,0,5,4,15,1,1,1,1,321,185,74,176,155,26,26,20,2,30
64,Cleber Janderson Pereira Reis,0.774,0.562,0.653,0.44,0.993,1.0,0.933,0.0,0.0,0.0,0.783,0.881,0.637,0.188,0.222,0.002,0.0,26.391,,17,379,362,5,109,11,0,2,9,16,3,20004.669154,157,123,311,353,234,149,1,0,43,1,0,7,11,0,1,0,7,9,0,2,0,0,0,0,467,305,145,138,137,111,111,48,6,1
65,Clemens Fritz,0.738,0.72,0.614,0.585,0.97,1.0,0.935,0.271,0.271,0.3,0.841,0.798,0.619,0.538,0.609,0.024,0.003,22.075,2.0,175,696,164,8,349,70,19,7,34,160,86,22847.983492900003,314,264,327,410,252,156,15,2,36,16,0,15,45,7,5,0,14,37,1,7,4,2,2,1,616,378,163,230,223,117,117,79,26,17
66,Daniel Baier,0.743,0.688,0.615,0.54,0.97,1.0,0.981,0.348,0.348,0.5,0.837,0.84,0.551,0.562,0.607,0.056,0.002,24.637,4.0,235,1019,257,3,535,158,55,30,109,219,123,37226.41615525,387,324,532,633,452,249,48,2,71,20,0,32,74,3,5,0,30,57,2,13,3,5,0,0,862,530,269,334,324,207,207,152,45,50
67,Daniel Brosinski,0.685,0.599,0.564,0.496,0.955,1.0,0.889,0.263,0.263,0.222,0.836,0.772,0.502,0.534,0.343,0.026,0.003,24.071,5.0,343,666,353,13,527,152,40,32,101,320,171,32784.8990802,366,306,416,539,404,203,20,2,41,55,2,15,39,39,33,2,14,27,1,9,32,26,3,1,783,442,153,354,338,219,219,128,25,22
68,Daniel Caligiuri,0.763,0.758,0.623,0.58,0.919,1.0,0.906,0.341,0.341,0.462,0.838,0.791,0.611,0.709,0.733,0.07,0.014,18.214,4.0,379,385,80,23,395,82,28,19,57,330,234,15372.898869,357,299,261,330,113,69,26,5,22,48,5,9,26,22,18,2,6,10,1,12,13,11,3,4,369,230,131,308,283,33,33,17,8,31
69,Daniel Didavi,0.732,0.652,0.618,0.48,0.935,1.0,0.883,0.28,0.28,0.222,0.85,0.766,0.464,0.604,0.621,0.063,0.006,19.678,6.0,346,595,86,16,475,118,33,29,80,321,194,20209.0573365,426,362,285,372,183,85,32,3,38,47,3,14,41,20,22,0,14,22,0,16,13,12,2,5,510,315,147,310,290,90,90,63,14,35
70,Daniel Ginczek,0.584,0.462,0.381,0.275,0.82,1.0,0.929,0.111,0.111,0.143,0.656,0.587,0.5,0.516,0.5,0.143,0.012,13.791,3.0,99,89,2,13,104,18,2,4,15,95,49,2620.2779886999997,93,61,37,63,10,5,12,1,1,7,1,7,12,1,4,1,3,5,3,4,1,3,0,1,84,32,29,61,50,5,5,3,2,13
71,Daniel Schwaab,0.762,0.549,0.682,0.477,0.956,1.0,0.824,0.325,0.325,0.0,0.852,0.817,0.607,0.605,0.154,0.006,0.001,23.751,3.0,92,638,457,5,300,40,13,0,22,86,52,28192.2299137,305,260,454,556,300,182,5,1,29,9,1,11,26,5,3,0,11,21,0,4,3,2,2,0,834,569,204,137,131,169,169,98,12,6
72,Daniel Tawiah Opare,0.645,0.583,0.488,0.462,0.944,1.0,0.667,0.267,0.267,0.0,0.84,0.714,0.366,0.615,0.75,0.024,0.0,22.88,inf,26,64,48,1,45,15,4,2,9,26,16,3157.5074575999997,50,42,30,42,41,15,2,0,4,7,1,1,4,3,4,1,1,4,0,0,3,3,0,1,82,40,15,36,34,22,22,9,3,2
73,Danilo Teodoro Soares,0.556,0.5,0.481,0.333,1.0,1.0,1.0,0.4,0.4,,0.667,0.533,0.333,0.5,,0.0,0.0,20.359,,9,23,4,0,15,5,2,0,4,8,4,732.9320227,15,10,8,15,6,2,0,0,0,3,0,1,1,3,2,0,1,1,0,0,2,2,1,0,27,13,2,5,5,3,3,3,1,0
74,Danny Latza,0.799,0.789,0.664,0.648,0.966,1.0,0.965,0.355,0.355,1.0,0.884,0.846,0.648,0.558,0.621,0.052,0.004,21.594,4.0,192,774,223,5,304,93,33,27,75,172,96,25674.827771800003,372,329,439,519,264,171,28,2,46,21,0,16,27,8,8,0,12,17,4,9,7,6,0,1,541,359,226,378,365,72,72,53,10,30
75,Danny Vieira da Costa,0.678,0.565,0.607,0.489,0.943,1.0,1.0,0.315,0.315,0.167,0.832,0.653,0.429,0.698,0.467,0.018,0.005,19.567,inf,287,359,161,5,426,54,17,10,28,275,192,15790.1786254,364,303,188,288,126,54,10,3,10,27,1,6,16,26,17,1,5,12,1,4,14,7,5,6,555,337,94,123,116,92,92,47,10,13
76,Dante Bonfim da Costa Santos,0.88,0.747,0.818,0.629,0.995,1.0,0.978,0.176,0.176,0.0,0.926,0.943,0.719,0.75,0.667,0.004,0.0,24.296,5.0,13,913,752,2,179,17,3,1,8,12,9,40767.9098622,378,350,830,880,405,291,4,0,43,0,0,8,17,0,0,0,7,14,1,3,0,0,0,0,1088,890,388,200,199,192,192,98,13,4
77,Dario Kresic,0.611,1.0,0.611,1.0,,,,,,,,1.0,0.588,,,0.0,0.0,57.668,,0,0,18,0,2,0,0,0,0,0,0,1038.027898,0,0,1,1,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,17,17,0,0,0
78,Dario Lezcano,0.678,0.609,0.5,0.46,0.849,1.0,0.795,0.308,0.308,0.357,0.749,0.634,0.375,0.594,0.563,0.117,0.008,12.825,1.0,172,135,4,24,189,26,8,4,17,160,95,3988.6970228,179,134,45,71,16,6,15,1,7,9,2,4,12,4,7,1,0,2,1,4,1,2,2,3,128,64,46,119,101,6,6,3,1,16
79,David Kinsombi,0.733,0.333,0.6,0.333,1.0,1.0,,0.0,0.0,,1.0,1.0,0.4,,,0.0,0.0,24.328,,0,6,9,0,5,1,0,0,1,0,0,364.9139259,5,5,4,4,5,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,10,6,1,4,4,5,5,3,1,0
80,David Olatukunbo Alaba,0.923,0.84,0.878,0.713,0.986,1.0,0.978,0.362,0.362,0.667,0.967,0.939,0.769,0.814,0.742,0.014,0.0,19.248,3.0,316,1565,655,10,540,47,17,8,36,258,210,48814.1611969,1048,1013,1039,1107,342,263,18,0,46,31,3,12,20,18,17,3,10,14,2,5,8,7,7,7,1324,1163,555,631,622,129,129,70,5,18
81,David Ángel Abraham,0.808,0.686,0.708,0.556,0.994,1.0,1.0,0.214,0.214,1.0,0.894,0.877,0.64,0.6,0.429,0.007,0.0,24.048,4.0,16,488,600,4,122,14,3,2,6,15,9,26549.516887600003,274,245,458,522,286,183,5,0,40,1,0,5,12,0,0,0,5,12,0,0,0,0,0,0,710,503,216,174,173,150,150,74,11,5
82,Dennis Aogo,0.802,0.728,0.726,0.6,0.967,1.0,0.966,0.284,0.284,0.091,0.902,0.813,0.593,0.618,0.515,0.043,0.002,19.7,,334,585,305,12,379,109,31,29,95,283,175,24112.2018065,499,450,404,497,199,118,25,1,32,72,2,12,18,51,44,2,11,14,0,2,38,37,5,5,580,421,180,394,381,63,63,22,7,26
83,Dennis Diekmeier,0.737,0.638,0.58,0.51,0.98,1.0,1.0,0.245,0.245,0.5,0.901,0.752,0.509,0.585,0.526,0.026,0.0,20.226,,170,323,176,8,214,53,13,5,34,147,86,13531.1077476,222,200,227,302,114,58,8,0,17,37,1,1,6,33,23,0,0,1,0,3,25,17,4,1,312,181,71,246,241,52,52,27,2,8
84,Diego Orlando Benaglio,0.801,0.565,0.789,0.556,1.0,1.0,,0.0,0.0,,1.0,0.997,0.593,,,0.0,0.0,35.276,,0,1,732,0,30,2,0,0,1,0,0,25857.5482786,71,71,305,306,354,210,0,0,8,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,683,539,47,1,1,284,284,1,1,0
85,Dominik Kohr,0.765,0.648,0.606,0.517,0.971,1.0,0.932,0.31,0.31,0.0,0.838,0.831,0.624,0.683,0.68,0.008,0.003,21.765,inf,139,785,200,2,308,29,9,0,13,123,84,24463.9080889,389,326,354,426,258,161,5,2,55,5,0,9,24,1,1,0,6,12,1,10,0,0,0,0,612,371,184,314,305,110,110,74,11,7
86,Dominik Maroh,0.877,0.625,0.804,0.563,0.969,1.0,0.824,0.0,0.0,0.0,0.887,0.925,0.797,0.333,0.25,0.0,0.0,23.404,inf,14,521,627,4,67,6,0,0,5,12,4,27195.2486308,248,220,578,625,271,216,0,0,28,0,1,4,6,0,1,1,4,6,0,0,0,0,0,0,680,547,318,159,154,93,93,36,5,0
87,Dominik Stroh-Engel,0.571,0.538,0.457,0.429,0.71,1.0,0.5,0.222,0.222,0.167,0.587,0.5,0.625,0.42,0.486,0.043,0.014,13.846,,52,60,7,8,70,9,2,1,8,50,21,1647.6864824,63,37,15,30,8,5,3,1,0,2,0,3,7,1,3,0,2,5,0,1,1,2,0,0,70,32,14,31,22,3,3,1,0,4
88,Dominique Heintz,0.821,0.656,0.705,0.538,0.997,1.0,1.0,0.178,0.178,0.2,0.881,0.924,0.655,0.5,0.429,0.003,0.0,25.771,6.0,62,790,632,8,247,45,8,3,24,48,24,38243.9523868,295,260,655,709,455,298,3,0,37,13,0,10,32,6,7,0,9,28,1,4,5,6,0,0,863,608,315,297,296,251,251,138,23,3
89,Dong-Won Ji,0.747,0.67,0.581,0.49,0.898,1.0,0.86,0.4,0.4,0.0,0.832,0.762,0.632,0.697,0.641,0.101,0.0,17.164,3.0,123,157,28,12,135,15,6,2,11,99,69,5286.5699868,143,119,77,101,38,24,13,0,11,10,0,2,5,6,5,0,0,0,2,5,5,5,1,0,129,75,49,118,106,16,16,10,1,13
90,Douglas Costa de Souza,0.726,0.68,0.627,0.613,0.908,1.0,0.806,0.358,0.358,0.381,0.85,0.783,0.522,0.614,0.571,0.094,0.024,19.178,1.0,662,404,52,40,646,193,69,44,156,562,345,21440.596433,454,386,299,382,207,108,36,9,54,114,6,7,26,67,71,3,4,13,3,12,34,30,14,24,381,239,189,423,384,30,30,13,3,45
91,Dušan Švento,0.565,0.471,0.452,0.444,0.875,1.0,1.0,0.1,0.1,0.0,0.679,0.611,0.333,0.333,0.333,0.032,0.0,20.395,,22,31,9,2,30,10,1,4,10,21,7,1264.520326,28,19,11,18,15,5,1,0,4,8,0,1,2,4,5,0,0,1,0,0,3,3,0,1,31,14,7,16,14,5,5,2,0,1
92,Edgar Prib,0.675,0.623,0.608,0.575,0.936,1.0,0.833,0.295,0.295,0.375,0.826,0.755,0.393,0.561,0.591,0.044,0.006,20.599,inf,234,280,116,8,305,95,28,21,68,223,125,12977.5086354,236,195,157,208,145,57,16,2,24,36,0,13,29,18,16,0,12,20,1,7,15,15,1,0,360,219,75,140,131,74,74,38,6,18
93,Eduardo Jesús Vargas Rojas,0.731,0.684,0.601,0.515,0.898,1.0,0.833,0.487,0.487,0.4,0.775,0.781,0.532,0.626,0.509,0.093,0.012,16.719,7.0,219,308,30,26,280,39,19,4,31,198,124,9312.41410434,258,200,150,192,62,33,24,3,12,13,2,7,22,6,15,1,4,10,3,11,6,8,0,2,258,155,94,176,158,25,25,21,6,27
94,Elias Kachunga,0.64,0.658,0.444,0.375,0.913,1.0,0.944,0.25,0.25,0.0,0.791,0.429,0.0,0.581,0.643,0.0,0.0,13.465,,33,37,5,3,40,4,1,1,4,31,18,1009.8941573,43,34,9,21,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,36,16,11,23,21,2,2,1,0,0
95,Emiliano Adrián Insúa Zapata,0.729,0.633,0.625,0.47,0.982,1.0,0.953,0.351,0.351,0.143,0.868,0.751,0.444,0.683,0.56,0.027,0.001,20.564,1.333,462,835,381,15,687,111,39,19,76,429,293,34505.856754,627,544,520,692,306,136,29,1,25,69,4,8,19,36,26,2,7,13,1,4,22,18,7,3,1063,664,172,395,388,189,189,96,7,30
96,Emir Spahić,0.774,0.677,0.669,0.543,0.964,1.0,0.923,0.171,0.171,0.0,0.873,0.861,0.592,0.536,0.2,0.002,0.0,25.445,inf,32,697,561,4,216,35,6,2,22,28,15,32823.85399373,284,248,525,610,368,218,2,0,36,5,0,16,28,5,4,0,16,28,0,0,4,3,0,0,825,552,258,196,189,215,215,122,20,2
97,Erik Durm,0.767,0.583,0.623,0.404,0.96,1.0,0.846,0.355,0.355,0.5,0.884,0.8,0.533,0.658,0.538,0.026,0.004,18.815,inf,143,280,104,7,175,31,11,5,22,117,77,9915.6608647,207,183,176,220,75,40,7,1,5,19,1,1,11,10,11,1,1,7,0,4,7,8,0,1,265,165,69,177,170,40,40,21,5,8
98,Ermin Bičakčić,0.83,0.648,0.728,0.523,0.992,1.0,1.0,0.091,0.091,0.0,0.936,0.881,0.637,0.714,1.0,0.004,0.0,22.499,inf,14,381,365,1,96,11,1,0,6,14,10,17099.28749113,187,175,339,385,168,107,2,0,17,1,0,4,10,0,1,0,4,10,0,0,0,0,0,1,456,332,174,126,125,80,80,45,8,2
99,Eugen Polanski,0.769,0.7,0.65,0.531,0.985,1.0,0.983,0.216,0.216,0.0,0.854,0.841,0.442,0.663,0.609,0.026,0.005,20.198,4.0,107,625,167,4,259,37,8,5,22,101,67,18158.2468999,308,263,359,427,138,61,14,3,15,8,0,12,25,2,3,0,9,19,0,2,1,1,1,2,549,357,131,206,203,85,85,62,18,17
100,Fabian Frei,0.762,0.674,0.632,0.491,0.979,1.0,1.0,0.312,0.312,1.0,0.829,0.776,0.633,0.672,0.7,0.027,0.008,21.17,,61,273,107,4,113,16,5,2,13,58,39,9336.1367689,146,121,159,205,79,50,7,2,15,8,0,3,7,5,6,0,1,2,1,3,4,5,0,0,261,165,76,97,95,35,35,16,1,9
101,Fabian Holland,0.623,0.527,0.571,0.446,0.966,1.0,0.889,0.325,0.325,0.0,0.85,0.649,0.376,0.62,0.25,0.014,0.0,23.795,inf,111,211,129,1,228,40,13,2,17,108,67,10731.440706500001,127,108,122,188,117,44,5,0,7,12,0,5,10,20,6,0,5,9,0,1,18,5,1,0,350,200,25,58,56,93,93,55,9,5
102,Fabian Johnson,0.77,0.741,0.621,0.584,0.932,1.0,0.875,0.429,0.429,0.444,0.849,0.768,0.562,0.697,0.683,0.063,0.007,15.126,1.25,320,474,123,32,335,42,18,8,36,267,186,13870.5046555,491,417,229,298,64,36,26,3,6,20,5,7,19,9,10,4,3,7,2,9,5,5,3,4,414,257,122,351,327,35,35,17,1,29
103,Fabian Lukas Schär,0.794,0.706,0.707,0.649,0.992,1.0,1.0,0.286,0.286,0.4,0.869,0.897,0.638,0.556,0.4,0.008,0.0,27.332,7.0,27,488,373,0,184,21,6,1,16,27,15,24271.1343275,168,146,367,409,298,190,5,0,56,0,0,14,19,0,0,0,13,17,1,2,0,0,0,0,614,434,149,123,122,176,176,96,14,5
104,Fabian Lustenberger,0.879,0.796,0.781,0.611,0.985,1.0,0.975,0.19,0.19,0.0,0.938,0.901,0.812,0.667,0.583,0.011,0.0,23.559,inf,56,795,538,2,148,21,4,1,10,48,32,32723.9005132,338,317,622,690,341,277,8,0,56,0,0,9,20,0,0,0,7,14,2,5,0,0,0,0,703,549,273,405,399,93,93,48,8,8
105,Fabian Reese,0.667,1.0,0.5,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.5,0.0,8.013,,1,2,0,0,1,1,1,0,1,1,1,24.0378185,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1
106,Federico Barba,0.8,0.467,0.634,0.333,1.0,1.0,1.0,,,,0.852,0.871,0.643,,,0.0,0.0,20.667,,1,41,33,0,9,0,0,0,0,0,0,1550.0499973,27,23,27,31,14,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,26,18,16,16,7,7,7,0,0
107,Felipe Trevizan Martins,0.714,0.5,0.667,0.571,1.0,1.0,,,,,0.889,0.727,0.571,0.5,,0.0,0.0,23.228,,2,13,13,0,6,0,0,0,0,2,1,650.381543,9,8,8,11,7,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,3,3,3,4,4,1,0,0
108,Felix Klaus,0.712,0.692,0.578,0.613,0.862,1.0,0.81,0.429,0.429,,0.757,0.763,0.579,0.691,0.667,0.06,0.0,15.352,,104,76,28,5,107,7,3,1,5,97,67,3193.242365,111,84,45,59,19,11,5,0,7,3,0,0,3,2,2,0,0,1,0,1,1,0,1,1,83,48,31,80,69,4,4,1,0,5
109,Felix Kroos,0.743,0.682,0.652,0.6,0.95,1.0,0.833,0.286,0.286,,0.805,0.914,0.471,0.5,0.5,0.045,0.0,18.403,inf,17,66,18,0,34,7,2,2,4,14,7,1858.6606271,41,33,32,35,17,8,3,0,4,1,0,1,3,0,0,0,0,2,1,1,0,0,0,0,66,43,13,20,19,8,8,4,2,3
110,Felix Passlack,0.849,0.75,0.683,0.444,0.971,1.0,1.0,0.25,0.25,0.5,0.893,0.938,0.583,0.848,0.778,0.024,0.0,16.562,,46,70,10,1,46,4,1,2,2,33,28,2086.8360255000002,56,50,45,48,12,7,1,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,41,28,11,70,68,3,3,2,0,1
111,Felix Platte,0.49,0.286,0.364,0.25,0.8,1.0,0.0,0.25,0.25,0.333,0.609,0.5,0.273,0.455,0.231,0.061,0.0,18.319,,23,20,6,3,33,4,1,0,1,22,10,897.6113864,23,14,6,12,11,3,2,0,2,2,0,1,4,0,0,0,1,3,0,1,0,0,0,0,33,12,4,10,8,5,5,2,1,2
112,Felix Wiedwald,0.613,0.456,0.607,0.456,1.0,1.0,,0.25,0.25,,0.966,0.985,0.492,,,0.0,0.0,48.517,inf,1,3,1029,0,131,4,1,0,2,0,0,50117.6927833,58,56,194,197,778,383,0,0,22,0,0,2,4,0,0,0,2,4,0,0,0,0,0,0,1016,617,15,1,1,721,721,2,0,0
113,Filip Kostić,0.541,0.536,0.481,0.425,0.842,1.0,0.796,0.294,0.294,0.238,0.704,0.608,0.321,0.412,0.39,0.153,0.011,21.576,inf,609,406,74,28,674,316,93,108,255,580,239,23495.8454816,402,283,191,314,293,94,71,5,104,162,7,22,37,100,80,6,18,23,3,8,55,38,19,18,464,223,153,253,213,64,64,40,11,76
114,Filip Mladenović,0.723,0.773,0.546,0.571,0.971,1.0,1.0,0.322,0.322,0.0,0.886,0.736,0.582,0.554,0.667,0.063,0.011,21.405,,142,162,79,2,150,59,19,13,48,121,67,8198.0076258,132,117,103,140,91,53,11,2,18,28,0,4,11,8,8,0,3,6,1,4,7,7,0,0,174,95,50,136,132,25,25,5,0,13
115,Fin Bartels,0.735,0.708,0.623,0.517,0.897,1.0,0.932,0.31,0.31,0.5,0.82,0.803,0.529,0.644,0.678,0.063,0.003,17.446,4.5,278,298,87,37,316,58,18,13,49,247,159,11566.628460299999,283,232,196,244,87,46,21,1,19,30,10,17,31,9,12,8,9,16,7,12,3,3,5,8,332,207,106,194,174,38,38,21,5,22
116,Florian Grillitsch,0.734,0.639,0.61,0.489,0.915,1.0,0.895,0.312,0.312,0.0,0.789,0.827,0.605,0.538,0.4,0.04,0.004,20.859,2.0,208,545,160,12,304,77,24,11,50,184,99,19044.7158912,341,269,272,329,195,118,19,2,38,16,1,21,35,9,5,0,14,22,3,8,4,3,4,1,472,288,145,259,237,72,72,48,16,21
