player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
Maximilian Eggestein,12,12,1,1,0,34,6,15,13,13,0,7,6,0,6,0,0,0,6,0,0,0,0,4,3,0,4,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.17647058823529413,0.4411764705882353,0.38235294117647056,0.0,0.5384615384615384,0.46153846153846156,0.75,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666
Maximilian Mittelstädt,10,10,1,1,0,48,12,29,7,10,1,8,1,0,8,0,0,0,8,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.25,0.6041666666666666,0.14583333333333334,0.1,0.8,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Medhi Amine El Mouttaqi Benatia,69,62,1,1,7,88,38,48,2,37,8,27,2,1,13,0,1,1,13,0,42,23,0,11,7,2,9,0,16,2,13,1,0,0,0,2,0,0,0,0,0,0,2,0,0.8985507246376812,0.4318181818181818,0.5454545454545454,0.022727272727272728,0.21621621621621623,0.7297297297297297,0.05405405405405406,0.6363636363636364,0.18181818181818182,0.8181818181818182,0.0,0.125,0.8125,0.0625
Melvyn Lorenzen,4,4,0,0,0,58,18,30,10,8,0,3,5,0,6,0,0,0,6,0,0,0,0,3,0,3,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.3103448275862069,0.5172413793103449,0.1724137931034483,0.0,0.375,0.625,0.0,1.0,0.0,0.0,0.0,0.6,0.4
Mevlüt Erdinç,7,6,0,0,1,34,2,10,22,12,0,2,10,0,5,1,0,0,5,0,6,6,0,1,0,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.058823529411764705,0.29411764705882354,0.6470588235294118,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Michael Gregoritsch,63,56,0,0,7,282,64,135,83,97,5,53,39,2,34,0,0,0,34,0,17,11,0,19,10,7,10,2,29,4,14,11,3,0,0,5,0,0,1,1,0,0,6,0,0.8888888888888888,0.22695035460992907,0.4787234042553192,0.29432624113475175,0.05154639175257732,0.5463917525773195,0.4020618556701031,0.5263157894736842,0.3684210526315789,0.5263157894736842,0.10526315789473684,0.13793103448275862,0.4827586206896552,0.3793103448275862
Michael Zetterer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,,
Miiko Martín Albornoz Inola,114,108,0,0,6,357,190,128,39,97,19,51,27,4,59,0,3,3,59,0,63,41,0,54,27,33,18,3,26,10,12,4,0,0,0,1,0,0,0,0,0,0,1,0,0.9473684210526315,0.5322128851540616,0.3585434173669468,0.1092436974789916,0.1958762886597938,0.5257731958762887,0.27835051546391754,0.5,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.38461538461538464,0.46153846153846156,0.15384615384615385
Mijat Gaćinović,20,19,0,0,1,62,13,32,17,18,0,8,10,0,9,0,0,0,9,0,2,0,0,10,5,4,4,2,5,0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0.95,0.20967741935483872,0.5161290322580645,0.27419354838709675,0.0,0.4444444444444444,0.5555555555555556,0.5,0.4,0.4,0.2,0.0,0.8,0.2
Mike-Steven Bähre,0,0,0,0,0,6,2,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,,,,,0.0,1.0,0.0
Milos Veljkovic,0,0,0,0,0,34,14,18,2,5,1,3,1,0,5,0,0,0,5,0,7,4,0,3,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4117647058823529,0.5294117647058824,0.058823529411764705,0.2,0.6,0.2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0
Miloš Jojić,28,27,0,0,1,180,37,97,46,48,2,25,21,0,8,0,0,0,8,0,3,2,0,12,4,6,4,2,14,1,6,7,0,0,0,2,0,0,0,0,0,0,2,0,0.9642857142857143,0.20555555555555555,0.5388888888888889,0.25555555555555554,0.041666666666666664,0.5208333333333334,0.4375,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.07142857142857142,0.42857142857142855,0.5
Mitchell James Langerak,10,10,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,,,,,,,,,,
Mitchell Weiser,156,139,0,0,17,556,196,245,115,172,21,75,76,5,54,1,1,1,54,1,38,21,0,68,36,37,20,11,32,4,18,10,0,0,0,6,0,0,1,1,0,0,7,0,0.8910256410256411,0.35251798561151076,0.44064748201438847,0.2068345323741007,0.12209302325581395,0.436046511627907,0.4418604651162791,0.5294117647058824,0.5441176470588235,0.29411764705882354,0.16176470588235295,0.125,0.5625,0.3125
Moritz Hartmann,88,74,0,0,14,419,71,180,168,103,4,36,63,1,42,5,3,3,42,0,13,7,0,20,13,4,11,5,29,2,12,15,2,1,0,2,0,0,2,2,0,0,4,0,0.8409090909090909,0.16945107398568018,0.4295942720763723,0.4009546539379475,0.038834951456310676,0.34951456310679613,0.6116504854368932,0.65,0.2,0.55,0.25,0.06896551724137931,0.41379310344827586,0.5172413793103449
Moritz Leitner,15,14,0,0,1,71,17,39,15,23,3,10,10,0,8,1,0,0,8,0,1,0,0,7,4,4,2,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9333333333333333,0.23943661971830985,0.5492957746478874,0.2112676056338028,0.13043478260869565,0.43478260869565216,0.43478260869565216,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,0.75,0.25
Mustafa Batuhan Altıntaş,4,4,0,0,0,15,2,7,6,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.13333333333333333,0.4666666666666667,0.4,0.0,0.6666666666666666,0.3333333333333333,,,,,0.0,0.6666666666666666,0.3333333333333333
Márcio Rafael Ferreira de Souza,102,99,1,1,3,165,53,75,37,65,12,29,24,1,34,0,0,0,34,0,29,17,0,32,19,19,8,5,23,6,13,4,1,0,0,6,0,0,1,1,0,0,7,0,0.9705882352941176,0.3212121212121212,0.45454545454545453,0.22424242424242424,0.18461538461538463,0.4461538461538462,0.36923076923076925,0.59375,0.59375,0.25,0.15625,0.2608695652173913,0.5652173913043478,0.17391304347826086
Mërgim Mavraj,27,26,0,0,1,160,122,37,1,41,19,22,0,1,26,0,1,1,26,0,87,53,0,31,18,25,6,0,18,7,9,2,0,0,0,1,0,0,0,0,0,0,1,0,0.9629629629629629,0.7625,0.23125,0.00625,0.4634146341463415,0.5365853658536586,0.0,0.5806451612903226,0.8064516129032258,0.1935483870967742,0.0,0.3888888888888889,0.5,0.1111111111111111
Nabil Bahoui,6,6,0,0,0,65,19,29,17,21,5,8,8,1,6,0,0,0,6,0,2,2,0,6,4,3,3,0,9,1,5,3,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.2923076923076923,0.4461538461538462,0.26153846153846155,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.6666666666666666,0.5,0.5,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333
Nadiem Amiri,100,95,1,1,5,442,114,238,90,112,9,53,50,0,23,1,0,0,23,0,7,5,0,30,20,10,11,9,33,6,22,5,0,0,0,2,0,0,2,2,0,0,4,0,0.95,0.2579185520361991,0.5384615384615384,0.20361990950226244,0.08035714285714286,0.4732142857142857,0.44642857142857145,0.6666666666666666,0.3333333333333333,0.36666666666666664,0.3,0.18181818181818182,0.6666666666666666,0.15151515151515152
Neven Subotić,23,21,0,0,2,55,31,19,5,25,4,15,6,0,11,0,0,0,11,0,24,16,0,5,2,5,0,0,5,1,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0.9130434782608695,0.5636363636363636,0.34545454545454546,0.09090909090909091,0.16,0.6,0.24,0.4,1.0,0.0,0.0,0.2,0.8,0.0
Nicklas Bendtner,14,11,0,0,3,67,5,27,35,28,1,13,14,0,3,0,1,1,3,0,5,1,0,3,3,1,1,1,8,1,4,3,0,0,0,2,0,0,0,0,0,0,2,0,0.7857142857142857,0.07462686567164178,0.40298507462686567,0.5223880597014925,0.03571428571428571,0.4642857142857143,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.125,0.5,0.375
Nico Elvedi,84,81,0,0,3,220,117,88,15,78,18,48,12,1,45,0,1,1,45,1,70,49,0,39,20,19,17,3,19,4,12,3,0,0,0,2,0,0,0,0,0,0,2,0,0.9642857142857143,0.5318181818181819,0.4,0.06818181818181818,0.23076923076923078,0.6153846153846154,0.15384615384615385,0.5128205128205128,0.48717948717948717,0.4358974358974359,0.07692307692307693,0.21052631578947367,0.631578947368421,0.15789473684210525
