player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
Papiss Mison Djilobodji,75,69,0,0,6,99,65,31,3,21,7,12,2,1,32,2,1,1,32,0,101,51,0,17,9,12,5,0,18,7,10,1,0,0,0,5,0,0,1,1,0,0,6,0,0.92,0.6565656565656566,0.31313131313131315,0.030303030303030304,0.3333333333333333,0.5714285714285714,0.09523809523809523,0.5294117647058824,0.7058823529411765,0.29411764705882354,0.0,0.3888888888888889,0.5555555555555556,0.05555555555555555
Pascal Groß,181,158,1,1,23,832,210,398,224,230,11,112,107,0,79,2,2,2,79,0,25,14,0,62,34,17,33,12,42,4,22,16,2,0,0,8,1,0,1,1,0,0,9,0,0.8729281767955801,0.25240384615384615,0.47836538461538464,0.2692307692307692,0.04782608695652174,0.48695652173913045,0.4652173913043478,0.5483870967741935,0.27419354838709675,0.532258064516129,0.1935483870967742,0.09523809523809523,0.5238095238095238,0.38095238095238093
Patrick Herrmann,28,27,0,0,1,92,25,34,33,41,2,24,15,0,14,1,0,0,14,0,5,3,0,10,6,4,5,1,8,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.9642857142857143,0.2717391304347826,0.3695652173913043,0.358695652173913,0.04878048780487805,0.5853658536585366,0.36585365853658536,0.6,0.4,0.5,0.1,0.125,0.5,0.375
Paul Seguin,5,4,0,0,1,41,12,19,10,11,2,5,4,0,2,0,0,0,2,0,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2926829268292683,0.4634146341463415,0.24390243902439024,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.5,0.5,0.0,0.5,,,
Paul Verhaegh,89,86,0,0,3,247,136,89,22,54,11,31,12,2,52,1,1,1,52,0,67,39,0,30,16,22,7,1,13,6,6,1,0,0,0,6,0,0,2,2,0,0,8,0,0.9662921348314607,0.5506072874493927,0.3603238866396761,0.08906882591093117,0.2037037037037037,0.5740740740740741,0.2222222222222222,0.5333333333333333,0.7333333333333333,0.23333333333333334,0.03333333333333333,0.46153846153846156,0.46153846153846156,0.07692307692307693
Pavel Kadeřábek,72,68,1,1,4,264,123,97,44,97,11,57,29,4,71,1,1,1,71,0,87,42,0,33,14,18,12,3,26,6,13,7,1,1,0,2,0,0,0,0,0,0,2,0,0.9444444444444444,0.4659090909090909,0.36742424242424243,0.16666666666666666,0.1134020618556701,0.5876288659793815,0.29896907216494845,0.42424242424242425,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.23076923076923078,0.5,0.2692307692307692
Paweł Olkowski,59,55,0,0,4,167,85,60,22,47,7,22,18,2,28,0,0,0,28,0,43,24,0,23,10,10,10,3,12,4,7,1,0,0,0,0,0,0,1,1,0,0,1,0,0.9322033898305084,0.5089820359281437,0.3592814371257485,0.1317365269461078,0.14893617021276595,0.46808510638297873,0.3829787234042553,0.43478260869565216,0.43478260869565216,0.43478260869565216,0.13043478260869565,0.3333333333333333,0.5833333333333334,0.08333333333333333
Per Ciljan Skjelbred,165,147,0,0,18,642,249,337,56,201,23,139,39,1,68,2,0,0,68,0,53,26,0,60,40,24,32,4,66,8,45,13,0,0,0,9,0,0,0,0,0,0,9,0,0.8909090909090909,0.3878504672897196,0.5249221183800623,0.08722741433021806,0.11442786069651742,0.6915422885572139,0.19402985074626866,0.6666666666666666,0.4,0.5333333333333333,0.06666666666666667,0.12121212121212122,0.6818181818181818,0.19696969696969696
Peter Niemeyer,152,137,0,0,15,720,292,378,50,204,17,142,45,0,82,1,1,1,82,0,82,38,0,75,34,32,38,5,77,16,48,13,1,1,0,10,0,0,3,3,0,0,13,0,0.9013157894736842,0.40555555555555556,0.525,0.06944444444444445,0.08333333333333333,0.696078431372549,0.22058823529411764,0.4533333333333333,0.4266666666666667,0.5066666666666667,0.06666666666666667,0.2077922077922078,0.6233766233766234,0.16883116883116883
Peter Pekarík,49,46,0,0,3,176,95,50,31,54,10,20,24,0,28,0,0,0,28,0,33,19,0,25,14,13,9,3,13,3,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0.9387755102040817,0.5397727272727273,0.2840909090909091,0.17613636363636365,0.18518518518518517,0.37037037037037035,0.4444444444444444,0.56,0.52,0.36,0.12,0.23076923076923078,0.38461538461538464,0.38461538461538464
Philip Heise,9,8,0,0,1,37,10,17,10,7,0,3,4,0,4,0,0,0,4,0,5,1,0,3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.2702702702702703,0.4594594594594595,0.2702702702702703,0.0,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0
Philipp Bargfrede,90,78,0,0,12,286,97,160,29,106,14,72,20,0,34,0,2,2,34,0,20,10,0,41,29,18,19,4,29,8,18,3,1,0,0,2,0,1,0,0,0,0,2,1,0.8666666666666667,0.33916083916083917,0.5594405594405595,0.10139860139860139,0.1320754716981132,0.6792452830188679,0.18867924528301888,0.7073170731707317,0.43902439024390244,0.4634146341463415,0.0975609756097561,0.27586206896551724,0.6206896551724138,0.10344827586206896
Philipp Hosiner,13,12,0,0,1,107,8,53,46,37,0,17,20,0,5,0,0,0,5,0,3,2,0,8,5,1,5,2,8,0,5,3,0,0,0,2,0,0,0,0,0,0,2,0,0.9230769230769231,0.07476635514018691,0.4953271028037383,0.42990654205607476,0.0,0.4594594594594595,0.5405405405405406,0.625,0.125,0.625,0.25,0.0,0.625,0.375
Philipp Lahm,107,104,0,0,3,207,56,93,58,87,11,34,42,1,27,0,0,0,27,0,40,24,0,25,14,9,14,2,11,3,3,5,0,0,0,3,0,0,0,0,0,0,3,0,0.9719626168224299,0.27053140096618356,0.4492753623188406,0.28019323671497587,0.12643678160919541,0.39080459770114945,0.4827586206896552,0.56,0.36,0.56,0.08,0.2727272727272727,0.2727272727272727,0.45454545454545453
Philipp Max,87,78,0,0,9,368,190,151,27,88,12,59,17,6,44,0,2,2,44,2,62,23,0,52,14,25,22,5,36,11,23,2,1,0,0,2,0,0,1,1,0,0,3,0,0.896551724137931,0.5163043478260869,0.41032608695652173,0.07336956521739131,0.13636363636363635,0.6704545454545454,0.19318181818181818,0.2692307692307692,0.4807692307692308,0.4230769230769231,0.09615384615384616,0.3055555555555556,0.6388888888888888,0.05555555555555555
Philipp Ochs,26,23,0,0,3,165,69,69,27,46,6,24,16,1,11,1,0,0,11,0,8,5,0,19,13,11,5,3,10,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8846153846153846,0.41818181818181815,0.41818181818181815,0.16363636363636364,0.13043478260869565,0.5217391304347826,0.34782608695652173,0.6842105263157895,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.1,0.7,0.2
Phillipp Klement,3,3,0,0,0,6,2,1,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0,1.0,,,,,,,
Pierre Bengtsson,51,51,0,0,0,215,95,96,24,61,5,37,19,5,35,1,0,0,35,0,46,28,0,20,11,11,8,1,14,4,5,5,0,0,0,1,0,0,0,0,0,0,1,0,1.0,0.4418604651162791,0.44651162790697674,0.11162790697674418,0.08196721311475409,0.6065573770491803,0.3114754098360656,0.55,0.55,0.4,0.05,0.2857142857142857,0.35714285714285715,0.35714285714285715
Pierre-Emerick Aubameyang,62,52,0,0,10,467,23,176,268,113,4,26,83,0,27,1,0,0,27,0,7,3,0,5,4,4,0,1,30,1,16,13,2,0,0,2,0,0,2,2,0,0,4,0,0.8387096774193549,0.04925053533190578,0.37687366167023556,0.5738758029978587,0.035398230088495575,0.23008849557522124,0.7345132743362832,0.8,0.8,0.0,0.2,0.03333333333333333,0.5333333333333333,0.43333333333333335
Pierre-Emile Højbjerg,91,87,0,0,4,306,87,195,24,120,13,89,18,0,40,0,1,1,40,0,25,11,0,33,19,13,17,3,39,6,27,6,1,0,0,3,0,0,0,0,0,0,3,0,0.9560439560439561,0.28431372549019607,0.6372549019607843,0.0784313725490196,0.10833333333333334,0.7416666666666667,0.15,0.5757575757575758,0.3939393939393939,0.5151515151515151,0.09090909090909091,0.15384615384615385,0.6923076923076923,0.15384615384615385
Pierre-Michel Lasogga,57,52,0,0,5,462,25,231,206,112,2,39,71,0,19,0,0,0,19,0,31,25,0,7,3,1,3,3,56,2,30,24,1,0,0,5,0,0,0,0,0,0,5,0,0.9122807017543859,0.05411255411255411,0.5,0.4458874458874459,0.017857142857142856,0.3482142857142857,0.6339285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.03571428571428571,0.5357142857142857,0.42857142857142855
Piotr Trochowski,12,12,0,0,0,40,9,24,7,12,2,6,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.225,0.6,0.175,0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.8,0.2
Pirmin Schwegler,67,60,0,0,7,313,118,164,31,121,12,80,29,1,29,1,0,0,29,0,34,20,0,46,25,19,22,5,36,8,23,5,0,0,0,5,0,0,0,0,0,0,5,0,0.8955223880597015,0.3769968051118211,0.5239616613418531,0.09904153354632587,0.09917355371900827,0.6611570247933884,0.2396694214876033,0.5434782608695652,0.41304347826086957,0.4782608695652174,0.10869565217391304,0.2222222222222222,0.6388888888888888,0.1388888888888889
Przemysław Tytoń,165,161,0,0,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0.9757575757575757,1.0,0.0,0.0,,,,,,,,1.0,0.0,0.0
Raffael Caetano de Araújo,144,135,1,1,9,595,80,317,198,179,6,102,71,0,37,2,3,3,37,1,3,0,0,30,22,9,18,3,20,3,11,6,1,0,0,0,0,0,2,2,0,0,2,0,0.9375,0.13445378151260504,0.5327731092436975,0.33277310924369746,0.0335195530726257,0.5698324022346368,0.39664804469273746,0.7333333333333333,0.3,0.6,0.1,0.15,0.55,0.3
Ragnar Klavan,95,90,0,0,5,284,198,83,3,59,22,35,2,2,53,1,2,2,53,0,187,93,0,36,22,23,13,0,24,14,5,5,0,2,0,2,0,0,0,0,0,0,2,0,0.9473684210526315,0.6971830985915493,0.29225352112676056,0.01056338028169014,0.3728813559322034,0.5932203389830508,0.03389830508474576,0.6111111111111112,0.6388888888888888,0.3611111111111111,0.0,0.5833333333333334,0.20833333333333334,0.20833333333333334
Ralf Fährmann,175,175,0,0,0,4,4,0,0,4,4,0,0,0,6,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Ramazan Özcan,150,149,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.9933333333333333,1.0,0.0,0.0,,,,,,,,,,
Raúl Marcelo Bobadilla,96,84,2,2,12,332,45,147,140,98,2,43,53,1,29,0,0,0,29,0,18,13,0,23,15,6,9,8,45,3,27,15,1,0,0,2,0,0,2,1,1,0,4,0,0.875,0.1355421686746988,0.4427710843373494,0.42168674698795183,0.02040816326530612,0.4387755102040816,0.5408163265306123,0.6521739130434783,0.2608695652173913,0.391304347826087,0.34782608695652173,0.06666666666666667,0.6,0.3333333333333333
René Adler,131,129,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,1,2,0,2,0,1,1,1,0,0,3,1,0.9847328244274809,1.0,0.0,0.0,,,,,,,,1.0,0.0,0.0
Ricardo Iván Rodríguez Araya,129,121,0,0,8,280,145,104,31,80,18,36,26,2,60,0,2,2,60,2,59,35,0,47,24,25,18,4,26,4,18,4,2,0,0,3,0,0,0,0,0,0,3,0,0.937984496124031,0.5178571428571429,0.37142857142857144,0.11071428571428571,0.225,0.45,0.325,0.5106382978723404,0.5319148936170213,0.3829787234042553,0.0851063829787234,0.15384615384615385,0.6923076923076923,0.15384615384615385
Robbie Kruse,23,23,0,0,0,137,22,69,46,41,1,13,27,1,10,1,0,0,10,0,2,1,0,3,1,0,2,1,4,0,2,2,1,0,0,1,0,0,1,1,0,0,2,0,1.0,0.16058394160583941,0.5036496350364964,0.3357664233576642,0.024390243902439025,0.3170731707317073,0.6585365853658537,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5,0.5
Robert Bauer,94,86,0,0,8,335,168,132,35,90,19,41,30,2,55,1,4,4,55,0,75,39,0,62,23,36,19,7,35,11,21,3,1,1,0,3,0,0,2,2,0,0,5,0,0.9148936170212766,0.5014925373134328,0.3940298507462687,0.1044776119402985,0.2111111111111111,0.45555555555555555,0.3333333333333333,0.3709677419354839,0.5806451612903226,0.3064516129032258,0.11290322580645161,0.3142857142857143,0.6,0.08571428571428572
Robert Lewandowski,111,95,2,2,16,366,8,105,253,116,2,32,82,0,20,3,0,0,20,0,19,14,0,10,4,0,4,6,36,0,11,25,1,0,0,1,0,0,1,1,0,0,2,0,0.8558558558558559,0.02185792349726776,0.28688524590163933,0.6912568306010929,0.017241379310344827,0.27586206896551724,0.7068965517241379,0.4,0.0,0.4,0.6,0.0,0.3055555555555556,0.6944444444444444
Roberto Hilbert,45,42,0,0,3,148,67,54,27,56,7,22,27,1,23,0,0,0,23,1,40,25,0,23,12,11,10,2,15,5,5,5,0,2,0,1,0,0,0,0,0,0,1,0,0.9333333333333333,0.4527027027027027,0.36486486486486486,0.18243243243243243,0.125,0.39285714285714285,0.48214285714285715,0.5217391304347826,0.4782608695652174,0.43478260869565216,0.08695652173913043,0.3333333333333333,0.3333333333333333,0.3333333333333333
Robin Knoche,38,37,0,0,1,99,56,41,2,30,8,20,2,0,25,1,0,0,25,0,39,21,0,18,11,13,5,0,10,3,4,3,0,0,0,1,0,0,0,0,0,0,1,0,0.9736842105263158,0.5656565656565656,0.41414141414141414,0.020202020202020204,0.26666666666666666,0.6666666666666666,0.06666666666666667,0.6111111111111112,0.7222222222222222,0.2777777777777778,0.0,0.3,0.4,0.3
Roel Brouwers,7,6,0,0,1,27,10,15,2,11,3,5,3,0,5,0,0,0,5,0,22,13,0,2,2,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0.37037037037037035,0.5555555555555556,0.07407407407407407,0.2727272727272727,0.45454545454545453,0.2727272727272727,1.0,0.5,0.0,0.5,0.0,0.0,1.0
Roger de Oliveira Bernardo,193,174,0,0,19,455,167,248,40,145,12,106,27,1,51,0,3,3,51,0,80,55,0,53,31,24,26,3,46,12,28,6,0,0,0,3,0,0,0,0,0,0,3,0,0.9015544041450777,0.367032967032967,0.545054945054945,0.08791208791208792,0.08275862068965517,0.7310344827586207,0.18620689655172415,0.5849056603773585,0.4528301886792453,0.49056603773584906,0.05660377358490566,0.2608695652173913,0.6086956521739131,0.13043478260869565
Romain Brégerie,41,39,0,0,2,192,90,94,8,49,9,34,6,0,33,1,0,0,33,1,53,29,0,26,10,14,12,0,7,2,3,2,0,0,0,1,0,1,2,2,0,0,3,1,0.9512195121951219,0.46875,0.4895833333333333,0.041666666666666664,0.1836734693877551,0.6938775510204082,0.12244897959183673,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
Roman Bürki,143,142,0,0,1,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.993006993006993,1.0,0.0,0.0,1.0,0.0,0.0,,,,,1.0,0.0,0.0
Roman Neustädter,112,102,0,0,10,298,199,93,6,82,32,44,6,2,58,0,0,0,58,0,121,66,0,58,30,38,18,2,26,13,12,1,0,0,0,4,0,0,0,0,0,0,4,0,0.9107142857142857,0.6677852348993288,0.31208053691275167,0.020134228187919462,0.3902439024390244,0.5365853658536586,0.07317073170731707,0.5172413793103449,0.6551724137931034,0.3103448275862069,0.034482758620689655,0.5,0.46153846153846156,0.038461538461538464
Roman Weidenfeller,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,
Ron-Robert Zieler,187,187,0,0,0,9,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Ronaldo Aparecido Rodrigues,137,128,0,0,9,252,163,85,4,84,34,47,3,3,56,1,3,3,56,1,136,93,0,46,28,30,16,0,36,17,14,5,0,0,0,2,0,0,0,0,0,0,2,0,0.9343065693430657,0.6468253968253969,0.3373015873015873,0.015873015873015872,0.40476190476190477,0.5595238095238095,0.03571428571428571,0.6086956521739131,0.6521739130434783,0.34782608695652173,0.0,0.4722222222222222,0.3888888888888889,0.1388888888888889
Ronny Heberson Furtado de Araújo,1,1,0,0,0,4,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.25,0.5,0.25,,,,,,,,0.0,1.0,0.0
Roy Beerens,3,2,0,0,1,17,4,10,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0.6666666666666666,0.23529411764705882,0.5882352941176471,0.17647058823529413,0.0,0.5,0.5,,,,,0.5,0.5,0.0
Rune Almenning Jarstein,131,131,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,
Russell Canouse,1,1,0,0,0,3,1,2,0,2,0,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,,,,,,,
Salif Sané,194,179,0,0,15,486,235,207,44,157,29,101,27,2,81,3,2,2,81,0,135,93,0,73,46,37,33,3,57,18,29,10,2,0,0,8,0,0,0,0,0,0,8,0,0.9226804123711341,0.4835390946502058,0.42592592592592593,0.09053497942386832,0.18471337579617833,0.643312101910828,0.17197452229299362,0.6301369863013698,0.5068493150684932,0.4520547945205479,0.0410958904109589,0.3157894736842105,0.5087719298245614,0.17543859649122806
Salomon Armand Magloire Kalou,101,91,0,0,10,378,67,194,117,86,5,31,50,1,46,2,0,0,46,0,16,11,0,17,12,10,5,2,43,4,20,19,3,0,0,2,0,0,0,0,0,0,2,0,0.900990099009901,0.17724867724867724,0.5132275132275133,0.30952380952380953,0.05813953488372093,0.36046511627906974,0.5813953488372093,0.7058823529411765,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.09302325581395349,0.46511627906976744,0.4418604651162791
Sambou Yatabaré,37,31,0,0,6,143,34,76,33,40,3,20,17,1,11,1,0,0,11,0,8,5,0,9,5,3,5,1,20,3,6,11,4,1,0,3,0,0,0,0,0,0,3,0,0.8378378378378378,0.23776223776223776,0.5314685314685315,0.23076923076923078,0.075,0.5,0.425,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.15,0.3,0.55
Sandro Sirigu,7,5,0,0,2,29,14,10,5,6,0,1,5,0,2,0,0,0,2,0,2,0,0,6,3,6,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0.4827586206896552,0.3448275862068966,0.1724137931034483,0.0,0.16666666666666666,0.8333333333333334,0.5,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Sandro Wagner,121,104,1,1,17,494,54,242,198,147,9,56,82,1,56,1,1,1,56,0,44,32,0,34,21,6,15,13,99,2,46,51,6,0,0,8,1,0,1,1,0,0,9,0,0.859504132231405,0.10931174089068826,0.4898785425101215,0.4008097165991903,0.061224489795918366,0.38095238095238093,0.5578231292517006,0.6176470588235294,0.17647058823529413,0.4411764705882353,0.38235294117647056,0.020202020202020204,0.46464646464646464,0.5151515151515151
Santiago García,118,106,1,1,12,385,210,134,41,109,36,46,27,0,70,0,4,4,70,1,81,54,0,73,37,52,19,2,52,13,28,11,1,0,0,8,0,0,1,1,0,0,9,0,0.8983050847457628,0.5454545454545454,0.34805194805194806,0.10649350649350649,0.3302752293577982,0.42201834862385323,0.24770642201834864,0.5068493150684932,0.7123287671232876,0.2602739726027397,0.0273972602739726,0.25,0.5384615384615384,0.21153846153846154
Sascha Mölders,1,1,0,0,0,8,2,5,1,3,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.25,0.625,0.125,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.5,0.5
Sascha Riether,58,53,0,0,5,168,92,68,8,33,8,20,5,3,34,0,0,0,34,1,32,8,0,21,11,15,6,0,16,6,10,0,0,0,0,3,0,0,0,0,0,0,3,0,0.9137931034482759,0.5476190476190477,0.40476190476190477,0.047619047619047616,0.24242424242424243,0.6060606060606061,0.15151515151515152,0.5238095238095238,0.7142857142857143,0.2857142857142857,0.0,0.375,0.625,0.0
Sead Kolašinac,77,71,0,0,6,313,153,118,42,104,17,54,33,5,40,1,0,0,40,0,38,15,0,46,22,28,14,4,36,13,11,12,0,1,0,5,0,0,0,0,0,0,5,0,0.922077922077922,0.48881789137380194,0.3769968051118211,0.134185303514377,0.16346153846153846,0.5192307692307693,0.3173076923076923,0.4782608695652174,0.6086956521739131,0.30434782608695654,0.08695652173913043,0.3611111111111111,0.3055555555555556,0.3333333333333333
Sebastian Boenisch,36,32,0,0,4,81,30,37,14,36,1,26,9,0,22,0,1,1,22,0,18,11,0,18,9,7,11,0,8,2,4,2,0,0,0,1,0,1,0,0,0,0,1,1,0.8888888888888888,0.37037037037037035,0.4567901234567901,0.1728395061728395,0.027777777777777776,0.7222222222222222,0.25,0.5,0.3888888888888889,0.6111111111111112,0.0,0.25,0.5,0.25
Sebastian Jung,20,18,0,0,2,105,39,43,23,36,4,17,15,0,12,0,0,0,12,0,15,7,0,14,6,5,6,3,5,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0.9,0.37142857142857144,0.4095238095238095,0.21904761904761905,0.1111111111111111,0.4722222222222222,0.4166666666666667,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.2,0.2,0.6
Sebastian Langkamp,47,44,0,0,3,203,142,58,3,52,21,29,2,3,36,0,2,2,36,0,139,82,0,38,23,30,8,0,17,10,5,2,0,1,0,7,0,0,1,1,0,0,8,0,0.9361702127659575,0.6995073891625616,0.2857142857142857,0.014778325123152709,0.40384615384615385,0.5576923076923077,0.038461538461538464,0.6052631578947368,0.7894736842105263,0.21052631578947367,0.0,0.5882352941176471,0.29411764705882354,0.11764705882352941
Sebastian Rode,24,21,0,0,3,91,16,47,28,36,1,13,22,0,6,0,0,0,6,0,4,3,0,9,8,2,6,1,11,3,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0.875,0.17582417582417584,0.5164835164835165,0.3076923076923077,0.027777777777777776,0.3611111111111111,0.6111111111111112,0.8888888888888888,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.45454545454545453
Sebastian Rudy,114,103,0,0,11,508,145,291,72,205,19,114,72,0,51,2,0,0,51,0,24,10,0,56,36,23,27,6,57,6,42,9,1,0,0,8,0,1,0,0,0,0,8,1,0.9035087719298246,0.2854330708661417,0.5728346456692913,0.14173228346456693,0.09268292682926829,0.5560975609756098,0.35121951219512193,0.6428571428571429,0.4107142857142857,0.48214285714285715,0.10714285714285714,0.10526315789473684,0.7368421052631579,0.15789473684210525
Serdar Taşçı,9,8,0,0,1,22,11,11,0,7,3,4,0,0,4,0,0,0,4,0,2,2,0,3,2,3,0,0,4,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8888888888888888,0.5,0.5,0.0,0.42857142857142855,0.5714285714285714,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0
Sereso Geoffroy Gonzaroua Dié,190,170,0,0,20,415,161,227,27,151,22,109,20,0,33,1,1,1,33,0,29,13,0,60,40,26,32,2,43,9,29,5,1,0,0,8,1,0,1,1,0,0,9,0,0.8947368421052632,0.38795180722891565,0.5469879518072289,0.06506024096385542,0.1456953642384106,0.7218543046357616,0.13245033112582782,0.6666666666666666,0.43333333333333335,0.5333333333333333,0.03333333333333333,0.20930232558139536,0.6744186046511628,0.11627906976744186
Shinji Kagawa,124,113,0,0,11,440,68,222,150,131,12,58,61,1,36,3,2,2,36,0,6,3,0,30,17,8,14,8,27,4,15,8,1,0,0,2,0,0,0,0,0,0,2,0,0.9112903225806451,0.15454545454545454,0.5045454545454545,0.3409090909090909,0.0916030534351145,0.44274809160305345,0.46564885496183206,0.5666666666666667,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.14814814814814814,0.5555555555555556,0.2962962962962963
Sidney Sam,5,5,0,0,0,7,0,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.7142857142857143,0.2857142857142857,,,,,,,,,,
Simon Zoller,48,42,0,0,6,243,45,113,85,55,3,17,35,1,22,0,0,0,22,0,10,8,0,10,6,5,3,2,24,8,12,4,1,1,0,3,0,0,1,1,0,0,4,0,0.875,0.18518518518518517,0.46502057613168724,0.3497942386831276,0.05454545454545454,0.3090909090909091,0.6363636363636364,0.6,0.5,0.3,0.2,0.3333333333333333,0.5,0.16666666666666666
Slobodan Medojević,23,19,0,0,4,132,45,75,12,37,6,23,8,0,15,0,0,0,15,0,7,5,0,12,9,3,8,1,15,5,7,3,0,1,0,1,1,0,0,0,0,0,1,0,0.8260869565217391,0.3409090909090909,0.5681818181818182,0.09090909090909091,0.16216216216216217,0.6216216216216216,0.21621621621621623,0.75,0.25,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.4666666666666667,0.2
