player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Florian Grillitsch,922,19,194,497,231,29,27,12,15,0,0,0,326,16,9,3,2282.1460960009526,202,1601.0939068324742,9,1,31,0,5,11,15,2,93,90,1,922,19,194,497,231,29,27,12,15,0,0,0,326,16,9,3,2282.1460960009526,202,1601.0939068324742,9,1,31,0,5,11,15,2,93,90,1,0.020607375271149676,0.210412147505423,0.5390455531453362,0.25054229934924077,0.031453362255965296,0.967741935483871,0.4444444444444444,7.000448147242186,0.049079754601226995,0.027607361963190184,0.009202453987730062,7.926207459566704,0.0950920245398773
Florian Jungwirth,383,56,219,118,46,9,3,1,2,0,0,0,85,4,2,0,526.0455887916319,50,346.93418315733146,0,0,4,0,3,1,0,0,19,19,0,383,56,219,118,46,9,3,1,2,0,0,0,85,4,2,0,526.0455887916319,50,346.93418315733146,0,0,4,0,3,1,0,0,19,19,0,0.1462140992167102,0.5718015665796344,0.30809399477806787,0.12010443864229765,0.02349869451697128,1.0,0.3333333333333333,6.188771632842728,0.047058823529411764,0.023529411764705882,0.0,6.938683663146629,0.047058823529411764
Florian Klein,456,23,133,172,151,7,12,9,3,0,1,0,137,7,1,0,1030.6376712049914,77,642.4819714645072,3,0,13,0,5,3,5,0,33,31,0,456,23,133,172,151,7,12,9,3,0,1,0,137,7,1,0,1030.6376712049914,77,642.4819714645072,3,0,13,0,5,3,5,0,33,31,0,0.05043859649122807,0.2916666666666667,0.37719298245614036,0.33114035087719296,0.015350877192982455,0.9393939393939394,0.75,7.522902709525485,0.051094890510948905,0.0072992700729927005,0.0,8.343921707331262,0.0948905109489051
Florian Kohls,6,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2.302172886644265,1,2.302172886644265,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2.302172886644265,1,2.302172886644265,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,,,2.302172886644265,0.0,0.0,0.0,2.302172886644265,0.0
Florian Niederlechner,77,3,12,24,41,7,2,0,2,0,1,0,23,0,0,0,121.66958378526847,11,57.56474300437858,0,0,5,0,0,2,3,0,9,7,0,77,3,12,24,41,7,2,0,2,0,1,0,23,0,0,0,121.66958378526847,11,57.56474300437858,0,0,5,0,0,2,3,0,9,7,0,0.03896103896103896,0.15584415584415584,0.3116883116883117,0.5324675324675324,0.09090909090909091,0.7777777777777778,0.0,5.289981903707325,0.0,0.0,0.0,5.233158454943507,0.21739130434782608
Francisco José Rodriguez Araya,5,0,1,1,3,0,0,0,0,0,0,0,2,1,0,0,3.290174244504695,2,3.290174244504695,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,3,0,0,0,0,0,0,0,2,1,0,0,3.290174244504695,2,3.290174244504695,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0.6,0.0,,,1.6450871222523475,0.5,0.0,0.0,1.6450871222523475,0.0
Franck Bilal Ribéry,620,2,45,252,323,37,61,29,32,1,2,0,290,27,15,3,2497.1760010842095,183,2013.7175599745083,7,0,25,0,1,8,16,3,60,58,0,620,2,45,252,323,37,61,29,32,1,2,0,290,27,15,3,2497.1760010842095,183,2013.7175599745083,7,0,25,0,1,8,16,3,60,58,0,0.0032258064516129032,0.07258064516129033,0.4064516129032258,0.5209677419354839,0.05967741935483871,0.9666666666666667,0.47540983606557374,8.610951727876584,0.09310344827586207,0.05172413793103448,0.010344827586206896,11.003921092756876,0.08620689655172414
Franco Matías Di Santo,532,18,46,235,251,56,17,8,9,2,0,0,161,9,5,0,1077.7184482997118,81,720.5389397492244,11,0,24,0,1,6,17,3,85,81,0,532,18,46,235,251,56,17,8,9,2,0,0,161,9,5,0,1077.7184482997118,81,720.5389397492244,11,0,24,0,1,6,17,3,85,81,0,0.03383458646616541,0.08646616541353383,0.4417293233082707,0.4718045112781955,0.10526315789473684,0.9529411764705882,0.47058823529411764,6.693903405588272,0.055900621118012424,0.031055900621118012,0.0,8.895542466039807,0.14906832298136646
Frederik Hillesborg Sørensen,505,116,334,146,25,12,8,5,3,0,0,0,121,1,0,0,806.8640467394512,75,571.9264650442115,0,0,1,0,0,1,0,0,20,19,0,505,116,334,146,25,12,8,5,3,0,0,0,121,1,0,0,806.8640467394512,75,571.9264650442115,0,0,1,0,0,1,0,0,20,19,0,0.2297029702970297,0.6613861386138614,0.2891089108910891,0.04950495049504951,0.023762376237623763,0.95,0.625,6.668297906937613,0.008264462809917356,0.0,0.0,7.625686200589486,0.008264462809917356
Fynn Arkenberg,56,1,16,22,18,2,3,2,1,1,0,0,15,1,1,1,161.5859911515968,10,137.3959800515522,0,0,4,0,0,2,2,0,3,3,0,56,1,16,22,18,2,3,2,1,1,0,0,15,1,1,1,161.5859911515968,10,137.3959800515522,0,0,4,0,0,2,2,0,3,3,0,0.017857142857142856,0.2857142857142857,0.39285714285714285,0.32142857142857145,0.03571428571428571,1.0,0.6666666666666666,10.772399410106454,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.73959800515522,0.26666666666666666
Gaëtan Bussmann,380,28,130,159,91,11,5,4,1,1,0,0,104,5,2,0,484.01042785891815,55,313.30222549419847,3,1,6,1,2,2,2,0,42,39,0,380,28,130,159,91,11,5,4,1,1,0,0,104,5,2,0,484.01042785891815,55,313.30222549419847,3,1,6,1,2,2,2,0,42,39,0,0.07368421052631578,0.34210526315789475,0.41842105263157897,0.2394736842105263,0.02894736842105263,0.9285714285714286,0.8,4.6539464217203665,0.04807692307692308,0.019230769230769232,0.0,5.696404099894518,0.057692307692307696
Genki Haraguchi,1139,17,173,526,440,57,90,54,36,9,4,2,446,35,18,5,3864.8585943045196,292,3172.218779275776,16,2,45,0,5,15,25,5,130,117,0,1139,17,173,526,440,57,90,54,36,9,4,2,446,35,18,5,3864.8585943045196,292,3172.218779275776,16,2,45,0,5,15,25,5,130,117,0,0.014925373134328358,0.15188762071992976,0.4618086040386304,0.3863037752414399,0.05004389815627744,0.9,0.6,8.665602229382332,0.07847533632286996,0.04035874439461883,0.011210762331838564,10.863762942725259,0.10089686098654709
Georg Niedermeier,276,74,186,71,19,15,0,0,0,0,0,0,44,0,0,0,505.4733324531075,23,357.63950967713083,2,2,1,1,1,0,0,0,12,10,0,276,74,186,71,19,15,0,0,0,0,0,0,44,0,0,0,505.4733324531075,23,357.63950967713083,2,2,1,1,1,0,0,0,12,10,0,0.26811594202898553,0.6739130434782609,0.2572463768115942,0.06884057971014493,0.05434782608695652,0.8333333333333334,,11.48803028302517,0.0,0.0,0.0,15.549543899005688,0.022727272727272728
Gian-Luca Waldschmidt,122,2,14,50,58,13,11,4,7,0,0,0,45,3,1,0,295.673759448036,28,249.85106712765705,2,0,6,0,0,2,4,1,16,16,0,122,2,14,50,58,13,11,4,7,0,0,0,45,3,1,0,295.673759448036,28,249.85106712765705,2,0,6,0,0,2,4,1,16,16,0,0.01639344262295082,0.11475409836065574,0.4098360655737705,0.47540983606557374,0.10655737704918032,1.0,0.36363636363636365,6.570527987734133,0.06666666666666667,0.022222222222222223,0.0,8.923252397416324,0.13333333333333333
Gideon Jung,474,24,129,292,53,8,16,9,7,1,0,0,164,1,0,0,729.2344093936175,84,457.0888747658498,0,0,19,0,5,12,2,0,40,40,0,474,24,129,292,53,8,16,9,7,1,0,0,164,1,0,0,729.2344093936175,84,457.0888747658498,0,0,19,0,5,12,2,0,40,40,0,0.05063291139240506,0.2721518987341772,0.6160337552742616,0.11181434599156118,0.016877637130801686,1.0,0.5625,4.446551276790351,0.006097560975609756,0.0,0.0,5.441534223402974,0.11585365853658537
Giulio Donati,712,60,235,310,167,3,27,13,14,0,3,0,217,6,0,0,1270.1632834332213,123,878.2858838073822,7,1,17,0,3,3,11,0,61,60,0,712,60,235,310,167,3,27,13,14,0,3,0,217,6,0,0,1270.1632834332213,123,878.2858838073822,7,1,17,0,3,3,11,0,61,60,0,0.08426966292134831,0.3300561797752809,0.4353932584269663,0.2345505617977528,0.004213483146067416,0.9836065573770492,0.48148148148148145,5.853287020429591,0.027649769585253458,0.0,0.0,7.140535640710424,0.07834101382488479
Gojko Kačar,419,27,119,240,60,13,5,4,1,0,0,0,125,6,1,0,791.4817440657772,70,591.7405966691257,1,0,7,0,1,1,5,2,34,34,0,419,27,119,240,60,13,5,4,1,0,0,0,125,6,1,0,791.4817440657772,70,591.7405966691257,1,0,7,0,1,1,5,2,34,34,0,0.06443914081145585,0.2840095465393795,0.5727923627684964,0.1431980906921241,0.031026252983293555,1.0,0.8,6.331853952526218,0.048,0.008,0.0,8.453437095273225,0.056
Gonzalo Alejandro Jara Reyes,138,9,45,85,8,1,4,2,2,0,0,0,52,0,0,0,246.2048348616816,29,154.57883018137565,0,0,5,0,3,2,0,0,9,8,0,138,9,45,85,8,1,4,2,2,0,0,0,52,0,0,0,246.2048348616816,29,154.57883018137565,0,0,5,0,3,2,0,0,9,8,0,0.06521739130434782,0.32608695652173914,0.6159420289855072,0.057971014492753624,0.007246376811594203,0.8888888888888888,0.5,4.734708362724646,0.0,0.0,0.0,5.330304489012954,0.09615384615384616
Gonzalo Castro Randon,893,1,76,472,345,40,35,16,19,4,3,0,343,22,2,2,2097.728396904446,192,1498.3223311857587,9,2,38,0,2,14,22,5,134,124,0,893,1,76,472,345,40,35,16,19,4,3,0,343,22,2,2,2097.728396904446,192,1498.3223311857587,9,2,38,0,2,14,22,5,134,124,0,0.0011198208286674132,0.0851063829787234,0.528555431131019,0.38633818589025753,0.04479283314669653,0.9253731343283582,0.45714285714285713,6.115826230042117,0.0641399416909621,0.0058309037900874635,0.0058309037900874635,7.803762141592493,0.11078717201166181
Gotoku Sakai,695,50,273,273,149,4,24,16,8,0,4,0,234,10,2,1,1625.4319806745625,127,1103.9179242123614,6,1,24,0,6,7,11,0,50,47,0,695,50,273,273,149,4,24,16,8,0,4,0,234,10,2,1,1625.4319806745625,127,1103.9179242123614,6,1,24,0,6,7,11,0,50,47,0,0.07194244604316546,0.39280575539568346,0.39280575539568346,0.2143884892086331,0.0057553956834532375,0.94,0.6666666666666666,6.946290515703258,0.042735042735042736,0.008547008547008548,0.004273504273504274,8.692267119782374,0.10256410256410256
Granit Xhaka,1418,72,400,897,121,10,38,25,13,4,3,0,549,7,1,0,3086.1185843811027,331,2239.716771538901,2,0,28,0,6,16,6,0,107,105,0,1418,72,400,897,121,10,38,25,13,4,3,0,549,7,1,0,3086.1185843811027,331,2239.716771538901,2,0,28,0,6,16,6,0,107,105,0,0.05077574047954866,0.2820874471086037,0.6325811001410437,0.08533145275035262,0.007052186177715092,0.9813084112149533,0.6578947368421053,5.621345326741535,0.012750455373406194,0.0018214936247723133,0.0,6.766515926099399,0.051001821493624776
Gustavo Adrián Ramos Vásquez,535,11,25,215,295,62,23,16,7,1,1,0,183,7,6,0,1136.4717981956517,84,702.6889934721959,13,2,18,0,0,9,9,1,76,70,0,535,11,25,215,295,62,23,16,7,1,1,0,183,7,6,0,1136.4717981956517,84,702.6889934721959,13,2,18,0,0,9,9,1,76,70,0,0.020560747663551402,0.04672897196261682,0.40186915887850466,0.5514018691588785,0.11588785046728972,0.9210526315789473,0.6956521739130435,6.210228405440719,0.03825136612021858,0.03278688524590164,0.0,8.365345160383285,0.09836065573770492
György Garics,331,80,214,88,29,2,6,5,1,0,0,0,86,1,1,0,664.7513314957432,25,162.10726339752156,1,0,4,0,2,1,1,0,6,5,0,331,80,214,88,29,2,6,5,1,0,0,0,86,1,1,0,664.7513314957432,25,162.10726339752156,1,0,4,0,2,1,1,0,6,5,0,0.24169184290030213,0.6465256797583081,0.26586102719033233,0.08761329305135952,0.006042296072507553,0.8333333333333334,0.8333333333333334,7.72966664529934,0.011627906976744186,0.011627906976744186,0.0,6.484290535900863,0.046511627906976744
Hakan Çalhanoğlu,1243,18,137,585,521,36,54,31,23,2,6,0,493,16,7,0,2786.2527973949113,279,1849.0213802618562,14,2,45,1,5,16,24,3,133,131,0,1243,18,137,585,521,36,54,31,23,2,6,0,493,16,7,0,2786.2527973949113,279,1849.0213802618562,14,2,45,1,5,16,24,3,133,131,0,0.014481094127111826,0.11021721641190668,0.47063555913113436,0.41914722445695896,0.028962188254223652,0.9849624060150376,0.5740740740740741,5.651628392281768,0.032454361054766734,0.014198782961460446,0.0,6.627316775132101,0.09127789046653144
Halil Altıntop,526,11,72,290,164,25,19,11,8,3,4,0,204,8,1,1,1281.4987414466882,111,765.6687019485544,11,0,26,0,2,19,5,0,77,75,0,526,11,72,290,164,25,19,11,8,3,4,0,204,8,1,1,1281.4987414466882,111,765.6687019485544,11,0,26,0,2,19,5,0,77,75,0,0.02091254752851711,0.13688212927756654,0.5513307984790875,0.311787072243346,0.04752851711026616,0.974025974025974,0.5789473684210527,6.281856575719059,0.0392156862745098,0.004901960784313725,0.004901960784313725,6.8979162337707605,0.12745098039215685
Haris Seferović,1259,17,59,552,648,96,27,15,12,0,2,0,398,17,10,5,2687.4532847324685,200,1595.0091817848531,24,5,52,0,0,20,32,2,221,208,0,1259,17,59,552,648,96,27,15,12,0,2,0,398,17,10,5,2687.4532847324685,200,1595.0091817848531,24,5,52,0,0,20,32,2,221,208,0,0.013502779984114376,0.04686258935663225,0.4384432088959492,0.5146942017474185,0.07625099285146943,0.9411764705882353,0.5555555555555556,6.752395187770022,0.04271356783919598,0.02512562814070352,0.01256281407035176,7.975045908924265,0.1306532663316583
Henrikh Mkhitaryan,1739,19,126,788,825,99,136,74,62,9,30,0,703,59,29,4,5243.605163324157,431,4096.240600957613,19,1,65,0,3,21,41,7,238,231,0,1739,19,126,788,825,99,136,74,62,9,30,0,703,59,29,4,5243.605163324157,431,4096.240600957613,19,1,65,0,3,21,41,7,238,231,0,0.010925819436457734,0.07245543415756182,0.45313398504887864,0.4744105807935595,0.056929269695227144,0.9705882352941176,0.5441176470588235,7.458897814116866,0.08392603129445235,0.041251778093883355,0.005689900426742532,9.504038517303048,0.09246088193456614
Heung-Min Son,33,0,6,14,13,7,3,1,2,0,0,0,13,0,1,0,43.77175824588135,10,37.98184463773661,0,0,5,0,2,2,1,1,3,3,0,33,0,6,14,13,7,3,1,2,0,0,0,13,0,1,0,43.77175824588135,10,37.98184463773661,0,0,5,0,2,2,1,1,3,3,0,0.0,0.18181818181818182,0.42424242424242425,0.3939393939393939,0.21212121212121213,1.0,0.3333333333333333,3.3670583266062577,0.0,0.07692307692307693,0.0,3.798184463773661,0.38461538461538464
Hiroki Sakai,768,92,312,283,173,18,19,11,8,1,4,0,208,10,3,0,1817.7173533153834,138,1393.574772599522,9,1,25,0,2,7,16,3,49,46,0,768,92,312,283,173,18,19,11,8,1,4,0,208,10,3,0,1817.7173533153834,138,1393.574772599522,9,1,25,0,2,7,16,3,49,46,0,0.11979166666666667,0.40625,0.3684895833333333,0.22526041666666666,0.0234375,0.9387755102040817,0.5789473684210527,8.73902573709319,0.04807692307692308,0.014423076923076924,0.0,10.09836791738784,0.1201923076923077
Hiroshi Kiyotake,895,6,76,500,319,27,59,43,16,2,4,0,359,24,3,2,2159.5377913738894,218,1568.8677667107495,16,0,48,0,4,19,25,4,135,128,0,895,6,76,500,319,27,59,43,16,2,4,0,359,24,3,2,2159.5377913738894,218,1568.8677667107495,16,0,48,0,4,19,25,4,135,128,0,0.0067039106145251395,0.08491620111731843,0.5586592178770949,0.3564245810055866,0.030167597765363128,0.9481481481481482,0.7288135593220338,6.015425602712784,0.06685236768802229,0.008356545961002786,0.005571030640668524,7.1966411317006855,0.13370473537604458
Holger Badstuber,140,19,61,71,8,2,0,0,0,0,0,0,46,0,0,0,248.647974683635,23,180.33911122774617,1,0,2,0,0,2,0,0,5,5,0,140,19,61,71,8,2,0,0,0,0,0,0,46,0,0,0,248.647974683635,23,180.33911122774617,1,0,2,0,0,2,0,0,5,5,0,0.1357142857142857,0.4357142857142857,0.5071428571428571,0.05714285714285714,0.014285714285714285,1.0,,5.405390753992065,0.0,0.0,0.0,7.840830922945486,0.043478260869565216
Hotaru Yamaguchi,121,9,44,67,10,0,1,0,1,0,0,0,30,1,0,0,100.56015339050545,17,67.70908506931542,0,0,2,0,1,1,0,0,18,18,0,121,9,44,67,10,0,1,0,1,0,0,0,30,1,0,0,100.56015339050545,17,67.70908506931542,0,0,2,0,1,1,0,0,18,18,0,0.0743801652892562,0.36363636363636365,0.5537190082644629,0.08264462809917356,0.0,1.0,0.0,3.3520051130168484,0.03333333333333333,0.0,0.0,3.982887357018554,0.06666666666666667
Hugo Miguel Pereira de Almeida,190,9,14,67,109,25,4,3,1,1,0,0,43,1,1,0,226.67891711584582,22,136.25974514751238,5,2,4,0,0,0,4,0,25,22,0,190,9,14,67,109,25,4,3,1,1,0,0,43,1,1,0,226.67891711584582,22,136.25974514751238,5,2,4,0,0,0,4,0,25,22,0,0.04736842105263158,0.07368421052631578,0.3526315789473684,0.5736842105263158,0.13157894736842105,0.88,0.75,5.271602723624321,0.023255813953488372,0.023255813953488372,0.0,6.193624779432381,0.09302325581395349
Håvard Nordtveit,828,94,332,416,80,13,9,6,3,0,1,0,251,7,2,0,1748.8706633703391,162,1320.549208975346,3,0,12,0,2,9,1,1,43,41,0,828,94,332,416,80,13,9,6,3,0,1,0,251,7,2,0,1748.8706633703391,162,1320.549208975346,3,0,12,0,2,9,1,1,43,41,0,0.11352657004830918,0.40096618357487923,0.5024154589371981,0.0966183574879227,0.01570048309178744,0.9534883720930233,0.6666666666666666,6.967612204662705,0.027888446215139442,0.00796812749003984,0.0,8.151538327008309,0.04780876494023904
Ibrahima Traoré,955,8,121,470,364,44,94,60,34,7,8,0,430,26,10,3,3347.3698274525004,281,2708.595194887722,9,0,35,0,3,15,17,2,106,99,0,955,8,121,470,364,44,94,60,34,7,8,0,430,26,10,3,3347.3698274525004,281,2708.595194887722,9,0,35,0,3,15,17,2,106,99,0,0.008376963350785341,0.12670157068062826,0.49214659685863876,0.381151832460733,0.04607329842931937,0.9339622641509434,0.6382978723404256,7.784580994075583,0.06046511627906977,0.023255813953488372,0.0069767441860465115,9.639128807429616,0.08139534883720931
Ismail Azzaoui,15,0,1,8,6,2,1,1,0,0,0,0,7,0,1,0,98.23544430701729,4,73.25660752202091,1,0,0,0,0,0,0,0,1,1,0,15,0,1,8,6,2,1,1,0,0,0,0,7,0,1,0,98.23544430701729,4,73.25660752202091,1,0,0,0,0,0,0,0,1,1,0,0.0,0.06666666666666667,0.5333333333333333,0.4,0.13333333333333333,1.0,1.0,14.03363490100247,0.0,0.14285714285714285,0.0,18.31415188050523,0.0
Ivan Perišić,58,2,6,30,22,4,2,1,1,0,1,0,29,2,2,1,209.60631641314873,18,180.02710373031533,1,0,2,0,0,0,2,1,5,5,0,58,2,6,30,22,4,2,1,1,0,1,0,29,2,2,1,209.60631641314873,18,180.02710373031533,1,0,2,0,0,0,2,1,5,5,0,0.034482758620689655,0.10344827586206896,0.5172413793103449,0.3793103448275862,0.06896551724137931,1.0,0.5,7.227804014246508,0.06896551724137931,0.06896551724137931,0.034482758620689655,10.001505762795297,0.06896551724137931
Iver Tobias Rørvik Fossum,352,9,44,177,131,8,13,7,6,0,3,0,122,7,3,0,752.160764189437,74,574.6697141481826,5,0,12,0,1,6,5,1,50,48,0,352,9,44,177,131,8,13,7,6,0,3,0,122,7,3,0,752.160764189437,74,574.6697141481826,5,0,12,0,1,6,5,1,50,48,0,0.02556818181818182,0.125,0.5028409090909091,0.3721590909090909,0.022727272727272728,0.96,0.5384615384615384,6.165252165487189,0.05737704918032787,0.02459016393442623,0.0,7.7658069479484135,0.09836065573770492
Ivica Olić,59,2,9,14,36,9,1,1,0,0,0,0,15,0,1,0,88.01041999235022,10,66.99127298118881,1,1,0,0,0,0,0,0,10,10,0,59,2,9,14,36,9,1,1,0,0,0,0,15,0,1,0,88.01041999235022,10,66.99127298118881,1,1,0,0,0,0,0,0,10,10,0,0.03389830508474576,0.15254237288135594,0.23728813559322035,0.6101694915254238,0.15254237288135594,1.0,1.0,5.867361332823348,0.0,0.06666666666666667,0.0,6.699127298118881,0.0
Ivo Iličević,1076,8,167,578,331,38,69,44,25,6,3,0,422,23,12,2,3555.921351872331,224,2429.948115585516,12,4,43,0,3,20,20,1,113,101,0,1076,8,167,578,331,38,69,44,25,6,3,0,422,23,12,2,3555.921351872331,224,2429.948115585516,12,4,43,0,3,20,20,1,113,101,0,0.007434944237918215,0.15520446096654275,0.5371747211895911,0.3076208178438662,0.03531598513011153,0.8938053097345132,0.6376811594202898,8.42635391438941,0.054502369668246446,0.02843601895734597,0.004739336492890996,10.847982658863911,0.1018957345971564
Ja-Cheol Koo,1094,25,182,606,306,56,41,28,13,1,5,0,399,14,5,1,2393.3841044050228,215,1559.5393166396461,13,3,43,0,8,23,12,2,130,125,0,1094,25,182,606,306,56,41,28,13,1,5,0,399,14,5,1,2393.3841044050228,215,1559.5393166396461,13,3,43,0,8,23,12,2,130,125,0,0.022851919561243144,0.1663619744058501,0.5539305301645339,0.2797074954296161,0.051188299817184646,0.9615384615384616,0.6829268292682927,5.9984564020176006,0.03508771929824561,0.012531328320802004,0.002506265664160401,7.253671240184401,0.10776942355889724
Jairo Samperio Bustara,1451,8,200,664,587,69,106,44,62,5,12,0,562,33,23,4,3808.1718299388426,383,3144.4129926730275,39,4,101,0,6,48,47,7,204,195,0,1451,8,200,664,587,69,106,44,62,5,12,0,562,33,23,4,3808.1718299388426,383,3144.4129926730275,39,4,101,0,6,48,47,7,204,195,0,0.005513439007580979,0.13783597518952448,0.45761543762922124,0.4045485871812543,0.04755341144038594,0.9558823529411765,0.41509433962264153,6.776106458965912,0.05871886120996441,0.04092526690391459,0.0071174377224199285,8.209955594446546,0.1797153024911032
Jan Kliment,92,1,2,17,73,10,5,2,3,1,0,0,26,1,1,0,159.26628956050166,17,111.93335564770737,4,2,6,0,0,0,6,1,13,13,0,92,1,2,17,73,10,5,2,3,1,0,0,26,1,1,0,159.26628956050166,17,111.93335564770737,4,2,6,0,0,0,6,1,13,13,0,0.010869565217391304,0.021739130434782608,0.18478260869565216,0.7934782608695652,0.10869565217391304,1.0,0.4,6.1256265215577566,0.038461538461538464,0.038461538461538464,0.0,6.584315038100434,0.23076923076923078
Jan Morávek,165,1,22,75,68,15,5,2,3,0,1,0,48,0,0,0,250.8769050471508,27,157.54005054965515,2,1,9,0,1,5,3,0,21,18,0,165,1,22,75,68,15,5,2,3,0,1,0,48,0,0,0,250.8769050471508,27,157.54005054965515,2,1,9,0,1,5,3,0,21,18,0,0.006060606060606061,0.13333333333333333,0.45454545454545453,0.4121212121212121,0.09090909090909091,0.8571428571428571,0.4,5.226602188482309,0.0,0.0,0.0,5.834816687024265,0.1875
Jan Rosenthal,600,16,79,254,267,41,22,13,9,2,1,0,164,6,1,0,886.0371304895829,91,629.4186612700307,15,4,16,0,2,6,8,1,69,66,0,600,16,79,254,267,41,22,13,9,2,1,0,164,6,1,0,886.0371304895829,91,629.4186612700307,15,4,16,0,2,6,8,1,69,66,0,0.02666666666666667,0.13166666666666665,0.42333333333333334,0.445,0.06833333333333333,0.9565217391304348,0.5909090909090909,5.40266542981453,0.036585365853658534,0.006097560975609756,0.0,6.916688585384953,0.0975609756097561
Jan-Ingwer Callsen-Bracker,186,53,126,51,9,2,0,0,0,0,0,0,34,0,0,0,196.4843572311262,19,116.1005819778996,0,0,0,0,0,0,0,0,7,7,0,186,53,126,51,9,2,0,0,0,0,0,0,34,0,0,0,196.4843572311262,19,116.1005819778996,0,0,0,0,0,0,0,0,7,7,0,0.2849462365591398,0.6774193548387096,0.27419354838709675,0.04838709677419355,0.010752688172043012,1.0,,5.778951683268418,0.0,0.0,0.0,6.110556946205242,0.0
Janek Sternberg,161,10,51,69,41,3,7,6,1,1,1,0,59,6,1,0,503.4668493360805,41,364.7946377608528,0,0,2,0,0,1,1,0,9,8,0,161,10,51,69,41,3,7,6,1,1,1,0,59,6,1,0,503.4668493360805,41,364.7946377608528,0,0,2,0,0,1,1,0,9,8,0,0.062111801242236024,0.3167701863354037,0.42857142857142855,0.2546583850931677,0.018633540372670808,0.8888888888888888,0.8571428571428571,8.533336429425093,0.1016949152542373,0.01694915254237288,0.0,8.897430189289093,0.03389830508474576
Jannik Vestergaard,992,174,497,403,92,59,15,11,4,0,0,0,248,7,0,0,2261.7829460608264,172,1756.5973443072833,5,3,10,0,5,3,2,0,24,24,0,992,174,497,403,92,59,15,11,4,0,0,0,248,7,0,0,2261.7829460608264,172,1756.5973443072833,5,3,10,0,5,3,2,0,24,24,0,0.17540322580645162,0.501008064516129,0.40625,0.09274193548387097,0.059475806451612906,1.0,0.7333333333333333,9.120092524438816,0.028225806451612902,0.0,0.0,10.212775257600484,0.04032258064516129
Jaroslav Drobný,58,51,58,0,0,0,2,2,0,0,0,0,24,0,0,0,136.71412180466655,19,111.53499805388354,0,0,0,0,0,0,0,0,9,9,0,58,51,58,0,0,0,2,2,0,0,0,0,24,0,0,0,136.71412180466655,19,111.53499805388354,0,0,0,0,0,0,0,0,9,9,0,0.8793103448275862,1.0,0.0,0.0,0.0,1.0,1.0,5.696421741861106,0.0,0.0,0.0,5.870263055467555,0.0
Javier Hernández Balcázar,847,9,35,441,371,99,45,22,23,3,4,0,286,18,8,3,1685.996083017522,181,1254.9637421535372,18,5,37,0,0,17,20,3,132,125,0,847,9,35,441,371,99,45,22,23,3,4,0,286,18,8,3,1685.996083017522,181,1254.9637421535372,18,5,37,0,0,17,20,3,132,125,0,0.010625737898465172,0.04132231404958678,0.5206611570247934,0.4380165289256198,0.11688311688311688,0.946969696969697,0.4888888888888889,5.895091199361965,0.06293706293706294,0.027972027972027972,0.01048951048951049,6.933501337864846,0.12937062937062938
Javier Martínez Aginaga,374,38,153,182,39,14,2,0,2,0,1,0,118,3,0,0,881.9026293697369,79,727.6577751027452,1,1,7,1,1,4,2,0,19,19,0,374,38,153,182,39,14,2,0,2,0,1,0,118,3,0,0,881.9026293697369,79,727.6577751027452,1,1,7,1,1,4,2,0,19,19,0,0.10160427807486631,0.4090909090909091,0.48663101604278075,0.10427807486631016,0.0374331550802139,1.0,0.0,7.473751096353703,0.025423728813559324,0.0,0.0,9.210857912692976,0.059322033898305086
