player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Alexander Baumjohann,411,0,45,164,202,14,23,14,9,3,2,0,178,7,1,1,1411.21410154884,122,1159.8188492815227,9,0,34,0,1,16,17,0,58,57,0,411,0,45,164,202,14,23,14,9,3,2,0,178,7,1,1,1411.21410154884,122,1159.8188492815227,9,0,34,0,1,16,17,0,58,57,0,0.0,0.10948905109489052,0.39902676399026765,0.49148418491484186,0.0340632603406326,0.9827586206896551,0.6086956521739131,7.928169109824944,0.03932584269662921,0.0056179775280898875,0.0056179775280898875,9.506711879356743,0.19101123595505617
Alexander Esswein,789,10,117,334,338,35,58,30,28,1,3,0,289,30,12,0,2982.321538614611,185,2394.5825770774672,15,0,20,0,3,7,10,2,91,85,0,789,10,117,334,338,35,58,30,28,1,3,0,289,30,12,0,2982.321538614611,185,2394.5825770774672,15,0,20,0,3,7,10,2,91,85,0,0.012674271229404309,0.1482889733840304,0.4233206590621039,0.42839036755386567,0.044359949302915085,0.9340659340659341,0.5172413793103449,10.319451690707997,0.10380622837370242,0.04152249134948097,0.0,12.943689605824147,0.06920415224913495
Alexander Hack,165,33,110,54,1,1,7,6,1,0,1,0,40,1,0,0,361.1308489671127,32,316.8942365357974,1,0,3,0,1,2,0,0,3,3,0,165,33,110,54,1,1,7,6,1,0,1,0,40,1,0,0,361.1308489671127,32,316.8942365357974,1,0,3,0,1,2,0,0,3,3,0,0.2,0.6666666666666666,0.32727272727272727,0.006060606060606061,0.006060606060606061,1.0,0.8571428571428571,9.028271224177818,0.025,0.0,0.0,9.902944891743669,0.075
Alexander Manninger,6,5,5,0,1,1,0,0,0,0,0,0,2,0,0,0,6.549411027983781,1,3.195309061734092,0,0,0,0,0,0,0,0,1,1,0,6,5,5,0,1,1,0,0,0,0,0,0,2,0,0,0,6.549411027983781,1,3.195309061734092,0,0,0,0,0,0,0,0,1,1,0,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,1.0,,3.2747055139918904,0.0,0.0,0.0,3.195309061734092,0.0
Alexander Meier,507,33,65,268,174,62,12,7,5,1,2,0,102,5,2,0,580.0898872357461,46,354.6063261068643,8,3,14,0,2,6,6,3,70,67,0,507,33,65,268,174,62,12,7,5,1,2,0,102,5,2,0,580.0898872357461,46,354.6063261068643,8,3,14,0,2,6,6,3,70,67,0,0.0650887573964497,0.1282051282051282,0.5285996055226825,0.3431952662721893,0.1222879684418146,0.9571428571428572,0.5833333333333334,5.687155757213198,0.049019607843137254,0.0196078431372549,0.0,7.708833176236181,0.13725490196078433
Alexander Milosevic,177,33,93,70,14,11,0,0,0,0,0,0,16,0,0,0,98.20624490262172,9,73.89493680852031,0,0,0,0,0,0,0,0,6,6,0,177,33,93,70,14,11,0,0,0,0,0,0,16,0,0,0,98.20624490262172,9,73.89493680852031,0,0,0,0,0,0,0,0,6,6,0,0.1864406779661017,0.5254237288135594,0.3954802259887006,0.07909604519774012,0.062146892655367235,1.0,,6.1378903064138575,0.0,0.0,0.0,8.210548534280035,0.0
Alexandru Iulian Maxim,625,6,88,285,252,23,30,17,13,1,7,0,255,19,6,0,1677.0170093473544,144,1217.6773489572838,8,1,23,1,5,9,9,0,80,76,0,625,6,88,285,252,23,30,17,13,1,7,0,255,19,6,0,1677.0170093473544,144,1217.6773489572838,8,1,23,1,5,9,9,0,80,76,0,0.0096,0.1408,0.456,0.4032,0.0368,0.95,0.5666666666666667,6.576537291558252,0.07450980392156863,0.023529411764705882,0.0,8.456092701092249,0.09019607843137255
Alfredo Morales,733,22,122,317,294,46,42,21,21,3,4,0,224,14,4,0,1424.6770570390668,139,1047.9556508393018,14,1,32,0,4,11,17,1,74,72,0,733,22,122,317,294,46,42,21,21,3,4,0,224,14,4,0,1424.6770570390668,139,1047.9556508393018,14,1,32,0,4,11,17,1,74,72,0,0.030013642564802184,0.1664392905866303,0.4324693042291951,0.40109140518417463,0.06275579809004093,0.972972972972973,0.5,6.36016543321012,0.0625,0.017857142857142856,0.0,7.539249286613682,0.14285714285714285
Alfreð Finnbogason,479,12,35,207,237,58,23,11,12,1,1,0,155,9,1,1,812.4786278391389,77,489.2455076861294,13,2,26,0,0,8,18,4,75,72,0,479,12,35,207,237,58,23,11,12,1,1,0,155,9,1,1,812.4786278391389,77,489.2455076861294,13,2,26,0,0,8,18,4,75,72,0,0.025052192066805846,0.07306889352818371,0.4321503131524008,0.49478079331941544,0.12108559498956159,0.96,0.4782608695652174,5.2417975989621866,0.05806451612903226,0.0064516129032258064,0.0064516129032258064,6.353837762157524,0.16774193548387098
Allan Saint-Maximin,274,2,24,148,102,4,30,18,12,4,2,0,121,11,3,0,931.7456511345082,83,762.0632657882918,6,0,14,0,0,6,8,0,34,33,0,274,2,24,148,102,4,30,18,12,4,2,0,121,11,3,0,931.7456511345082,83,762.0632657882918,6,0,14,0,0,6,8,0,34,33,0,0.0072992700729927005,0.08759124087591241,0.5401459854014599,0.3722627737226277,0.014598540145985401,0.9705882352941176,0.6,7.700377282103373,0.09090909090909091,0.024793388429752067,0.0,9.18148512997942,0.11570247933884298
Almog Cohen,315,10,66,158,91,7,6,3,3,0,1,0,90,1,2,1,492.2845526896374,40,268.18407331716634,3,0,8,0,0,3,5,1,24,23,0,315,10,66,158,91,7,6,3,3,0,1,0,90,1,2,1,492.2845526896374,40,268.18407331716634,3,0,8,0,0,3,5,1,24,23,0,0.031746031746031744,0.20952380952380953,0.5015873015873016,0.28888888888888886,0.022222222222222223,0.9583333333333334,0.5,5.469828363218193,0.011111111111111112,0.022222222222222223,0.011111111111111112,6.704601832929159,0.08888888888888889
Andre Hoffmann,227,22,98,103,26,3,5,3,2,1,0,0,73,1,0,0,380.0772388012308,44,263.73807864958184,1,0,4,0,0,2,2,0,22,22,0,227,22,98,103,26,3,5,3,2,1,0,0,73,1,0,0,380.0772388012308,44,263.73807864958184,1,0,4,0,0,2,2,0,22,22,0,0.09691629955947137,0.43171806167400884,0.45374449339207046,0.1145374449339207,0.013215859030837005,1.0,0.6,5.20653751782508,0.0136986301369863,0.0,0.0,5.9940472420359505,0.0547945205479452
Andreas Christensen,744,123,425,296,23,10,7,6,1,2,1,0,199,6,0,0,1688.5220487033796,111,1149.4717007661445,2,0,3,0,0,3,0,0,17,14,0,744,123,425,296,23,10,7,6,1,2,1,0,199,6,0,0,1688.5220487033796,111,1149.4717007661445,2,0,3,0,0,3,0,0,17,14,0,0.16532258064516128,0.571236559139785,0.3978494623655914,0.030913978494623656,0.013440860215053764,0.8235294117647058,0.8571428571428571,8.485035420619997,0.03015075376884422,0.0,0.0,10.355600907803105,0.01507537688442211
Andreas Hirzel,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6403124237432846,1,0.6403124237432846,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6403124237432846,1,0.6403124237432846,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,,,0.6403124237432846,0.0,0.0,0.0,0.6403124237432846,0.0
Andrej Kramarić,481,1,30,203,248,40,32,26,6,0,1,0,213,13,17,4,1783.1962956110076,123,1318.4096401945342,7,0,33,0,4,10,19,1,67,66,0,481,1,30,203,248,40,32,26,6,0,1,0,213,13,17,4,1783.1962956110076,123,1318.4096401945342,7,0,33,0,4,10,19,1,67,66,0,0.002079002079002079,0.062370062370062374,0.42203742203742206,0.5155925155925156,0.08316008316008316,0.9850746268656716,0.8125,8.371813594417876,0.06103286384976526,0.07981220657276995,0.018779342723004695,10.718777562557188,0.15492957746478872
André Hahn,374,5,26,155,193,40,12,3,9,2,1,0,114,6,8,3,848.2607444233756,54,488.7815166992787,6,1,20,0,0,4,16,4,46,41,0,374,5,26,155,193,40,12,3,9,2,1,0,114,6,8,3,848.2607444233756,54,488.7815166992787,6,1,20,0,0,4,16,4,46,41,0,0.013368983957219251,0.06951871657754011,0.4144385026737968,0.516042780748663,0.10695187165775401,0.8913043478260869,0.25,7.440883723012067,0.05263157894736842,0.07017543859649122,0.02631578947368421,9.05150956850516,0.17543859649122806
André Ramalho Silva,340,39,177,143,20,16,5,5,0,0,0,0,86,1,0,0,654.238858071773,46,389.9191871571314,2,0,5,1,3,2,0,0,8,8,0,340,39,177,143,20,16,5,5,0,0,0,0,86,1,0,0,654.238858071773,46,389.9191871571314,2,0,5,1,3,2,0,0,8,8,0,0.11470588235294117,0.5205882352941177,0.42058823529411765,0.058823529411764705,0.047058823529411764,1.0,1.0,7.607428582229919,0.011627906976744186,0.0,0.0,8.476504068633291,0.05813953488372093
André Schürrle,910,6,79,454,377,59,74,34,40,4,5,0,389,22,17,3,2960.5430102324176,216,2027.8187177389318,7,2,44,0,2,17,25,4,103,98,0,910,6,79,454,377,59,74,34,40,4,5,0,389,22,17,3,2960.5430102324176,216,2027.8187177389318,7,2,44,0,2,17,25,4,103,98,0,0.006593406593406593,0.08681318681318681,0.4989010989010989,0.4142857142857143,0.06483516483516484,0.9514563106796117,0.4594594594594595,7.610650411908528,0.056555269922879174,0.043701799485861184,0.007712082262210797,9.388049619161722,0.11311053984575835
Anthony Modeste,1202,42,76,649,477,142,40,13,27,3,2,0,280,15,17,8,1547.27346754167,166,1128.9761012054155,41,11,38,0,1,20,17,6,195,191,0,1202,42,76,649,477,142,40,13,27,3,2,0,280,15,17,8,1547.27346754167,166,1128.9761012054155,41,11,38,0,1,20,17,6,195,191,0,0.03494176372712146,0.0632279534109817,0.5399334442595674,0.3968386023294509,0.11813643926788686,0.9794871794871794,0.325,5.525976669791679,0.05357142857142857,0.060714285714285714,0.02857142857142857,6.801060850635033,0.1357142857142857
Anthony Ujah,1069,52,90,493,486,194,32,16,16,5,1,0,281,14,5,3,1564.3513012420603,153,961.3220085862388,27,6,42,0,1,14,27,9,142,136,0,1069,52,90,493,486,194,32,16,16,5,1,0,281,14,5,3,1564.3513012420603,153,961.3220085862388,27,6,42,0,1,14,27,9,142,136,0,0.04864359214218896,0.08419083255378859,0.46117867165575305,0.4546304957904584,0.1814780168381665,0.9577464788732394,0.5,5.567086481288471,0.0498220640569395,0.017793594306049824,0.010676156583629894,6.283150382916594,0.1494661921708185
Arianit Ferati,51,1,9,31,11,1,4,2,2,1,1,0,21,0,1,0,91.34291824286808,13,73.72321657470714,0,0,1,0,0,1,0,0,7,7,0,51,1,9,31,11,1,4,2,2,1,1,0,21,0,1,0,91.34291824286808,13,73.72321657470714,0,0,1,0,0,1,0,0,7,7,0,0.0196078431372549,0.17647058823529413,0.6078431372549019,0.21568627450980393,0.0196078431372549,1.0,0.5,4.349662773469909,0.0,0.047619047619047616,0.0,5.671016659592857,0.047619047619047616
Arjen Robben,559,0,16,194,349,65,34,19,15,1,1,0,259,30,19,3,2543.1177611185008,175,2119.1965044928243,11,0,24,0,0,6,18,3,57,53,0,559,0,16,194,349,65,34,19,15,1,1,0,259,30,19,3,2543.1177611185008,175,2119.1965044928243,11,0,24,0,0,6,18,3,57,53,0,0.0,0.028622540250447227,0.3470483005366726,0.6243291592128801,0.11627906976744186,0.9298245614035088,0.5588235294117647,9.818987494666025,0.11583011583011583,0.07335907335907337,0.011583011583011582,12.109694311387567,0.09266409266409266
Aron Jóhannsson,112,1,6,45,61,13,7,3,4,3,0,0,41,3,3,1,281.6301333004257,23,176.9319215922066,0,0,4,0,0,1,3,1,14,13,0,112,1,6,45,61,13,7,3,4,3,0,0,41,3,3,1,281.6301333004257,23,176.9319215922066,0,0,4,0,0,1,3,1,14,13,0,0.008928571428571428,0.05357142857142857,0.4017857142857143,0.5446428571428571,0.11607142857142858,0.9285714285714286,0.42857142857142855,6.869027641473798,0.07317073170731707,0.07317073170731707,0.024390243902439025,7.692692243139418,0.0975609756097561
Artem Kravets,306,6,10,125,171,28,11,6,5,2,1,0,89,4,10,3,496.305683685722,55,352.2116274704208,6,2,18,0,0,6,12,0,45,42,0,306,6,10,125,171,28,11,6,5,2,1,0,89,4,10,3,496.305683685722,55,352.2116274704208,6,2,18,0,0,6,12,0,45,42,0,0.0196078431372549,0.032679738562091505,0.4084967320261438,0.5588235294117647,0.0915032679738562,0.9333333333333333,0.5454545454545454,5.576468356019348,0.0449438202247191,0.11235955056179775,0.033707865168539325,6.4038477721894695,0.20224719101123595
Artoms Rudņevs,288,10,17,128,143,18,10,3,7,1,1,0,75,5,4,2,544.3008464643473,57,457.9672135149662,11,3,14,0,0,4,10,2,32,31,0,288,10,17,128,143,18,10,3,7,1,1,0,75,5,4,2,544.3008464643473,57,457.9672135149662,11,3,14,0,0,4,10,2,32,31,0,0.034722222222222224,0.059027777777777776,0.4444444444444444,0.4965277777777778,0.0625,0.96875,0.3,7.2573446195246305,0.06666666666666667,0.05333333333333334,0.02666666666666667,8.034512517806425,0.18666666666666668
Artur Sobiech,725,9,43,375,307,78,10,7,3,0,0,0,213,6,8,2,1019.4500327446092,118,713.9206997072829,24,6,31,0,2,13,16,2,106,103,0,725,9,43,375,307,78,10,7,3,0,0,0,213,6,8,2,1019.4500327446092,118,713.9206997072829,24,6,31,0,2,13,16,2,106,103,0,0.012413793103448275,0.05931034482758621,0.5172413793103449,0.42344827586206896,0.10758620689655173,0.9716981132075472,0.7,4.786150388472343,0.028169014084507043,0.03755868544600939,0.009389671361502348,6.05017542124816,0.14553990610328638
Arturo Erasmo Vidal Pardo,1099,26,223,572,304,45,15,9,6,0,0,0,386,8,1,1,1522.850781035465,193,841.8745203530827,5,0,20,0,4,9,7,0,119,115,0,1099,26,223,572,304,45,15,9,6,0,0,0,386,8,1,1,1522.850781035465,193,841.8745203530827,5,0,20,0,4,9,7,0,119,115,0,0.023657870791628753,0.20291173794358508,0.5204731574158326,0.27661510464058237,0.04094631483166515,0.9663865546218487,0.6,3.9452092772939507,0.02072538860103627,0.0025906735751295338,0.0025906735751295338,4.362044146907165,0.05181347150259067
Assani Lukimya-Mulongoti,308,44,159,112,37,25,1,0,1,0,1,0,67,0,1,1,555.3755462446406,42,400.87006290142324,0,0,9,0,4,1,4,3,10,10,0,308,44,159,112,37,25,1,0,1,0,1,0,67,0,1,1,555.3755462446406,42,400.87006290142324,0,0,9,0,4,1,4,3,10,10,0,0.14285714285714285,0.5162337662337663,0.36363636363636365,0.12012987012987013,0.08116883116883117,1.0,0.0,8.289187257382697,0.0,0.014925373134328358,0.014925373134328358,9.544525307176745,0.13432835820895522
