ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
181,173,0,0,8,264,178,77,9,116,50,58,8,68,0,3,3,68,3,167,90,41,47,27,33,14,0,53,14,26,13,0,1,0,3,0,0,0,0,0,0,3,0,0.9558011049723757,0.6742424242424242,0.2916666666666667,0.03409090909090909,0.43103448275862066,0.5,0.06896551724137931,0.574468085106383,0.7021276595744681,0.2978723404255319,0.0,0.2641509433962264,0.49056603773584906,0.24528301886792453
84,74,0,0,10,389,40,219,130,148,3,74,71,35,0,1,1,35,0,22,20,7,31,24,5,19,7,48,0,27,21,2,0,1,1,0,0,0,0,0,0,1,0,0.8809523809523809,0.10282776349614396,0.5629820051413882,0.3341902313624679,0.02027027027027027,0.5,0.4797297297297297,0.7741935483870968,0.16129032258064516,0.6129032258064516,0.22580645161290322,0.0,0.5625,0.4375
30,26,1,1,4,306,48,133,125,80,2,23,55,13,1,1,1,13,0,4,3,1,12,6,5,5,2,21,0,11,10,0,0,1,2,0,0,0,0,0,0,2,0,0.8666666666666667,0.1568627450980392,0.434640522875817,0.4084967320261438,0.025,0.2875,0.6875,0.5,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,0.5238095238095238,0.47619047619047616
76,70,0,0,6,246,71,157,18,105,18,68,19,37,0,2,2,37,0,19,9,15,24,14,7,15,2,26,4,18,4,0,0,0,2,0,0,0,0,0,0,2,0,0.9210526315789473,0.2886178861788618,0.6382113821138211,0.07317073170731707,0.17142857142857143,0.6476190476190476,0.18095238095238095,0.5833333333333334,0.2916666666666667,0.625,0.08333333333333333,0.15384615384615385,0.6923076923076923,0.15384615384615385
0,0,0,0,0,32,7,15,10,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.21875,0.46875,0.3125,0.0,0.25,0.75,,,,,0.6666666666666666,0.0,0.3333333333333333
39,37,0,0,2,156,62,53,41,49,3,17,29,22,0,0,0,22,0,3,2,1,9,6,5,1,3,13,1,5,7,0,0,0,1,0,0,0,0,0,0,1,0,0.9487179487179487,0.3974358974358974,0.33974358974358976,0.26282051282051283,0.061224489795918366,0.3469387755102041,0.5918367346938775,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.07692307692307693,0.38461538461538464,0.5384615384615384
21,19,0,0,2,76,19,49,8,33,2,17,14,5,0,0,0,5,0,5,2,2,7,3,2,3,2,7,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0.9047619047619048,0.25,0.6447368421052632,0.10526315789473684,0.06060606060606061,0.5151515151515151,0.42424242424242425,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.42857142857142855,0.5714285714285714
83,79,0,0,4,174,87,70,17,56,11,36,9,34,0,1,1,34,0,69,33,11,33,14,21,11,1,13,3,9,1,0,0,0,1,0,0,0,0,0,0,1,0,0.9518072289156626,0.5,0.40229885057471265,0.09770114942528736,0.19642857142857142,0.6428571428571429,0.16071428571428573,0.42424242424242425,0.6363636363636364,0.3333333333333333,0.030303030303030304,0.23076923076923078,0.6923076923076923,0.07692307692307693
36,33,0,0,3,316,28,181,107,111,3,48,60,23,2,0,0,23,0,14,10,5,11,5,2,5,4,36,4,15,17,4,0,0,3,0,0,0,0,0,0,3,0,0.9166666666666666,0.08860759493670886,0.5727848101265823,0.33860759493670883,0.02702702702702703,0.43243243243243246,0.5405405405405406,0.45454545454545453,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.1111111111111111,0.4166666666666667,0.4722222222222222
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,
