index,UMAP 1,UMAP 2,new_position,role,position_level_1
41385.0,4.539592,18.235651,Goalkeeper,Goalkeeper,Goalkeeper
10461.0,1.9719417,3.206129,Forward,Left Wing,Winger
3103.0,12.444542,5.2684946,Defender,Right Center Back,Regular Defender
7207.0,4.144027,0.41088197,Midfielder,Right Center Midfield,Central Midfielder
4464.0,3.9086652,4.8284507,Forward,Left Wing,Winger
22130.0,3.4111238,18.200953,Goalkeeper,Goalkeeper,Goalkeeper
41041.0,0.07315175,8.609192,Defender,Right Center Back,Regular Defender
4469.0,6.8327284,3.5091555,Midfielder,Center Defensive Midfield,Defensive Midfielder
3682.0,4.952392,1.0282285,Midfielder,Left Wing,Winger
34565.0,3.168328,0.76916426,Forward,Left Attacking Midfield,Offensive Midfielder
401480.0,0.56289214,7.007102,Midfielder,Left Midfield,Central Midfielder
28357.0,5.377391,19.459978,Goalkeeper,Goalkeeper,Goalkeeper
24469.0,5.0762386,18.824867,Goalkeeper,Goalkeeper,Goalkeeper
4473.0,1.8841444,3.2499404,Midfielder,Left Midfield,Central Midfielder
43896.0,1.1470672,5.350272,Forward,Left Center Forward,Striker
24021.0,5.3728194,19.36257,Goalkeeper,Goalkeeper,Goalkeeper
3190.0,1.2375985,7.306464,Midfielder,Left Midfield,Central Midfielder
403390.0,3.5948994,-0.97369134,Forward,Center Forward,Striker
13731.0,3.4616442,5.0084577,Forward,Left Center Forward,Striker
7366.0,12.217783,1.3346891,Defender,Left Back,Offensive Defender
7443.0,3.7493064,4.8843174,Midfielder,Left Center Midfield,Central Midfielder
7358.0,0.8016894,5.459209,Forward,Left Wing,Winger
403392.0,2.110517,3.634975,Midfielder,Left Center Midfield,Central Midfielder
40485.0,3.6593297,-0.97739625,Forward,Left Center Midfield,Central Midfielder
4599.0,2.995527,0.78351176,Forward,Right Wing,Winger
42423.0,0.36377463,1.636912,Forward,Center Forward,Striker
7406.0,3.2879348,0.0450506,Midfielder,Left Center Forward,Striker
3761.0,4.1682105,19.666897,Goalkeeper,Goalkeeper,Goalkeeper
141742.0,3.7320554,-1.2478467,Midfielder,Right Attacking Midfield,Offensive Midfielder
401467.0,4.8336916,18.233389,Goalkeeper,Goalkeeper,Goalkeeper
7190.0,3.6850054,-0.34521163,Forward,Center Forward,Striker
3951.0,6.5101633,3.8889878,Midfielder,Right Wing,Winger
7685.0,13.3876,5.2121305,Defender,Right Center Back,Regular Defender
3735.0,2.365076,4.603336,Forward,Left Center Forward,Striker
3257.0,0.90890574,1.0287244,Forward,Center Forward,Striker
42376.0,12.04163,1.5209053,Midfielder,Right Center Midfield,Central Midfielder
2967.0,3.378485,18.1455,Goalkeeper,Goalkeeper,Goalkeeper
31681.0,0.12513211,8.714006,Defender,Left Back,Offensive Defender
23315.0,2.3419006,3.419943,Midfielder,Left Midfield,Central Midfielder
3544.0,12.881072,5.1602345,Defender,Right Center Back,Regular Defender
401453.0,1.4839704,1.6113212,Forward,Right Center Forward,Striker
401453.0,1.4839704,1.6113212,Forward,Right Center Forward,Striker
4417.0,5.5090566,3.4163034,Midfielder,Left Wing,Winger
3343.0,4.764162,3.0211797,Midfielder,Right Defensive Midfield,Defensive Midfielder
3346.0,1.627442,1.1729244,Forward,Right Midfield,Central Midfielder
3344.0,6.265436,3.5310998,Midfielder,Left Defensive Midfield,Defensive Midfielder
6409.0,5.5801935,-3.3292012,Defender,Left Midfield,Central Midfielder
3608.0,6.9445567,-2.7724934,Defender,Right Center Back,Regular Defender
3341.0,11.650312,2.285624,Defender,Left Center Back,Regular Defender
3345.0,0.40795508,7.7783647,Defender,Left Back,Offensive Defender
3270.0,6.6775856,-3.255673,Defender,Right Back,Offensive Defender
40123.0,11.391823,3.099721,Defender,Left Center Back,Regular Defender
3049.0,4.118233,-0.7087056,Midfielder,Right Midfield,Central Midfielder
3304.0,4.2583404,4.163746,Midfielder,Right Center Midfield,Central Midfielder
20074.0,4.66799,18.188023,Goalkeeper,Goalkeeper,Goalkeeper
3961.0,4.619493,3.4769459,Midfielder,Left Defensive Midfield,Defensive Midfielder
3662.0,5.2971396,2.6184208,Midfielder,Right Center Midfield,Central Midfielder
3812.0,0.9282285,8.053347,Forward,Right Wing,Winger
3463.0,1.4948963,4.382316,Midfielder,Right Center Midfield,Central Midfielder
10960.0,0.5160909,2.1391466,Forward,Left Center Forward,Striker
3307.0,1.2310029,5.2542725,Midfielder,Left Defensive Midfield,Defensive Midfielder
3671.0,2.0512652,1.1495906,Forward,Center Forward,Striker
3815.0,5.0839252,19.61072,Goalkeeper,Goalkeeper,Goalkeeper
3813.0,12.019803,4.2689967,Defender,Right Center Back,Regular Defender
3814.0,3.7068293,-0.6817433,Midfielder,Center Attacking Midfield,Offensive Midfielder
3631.0,3.0115342,0.8055985,Midfielder,Right Midfield,Central Midfielder
3085.0,1.1328166,1.8096337,Forward,Right Midfield,Central Midfielder
3810.0,1.780651,1.5400668,Forward,Right Midfield,Central Midfielder
28782.0,5.622394,-3.541477,Defender,Right Center Forward,Striker
40218.0,12.488912,1.377027,Defender,Right Midfield,Central Midfielder
4041.0,1.22757,1.2334579,Forward,Left Midfield,Central Midfielder
4630.0,0.6756708,2.2655003,Forward,Left Center Midfield,Central Midfielder
3523.0,5.6303635,-3.1898432,Defender,Right Midfield,Central Midfielder
4022.0,5.782359,2.1657708,Midfielder,Left Defensive Midfield,Defensive Midfielder
3967.0,6.3563266,4.0936213,Midfielder,Left Midfield,Central Midfielder
3541.0,1.0233516,7.6924386,Defender,Left Midfield,Central Midfielder
11012.0,12.654171,0.61100024,Defender,Left Center Back,Regular Defender
3596.0,13.069914,5.081237,Defender,Right Center Back,Regular Defender
3514.0,1.1310616,5.292698,Midfielder,Right Center Forward,Striker
43627.0,4.003741,4.853649,Midfielder,Left Defensive Midfield,Defensive Midfielder
7171.0,2.0439963,1.3793596,Midfielder,Center Forward,Striker
10503.0,5.6205974,-1.9466108,Defender,Right Back,Offensive Defender
4429.0,5.9257607,2.9316878,Midfielder,Right Center Midfield,Central Midfielder
2966.0,3.7562504,-0.6903752,Midfielder,Center Forward,Striker
10783.0,6.0034366,3.3545473,Midfielder,Right Center Midfield,Central Midfielder
5617.0,4.888955,1.0915087,Midfielder,Right Midfield,Central Midfielder
3658.0,5.9756994,-3.1173851,Defender,Right Back,Offensive Defender
4746.0,12.1421995,1.842317,Defender,Left Center Back,Regular Defender
5108.0,5.301597,19.050695,Goalkeeper,Goalkeeper,Goalkeeper
16890.0,11.401041,3.2751944,Defender,Left Center Back,Regular Defender
6871.0,5.1941314,18.990454,Goalkeeper,Goalkeeper,Goalkeeper
40124.0,1.423624,1.0114418,Forward,Left Midfield,Central Midfielder
3337.0,0.08575714,2.0140762,Forward,Left Midfield,Central Midfielder
42902.0,4.6338177,2.6111286,Midfielder,Center Defensive Midfield,Defensive Midfielder
4217.0,1.7264171,2.670081,Forward,Left Wing,Winger
9485.0,2.9817324,2.3889658,Midfielder,Center Forward,Striker
8061.0,1.9432695,1.8660719,Midfielder,Left Back,Offensive Defender
30289.0,1.8783268,1.5342578,Forward,Right Wing,Winger
9649.0,5.6971793,3.804436,Midfielder,Left Wing Back,Offensive Defender
9533.0,5.3579316,-1.4534615,Defender,Right Wing,Winger
3436.0,4.9174438,4.2061205,Midfielder,Left Defensive Midfield,Defensive Midfielder
3650.0,5.2498956,-3.583368,Defender,Right Back,Offensive Defender
3091.0,3.6383889,0.05453322,Midfielder,Right Center Midfield,Central Midfielder
5685.0,6.595245,4.0646324,Midfielder,Left Center Midfield,Central Midfielder
12608.0,3.4391384,18.298864,Goalkeeper,Goalkeeper,Goalkeeper
3583.0,5.32855,3.668292,Midfielder,Left Defensive Midfield,Defensive Midfielder
26207.0,11.681201,1.7904195,Midfielder,Right Center Back,Regular Defender
3567.0,4.134172,3.7690053,Midfielder,Left Defensive Midfield,Defensive Midfielder
3065.0,0.8969784,8.537761,Defender,Left Back,Offensive Defender
9642.0,5.39908,-3.5951593,Defender,Right Back,Offensive Defender
3450.0,1.8508519,3.8537416,Forward,Left Attacking Midfield,Offensive Midfielder
7153.0,3.3266902,2.4567115,Midfielder,Left Center Midfield,Central Midfielder
20285.0,11.796671,1.882211,Defender,Left Center Back,Regular Defender
24380.0,13.039907,5.4360485,Defender,Right Center Back,Regular Defender
11117.0,1.9445189,2.9052792,Forward,Center Forward,Striker
3096.0,4.5628047,18.26831,Goalkeeper,Goalkeeper,Goalkeeper
3044.0,13.034212,4.9237885,Defender,Right Center Back,Regular Defender
16072.0,5.7112813,1.5525919,Midfielder,Left Defensive Midfield,Defensive Midfielder
4269.0,0.9725367,1.5212384,Forward,Right Defensive Midfield,Defensive Midfielder
19362.0,0.4606471,1.3357593,Forward,Left Center Forward,Striker
3076.0,3.2751296,3.532335,Forward,Center Forward,Striker
3616.0,1.6571411,1.1284258,Forward,Center Forward,Striker
13042.0,5.5468154,18.654768,Goalkeeper,Goalkeeper,Goalkeeper
3476.0,5.7039366,2.7898593,Defender,Left Defensive Midfield,Defensive Midfielder
4275.0,4.1541586,3.8064451,Midfielder,Left Center Midfield,Central Midfielder
3953.0,3.563742,-0.38462743,Forward,Left Wing,Winger
3683.0,2.9798703,3.193076,Midfielder,Left Midfield,Central Midfielder
20067.0,6.9010553,4.1129084,Forward,Center Defensive Midfield,Defensive Midfielder
3518.0,0.36592162,8.14237,Defender,Left Back,Offensive Defender
3607.0,5.8792286,2.2849972,Midfielder,Right Center Back,Regular Defender
3646.0,0.74437106,5.999411,Midfielder,Left Midfield,Central Midfielder
