player_id,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,ball_recovery_defending_third,ball_recovery_middle_third,ball_recovery_attacking_third,ball_recovery_successful_defending_third,ball_recovery_successful_middle_third,ball_recovery_successful_attacking_third,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,ball_recovery_successful_defending_third_%,ball_recovery_successful_middle_third_%,ball_recovery_successful_attacking_third_%,ball_recovery_defending_third_%,ball_recovery_middle_third_%,ball_recovery_attacking_third_%,ball_recovery_offensive_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,player,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,ball_recovery_defending_third_per_match,ball_recovery_middle_third_per_match,ball_recovery_attacking_third_per_match,ball_recovery_successful_defending_third_per_match,ball_recovery_successful_middle_third_per_match,ball_recovery_successful_attacking_third_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
2936.0,113.0,110.0,0,0,3,69.0,36.0,5.0,69.0,36.0,5.0,343.0,230.0,101.0,12.0,83.0,33.0,42.0,8.0,2.0,52.0,1,1,3.0,0,177.0,83.0,0.0,77.0,44.0,62.0,15.0,0.0,26.0,13.0,9.0,4.0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.9734513274336283,0.6272727272727273,0.32727272727272727,0.045454545454545456,0.6106194690265486,0.3185840707964602,0.04424778761061947,nan,0.6705539358600583,0.2944606413994169,0.03498542274052478,0.39759036144578314,0.5060240963855421,0.0963855421686747,0.5714285714285714,0.8051948051948052,0.19480519480519481,0.0,0.5,0.34615384615384615,0.15384615384615385,Christophe Kerbrat,1.256,1.222,0.0,0.0,0.033,0.767,0.4,0.056,0.767,0.4,0.056,3.811,2.556,1.122,0.133,0.922,0.367,0.467,0.089,0.022,0.578,0.011,0.011,0.033,0.0,1.967,0.922,0.0,0.856,0.489,0.689,0.167,0.0,0.289,0.144,0.1,0.044,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0
2943.0,55.0,45.0,0,0,10,20.0,17.0,8.0,20.0,17.0,8.0,296.0,149.0,121.0,26.0,78.0,23.0,41.0,14.0,2.0,35.0,1,2,8.0,0,32.0,18.0,0.0,34.0,23.0,23.0,9.0,2.0,26.0,6.0,17.0,3.0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8181818181818182,0.4444444444444444,0.37777777777777777,0.17777777777777778,0.36363636363636365,0.3090909090909091,0.14545454545454545,nan,0.5033783783783784,0.40878378378378377,0.08783783783783784,0.2948717948717949,0.5256410256410257,0.1794871794871795,0.6764705882352942,0.6764705882352942,0.2647058823529412,0.058823529411764705,0.23076923076923078,0.6538461538461539,0.11538461538461539,Lucas Deaux,0.611,0.5,0.0,0.0,0.111,0.222,0.189,0.089,0.222,0.189,0.089,3.289,1.656,1.344,0.289,0.867,0.256,0.456,0.156,0.022,0.389,0.011,0.022,0.089,0.0,0.356,0.2,0.0,0.378,0.256,0.256,0.1,0.022,0.289,0.067,0.189,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
2944.0,34.0,30.0,0,0,4,7.0,14.0,9.0,7.0,14.0,9.0,145.0,28.0,81.0,36.0,68.0,2.0,41.0,25.0,0.0,12.0,0,0,3.0,0,7.0,3.0,0.0,12.0,7.0,4.0,8.0,0.0,18.0,1.0,13.0,4.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.23333333333333334,0.4666666666666667,0.3,0.20588235294117646,0.4117647058823529,0.2647058823529412,nan,0.19310344827586207,0.5586206896551724,0.2482758620689655,0.029411764705882353,0.6029411764705882,0.36764705882352944,0.5833333333333334,0.3333333333333333,0.6666666666666666,0.0,0.05555555555555555,0.7222222222222222,0.2222222222222222,Benjamin Corgnet,0.378,0.333,0.0,0.0,0.044,0.078,0.156,0.1,0.078,0.156,0.1,1.611,0.311,0.9,0.4,0.756,0.022,0.456,0.278,0.0,0.133,0.0,0.0,0.033,0.0,0.078,0.033,0.0,0.133,0.078,0.044,0.089,0.0,0.2,0.011,0.144,0.044,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2946.0,110.0,101.0,0,0,9,48.0,43.0,10.0,48.0,43.0,10.0,399.0,216.0,149.0,34.0,98.0,32.0,47.0,19.0,4.0,63.0,0,3,6.0,0,111.0,53.0,0.0,73.0,34.0,53.0,17.0,3.0,29.0,8.0,19.0,2.0,2,0,0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9181818181818182,0.4752475247524752,0.42574257425742573,0.09900990099009901,0.43636363636363634,0.39090909090909093,0.09090909090909091,nan,0.5413533834586466,0.37343358395989973,0.08521303258145363,0.32653061224489793,0.47959183673469385,0.19387755102040816,0.4657534246575342,0.726027397260274,0.2328767123287671,0.0410958904109589,0.27586206896551724,0.6551724137931034,0.06896551724137931,Frédéric Guilbert,1.222,1.122,0.0,0.0,0.1,0.533,0.478,0.111,0.533,0.478,0.111,4.433,2.4,1.656,0.378,1.089,0.356,0.522,0.211,0.044,0.7,0.0,0.033,0.067,0.0,1.233,0.589,0.0,0.811,0.378,0.589,0.189,0.033,0.322,0.089,0.211,0.022,0.022,0.0,0.0,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.033,0.0
2947.0,166.0,164.0,0,0,2,163.0,1.0,0.0,163.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.9879518072289156,0.9939024390243902,0.006097560975609756,0.0,0.9819277108433735,0.006024096385542169,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Lopes,1.844,1.822,0.0,0.0,0.022,1.811,0.011,0.0,1.811,0.011,0.0,0.044,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.022,0.0
2948.0,15.0,15.0,0,0,0,0.0,6.0,9.0,0.0,6.0,9.0,77.0,6.0,35.0,36.0,32.0,0.0,18.0,14.0,0.0,5.0,0,0,1.0,0,1.0,0.0,0.0,8.0,6.0,0.0,4.0,4.0,10.0,1.0,5.0,4.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.6,0.0,0.4,0.6,nan,0.07792207792207792,0.45454545454545453,0.4675324675324675,0.0,0.5625,0.4375,0.75,0.0,0.5,0.5,0.1,0.5,0.4,Nabil Fekir,0.167,0.167,0.0,0.0,0.0,0.0,0.067,0.1,0.0,0.067,0.1,0.856,0.067,0.389,0.4,0.356,0.0,0.2,0.156,0.0,0.056,0.0,0.0,0.011,0.0,0.011,0.0,0.0,0.089,0.067,0.0,0.044,0.044,0.111,0.011,0.056,0.044,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
2950.0,229.0,214.0,2,2,15,60.0,122.0,32.0,60.0,122.0,32.0,670.0,196.0,399.0,75.0,196.0,22.0,130.0,44.0,0.0,81.0,3,4,13.0,0,41.0,25.0,0.0,59.0,36.0,20.0,37.0,2.0,44.0,4.0,34.0,6.0,3,0,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.9344978165938864,0.2803738317757009,0.5700934579439252,0.14953271028037382,0.26200873362445415,0.5327510917030568,0.13973799126637554,1.0,0.29253731343283584,0.5955223880597015,0.11194029850746269,0.11224489795918367,0.6632653061224489,0.22448979591836735,0.6101694915254238,0.3389830508474576,0.6271186440677966,0.03389830508474576,0.09090909090909091,0.7727272727272727,0.13636363636363635,Jonas Martin,2.544,2.378,0.022,0.022,0.167,0.667,1.356,0.356,0.667,1.356,0.356,7.444,2.178,4.433,0.833,2.178,0.244,1.444,0.489,0.0,0.9,0.033,0.044,0.144,0.0,0.456,0.278,0.0,0.656,0.4,0.222,0.411,0.022,0.489,0.044,0.378,0.067,0.033,0.0,0.0,0.044,0.0,0.0,0.011,0.011,0.0,0.0,0.056,0.0
2953.0,138.0,132.0,0,0,6,74.0,47.0,11.0,74.0,47.0,11.0,339.0,187.0,136.0,16.0,88.0,28.0,50.0,10.0,1.0,41.0,1,2,0.0,1,178.0,98.0,0.0,67.0,43.0,47.0,19.0,1.0,38.0,9.0,25.0,4.0,0,0,0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.9565217391304348,0.5606060606060606,0.3560606060606061,0.08333333333333333,0.5362318840579711,0.34057971014492755,0.07971014492753623,nan,0.551622418879056,0.40117994100294985,0.0471976401179941,0.3181818181818182,0.5681818181818182,0.11363636363636363,0.6417910447761194,0.7014925373134329,0.2835820895522388,0.014925373134328358,0.23684210526315788,0.6578947368421053,0.10526315789473684,Abdou Kader Mangane,1.533,1.467,0.0,0.0,0.067,0.822,0.522,0.122,0.822,0.522,0.122,3.767,2.078,1.511,0.178,0.978,0.311,0.556,0.111,0.011,0.456,0.011,0.022,0.0,0.011,1.978,1.089,0.0,0.744,0.478,0.522,0.211,0.011,0.422,0.1,0.278,0.044,0.0,0.0,0.0,0.067,0.0,0.0,0.011,0.011,0.0,0.0,0.078,0.0
2955.0,160.0,154.0,0,0,6,45.0,50.0,59.0,45.0,50.0,59.0,389.0,78.0,191.0,120.0,98.0,6.0,38.0,54.0,0.0,56.0,0,2,4.0,0,39.0,29.0,0.0,37.0,24.0,11.0,16.0,10.0,21.0,3.0,10.0,8.0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9625,0.2922077922077922,0.3246753246753247,0.38311688311688313,0.28125,0.3125,0.36875,nan,0.20051413881748073,0.4910025706940874,0.30848329048843187,0.061224489795918366,0.3877551020408163,0.5510204081632653,0.6486486486486487,0.2972972972972973,0.43243243243243246,0.2702702702702703,0.14285714285714285,0.47619047619047616,0.38095238095238093,Ronny Rodelin,1.778,1.711,0.0,0.0,0.067,0.5,0.556,0.656,0.5,0.556,0.656,4.322,0.867,2.122,1.333,1.089,0.067,0.422,0.6,0.0,0.622,0.0,0.022,0.044,0.0,0.433,0.322,0.0,0.411,0.267,0.122,0.178,0.111,0.233,0.033,0.111,0.089,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
2956.0,14.0,10.0,1,1,4,4.0,1.0,5.0,4.0,1.0,5.0,92.0,8.0,44.0,40.0,30.0,2.0,7.0,21.0,0.0,8.0,0,0,2.0,0,4.0,1.0,0.0,11.0,9.0,5.0,2.0,4.0,4.0,0.0,3.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.4,0.1,0.5,0.2857142857142857,0.07142857142857142,0.35714285714285715,1.0,0.08695652173913043,0.4782608695652174,0.43478260869565216,0.06666666666666667,0.23333333333333334,0.7,0.8181818181818182,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.0,0.75,0.25,Bertrand Isidore Traoré,0.156,0.111,0.011,0.011,0.044,0.044,0.011,0.056,0.044,0.011,0.056,1.022,0.089,0.489,0.444,0.333,0.022,0.078,0.233,0.0,0.089,0.0,0.0,0.022,0.0,0.044,0.011,0.0,0.122,0.1,0.056,0.022,0.044,0.044,0.0,0.033,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
