player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%,ball_recovery_total_per_match,ball_recovery_successful_per_match,ball_recovery_offensive_total_per_match,ball_recovery_offensive_successful_per_match,ball_recovery_failed_per_match,pressure_on_opponent_per_match,pressure_on_opponent_defending_third_per_match,pressure_on_opponent_middle_third_per_match,pressure_on_opponent_attacking_third_per_match,counterpressing_total_per_match,counterpressing_opponent_defending_third_per_match,counterpressing_opponent_middle_third_per_match,counterpressing_attacking_third_per_match,shield_total_per_match,block_total_per_match,block_offensive_per_match,block_ball_deflection_per_match,block_counterpress_per_match,block_during_counterpress_per_match,block_shot_on_target_per_match,clearance_total_per_match,clearance_with_head_per_match,interception_per_match,tackling_per_match,tackling_won_per_match,tackling_in_defending_third_per_match,tackling_in_middle_third_per_match,tackling_in_attacking_third_per_match,fouls_total_per_match,fouls_in_defending_third_per_match,fouls_in_middle_third_per_match,fouls_in_attacking_third_per_match,fouls_offensive_per_match,fouls_lead_to_penalty_per_match,fouls_wins_a_penalty_per_match,fouls_yellow_card_per_match,fouls_second_yellow_card_per_match,fouls_red_card_per_match,bad_behaviour_total_per_match,bad_behaviour_yellow_card_per_match,bad_behaviour_second_yellow_card_per_match,bad_behaviour_red_card_per_match,total_yellow_per_match,total_red_per_match
Alejandro Campos Tablado,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Menéndez Díez,52.0,48.0,0,0,4,204.0,97.0,81.0,26.0,45.0,6.0,19.0,20.0,1.0,29.0,0,0,0,29.0,0,24.0,5.0,0.0,27.0,16.0,16.0,8.0,3.0,12.0,1.0,8.0,3.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9230769230769231,0.47549019607843135,0.39705882352941174,0.12745098039215685,0.13333333333333333,0.4222222222222222,0.4444444444444444,0.5925925925925926,0.5925925925925926,0.2962962962962963,0.1111111111111111,0.08333333333333333,0.6666666666666666,0.25,0.578,0.533,0.0,0.0,0.044,2.267,1.078,0.9,0.289,0.5,0.067,0.211,0.222,0.011,0.322,0.0,0.0,0.0,0.322,0.0,0.267,0.056,0.0,0.3,0.178,0.178,0.089,0.033,0.133,0.011,0.089,0.033,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
Alejandro Remiro Gargallo,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Pantić,69.0,66.0,0,0,3,126.0,74.0,49.0,3.0,41.0,11.0,28.0,2.0,0.0,25.0,0,2,2,25.0,1,112.0,58.0,0.0,26.0,11.0,19.0,7.0,0.0,27.0,8.0,16.0,3.0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9565217391304348,0.5873015873015873,0.3888888888888889,0.023809523809523808,0.2682926829268293,0.6829268292682927,0.04878048780487805,0.4230769230769231,0.7307692307692307,0.2692307692307692,0.0,0.2962962962962963,0.5925925925925926,0.1111111111111111,0.767,0.733,0.0,0.0,0.033,1.4,0.822,0.544,0.033,0.456,0.122,0.311,0.022,0.0,0.278,0.0,0.022,0.022,0.278,0.011,1.244,0.644,0.0,0.289,0.122,0.211,0.078,0.0,0.3,0.089,0.178,0.033,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0
Alen Halilović,132.0,122.0,1,0,10,277.0,43.0,138.0,96.0,72.0,1.0,32.0,39.0,1.0,22.0,0,1,1,22.0,0,6.0,2.0,0.0,18.0,6.0,5.0,7.0,6.0,12.0,0.0,5.0,7.0,1,0,0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,0.0,0.9242424242424242,0.1552346570397112,0.4981949458483754,0.34657039711191334,0.013888888888888888,0.4444444444444444,0.5416666666666666,0.3333333333333333,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.0,0.4166666666666667,0.5833333333333334,1.467,1.356,0.011,0.0,0.111,3.078,0.478,1.533,1.067,0.8,0.011,0.356,0.433,0.011,0.244,0.0,0.011,0.011,0.244,0.0,0.067,0.022,0.0,0.2,0.067,0.056,0.078,0.067,0.133,0.0,0.056,0.078,0.011,0.0,0.0,0.022,0.0,0.0,0.044,0.044,0.0,0.0,0.067,0.0
Alexis Ruano Delgado,50.0,48.0,0,0,2,55.0,33.0,18.0,4.0,17.0,2.0,10.0,5.0,2.0,22.0,1,0,0,22.0,0,71.0,41.0,0.0,16.0,7.0,9.0,6.0,1.0,11.0,3.0,6.0,2.0,0,0,0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,0.96,0.6,0.32727272727272727,0.07272727272727272,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.4375,0.5625,0.375,0.0625,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.556,0.533,0.0,0.0,0.022,0.611,0.367,0.2,0.044,0.189,0.022,0.111,0.056,0.022,0.244,0.011,0.0,0.0,0.244,0.0,0.789,0.456,0.0,0.178,0.078,0.1,0.067,0.011,0.122,0.033,0.067,0.022,0.0,0.0,0.0,0.022,0.0,0.0,0.056,0.056,0.0,0.0,0.078,0.0
Alfonso Pedraza Sag,5.0,5.0,0,0,0,24.0,7.0,10.0,7.0,6.0,0.0,1.0,5.0,0.0,3.0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.056,0.056,0.0,0.0,0.0,0.267,0.078,0.111,0.078,0.067,0.0,0.011,0.056,0.0,0.033,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.033,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfred John Momar N''Diaye,173.0,163.0,1,1,10,660.0,247.0,342.0,71.0,222.0,31.0,145.0,46.0,1.0,93.0,3,0,0,93.0,0,67.0,46.0,0.0,92.0,58.0,45.0,43.0,4.0,62.0,13.0,43.0,6.0,1,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9421965317919075,0.37424242424242427,0.5181818181818182,0.10757575757575757,0.13963963963963963,0.6531531531531531,0.2072072072072072,0.6304347826086957,0.4891304347826087,0.4673913043478261,0.043478260869565216,0.20967741935483872,0.6935483870967742,0.0967741935483871,1.922,1.811,0.011,0.011,0.111,7.333,2.744,3.8,0.789,2.467,0.344,1.611,0.511,0.011,1.033,0.033,0.0,0.0,1.033,0.0,0.744,0.511,0.0,1.022,0.644,0.5,0.478,0.044,0.689,0.144,0.478,0.067,0.011,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0
Alhassane Bangoura,56.0,50.0,0,0,6,137.0,40.0,54.0,43.0,56.0,2.0,23.0,31.0,2.0,14.0,0,0,0,14.0,0,4.0,2.0,0.0,18.0,11.0,5.0,10.0,3.0,20.0,3.0,11.0,6.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8928571428571429,0.291970802919708,0.39416058394160586,0.31386861313868614,0.03571428571428571,0.4107142857142857,0.5535714285714286,0.6111111111111112,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.15,0.55,0.3,0.622,0.556,0.0,0.0,0.067,1.522,0.444,0.6,0.478,0.622,0.022,0.256,0.344,0.022,0.156,0.0,0.0,0.0,0.156,0.0,0.044,0.022,0.0,0.2,0.122,0.056,0.111,0.033,0.222,0.033,0.122,0.067,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0
Alphonse Areola,160.0,160.0,0,0,0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0,0,0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.778,1.778,0.0,0.0,0.0,0.022,0.022,0.0,0.0,0.011,0.011,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.022,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.011,0.0
