Model,Accuracy (mean),Accuracy (std),Precision_macro (mean),Precision_macro (std),Recall_macro (mean),Recall_macro (std),F1_macro (mean),F1_macro (std)
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.907499012359614,0.016836424582736376,0.9176193708556915,0.015291308942148007,0.9198339672798411,0.015509986977561233,0.9183742528596426,0.015230112542394108
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9074976014447766,0.01890275100063372,0.9195194478882247,0.017553752830251016,0.9198335012514471,0.016166805496980748,0.9192861589481023,0.01671357676195217
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9074961905299397,0.011079275216846617,0.919642495904357,0.011317887413997807,0.9187219046137424,0.009294403820216653,0.9188291373136991,0.01004430474828782
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9074961905299397,0.011079275216846617,0.919642495904357,0.011317887413997807,0.9187219046137424,0.009294403820216653,0.9188291373136991,0.01004430474828782
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.01, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9069699192956712,0.01265359320471644,0.9200116732737872,0.01254443887806966,0.9176474231201477,0.01112482914178867,0.9183332028239477,0.011341366212944768
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.01, 'clf__max_depth': 8, 'clf__n_estimators': 1000, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.1}",0.9069685083808341,0.013942023767212172,0.9190928149442948,0.013590442105849688,0.9189243602041289,0.012474944822311618,0.9187248655847196,0.012846935385567899
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.01, 'clf__max_depth': 8, 'clf__n_estimators': 1000, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.1}",0.9069685083808341,0.013942023767212172,0.9190928149442948,0.013590442105849688,0.9189243602041289,0.012474944822311618,0.9187248655847196,0.012846935385567899
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9069685083808341,0.01492224420557007,0.9191552835845412,0.01514201380575866,0.9184965332823178,0.012176443048482644,0.9182093773173149,0.013260690217244221
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9069670974659971,0.0135411331137926,0.9193405462366101,0.013519586614110396,0.9184996090697194,0.012510112359512408,0.9183323906795102,0.012530030024164397
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9069656865511597,0.010758385597672358,0.9195224974418975,0.01110005356451829,0.9183484230306703,0.009598878711729441,0.9184548561507999,0.00981616899826813
